1 , Calipso IIR channel 1
Number of data points:
172
Wavenumber (cm-1)   Filter response
     1051.524700       0.000000
     1052.631600       0.000866
     1053.740800       0.000900
     1054.852300       0.001034
     1055.966200       0.001264
     1057.082500       0.001501
     1058.201100       0.001710
     1059.322000       0.001853
     1060.445400       0.001974
     1061.571100       0.002129
     1062.699300       0.002341
     1063.829800       0.002616
     1064.962700       0.002972
     1066.098100       0.003399
     1067.235900       0.003883
     1068.376100       0.004403
     1069.518700       0.004977
     1070.663800       0.005648
     1071.811400       0.006438
     1072.961400       0.007326
     1074.113900       0.008368
     1075.268800       0.009632
     1076.426300       0.011150
     1077.586200       0.012930
     1078.748700       0.015020
     1079.913600       0.017530
     1081.081100       0.020450
     1082.251100       0.023880
     1083.423600       0.027890
     1084.598700       0.032740
     1085.776300       0.038700
     1086.956500       0.046060
     1088.139300       0.055140
     1089.324600       0.065910
     1090.512500       0.078860
     1091.703100       0.094200
     1092.896200       0.112400
     1094.091900       0.134100
     1095.290300       0.159400
     1096.491200       0.189200
     1097.694800       0.223400
     1098.901100       0.261800
     1100.110000       0.304500
     1101.321600       0.351100
     1102.535800       0.400600
     1103.752800       0.452800
     1104.972400       0.506500
     1106.194700       0.560400
     1107.419700       0.613100
     1108.647500       0.664400
     1109.877900       0.713000
     1111.111100       0.758200
     1112.347100       0.799100
     1113.585700       0.836800
     1114.827200       0.870000
     1116.071400       0.898300
     1117.318400       0.922400
     1118.568200       0.943400
     1119.820800       0.959900
     1121.076200       0.972900
     1122.334500       0.982900
     1123.595500       0.990200
     1124.859400       0.994600
     1126.126100       0.998100
     1127.395700       1.000000
     1128.668200       0.999600
     1129.943500       0.999300
     1131.221700       0.997700
     1132.502800       0.995800
     1133.786800       0.994000
     1135.073800       0.992100
     1136.363600       0.990400
     1137.656400       0.988900
     1138.952200       0.987100
     1140.250900       0.986300
     1141.552500       0.985200
     1142.857100       0.984500
     1144.164800       0.984900
     1145.475400       0.984900
     1146.789000       0.984800
     1148.105600       0.983800
     1149.425300       0.983700
     1150.748000       0.983400
     1152.073700       0.982200
     1153.402500       0.981700
     1154.734400       0.980300
     1156.069400       0.979700
     1157.407400       0.978000
     1158.748600       0.976000
     1160.092800       0.973500
     1161.440200       0.970600
     1162.790700       0.967100
     1164.144400       0.962500
     1165.501200       0.958400
     1166.861100       0.954000
     1168.224300       0.948400
     1169.590600       0.943300
     1170.960200       0.937000
     1172.332900       0.930200
     1173.708900       0.922900
     1175.088100       0.915100
     1176.470600       0.906800
     1177.856300       0.897100
     1179.245300       0.887700
     1180.637500       0.877200
     1182.033100       0.867000
     1183.432000       0.855400
     1184.834100       0.842400
     1186.239600       0.829700
     1187.648500       0.816700
     1189.060600       0.802800
     1190.476200       0.788900
     1191.895100       0.776000
     1193.317400       0.762100
     1194.743100       0.749300
     1196.172200       0.737300
     1197.604800       0.725400
     1199.040800       0.714400
     1200.480200       0.704800
     1201.923100       0.696100
     1203.369400       0.688700
     1204.819300       0.681800
     1206.272600       0.674900
     1207.729500       0.667700
     1209.189800       0.659200
     1210.653800       0.648700
     1212.121200       0.634400
     1213.592200       0.615100
     1215.066800       0.589400
     1216.545000       0.557300
     1218.026800       0.518200
     1219.512200       0.473700
     1221.001200       0.424900
     1222.493900       0.374900
     1223.990200       0.325500
     1225.490200       0.278200
     1226.993900       0.235300
     1228.501200       0.198000
     1230.012300       0.165400
     1231.527100       0.137800
     1233.045600       0.114600
     1234.567900       0.095340
     1236.093900       0.079480
     1237.623800       0.066390
     1239.157400       0.055550
     1240.694800       0.046570
     1242.236000       0.039150
     1243.781100       0.032930
     1245.330000       0.027760
     1246.882800       0.023440
     1248.439500       0.019790
     1250.000000       0.016680
     1251.564500       0.014040
     1253.132800       0.011850
     1254.705100       0.010010
     1256.281400       0.008453
     1257.861600       0.007140
     1259.445800       0.006017
     1261.034000       0.005064
     1262.626300       0.004248
     1264.222500       0.003540
     1265.822800       0.002944
     1267.427100       0.002456
     1269.035500       0.002062
     1270.648000       0.001734
     1272.264600       0.001456
     1273.885400       0.001196
     1275.510200       0.000966
     1277.139200       0.000784
     1278.772400       0.000662
     1280.409700       0.000587
     1282.051300       0.000505
