2 , Calipso IIR Channel 2
Number of data points:
213
Wavenumber (cm-1)   Filter response
      853.971000       0.000000
      854.700900       0.001123
      855.432000       0.001176
      856.164400       0.001221
      856.898000       0.001269
      857.632900       0.001337
      858.369100       0.001425
      859.106500       0.001521
      859.845200       0.001619
      860.585200       0.001705
      861.326400       0.001778
      862.069000       0.001849
      862.812800       0.001925
      863.557900       0.002010
      864.304200       0.002094
      865.051900       0.002175
      865.800900       0.002250
      866.551100       0.002331
      867.302700       0.002426
      868.055600       0.002548
      868.809700       0.002709
      869.565200       0.002902
      870.322000       0.003128
      871.080100       0.003380
      871.839600       0.003651
      872.600300       0.003946
      873.362400       0.004264
      874.125900       0.004605
      874.890600       0.004975
      875.656700       0.005371
      876.424200       0.005792
      877.193000       0.006243
      877.963100       0.006707
      878.734600       0.007205
      879.507500       0.007724
      880.281700       0.008296
      881.057300       0.008934
      881.834200       0.009672
      882.612500       0.010490
      883.392200       0.011410
      884.173300       0.012410
      884.955800       0.013510
      885.739600       0.014700
      886.524800       0.015980
      887.311400       0.017420
      888.099500       0.019030
      888.888900       0.020840
      889.679700       0.022950
      890.472000       0.025260
      891.265600       0.027820
      892.060700       0.030730
      892.857100       0.033950
      893.655000       0.037600
      894.454400       0.041750
      895.255100       0.046450
      896.057300       0.051830
      896.861000       0.057840
      897.666100       0.064760
      898.472600       0.072430
      899.280600       0.081080
      900.090000       0.090980
      900.900900       0.102300
      901.713300       0.115300
      902.527100       0.130000
      903.342400       0.146700
      904.159100       0.165500
      904.977400       0.186900
      905.797100       0.210800
      906.618300       0.237800
      907.441000       0.267200
      908.265200       0.299800
      909.090900       0.335300
      909.918100       0.373300
      910.746800       0.413100
      911.577000       0.454500
      912.408800       0.497000
      913.242000       0.539400
      914.076800       0.580400
      914.913100       0.620600
      915.750900       0.657700
      916.590300       0.691000
      917.431200       0.721300
      918.273600       0.746800
      919.117600       0.769200
      919.963200       0.787100
      920.810300       0.802000
      921.659000       0.813200
      922.509200       0.822600
      923.361000       0.829100
      924.214400       0.835000
      925.069400       0.839200
      925.925900       0.843000
      926.784100       0.847700
      927.643800       0.851900
      928.505100       0.857600
      929.368000       0.863000
      930.232600       0.869000
      931.098700       0.876700
      931.966400       0.884200
      932.835800       0.893200
      933.706800       0.901800
      934.579400       0.910900
      935.453700       0.921100
      936.329600       0.930500
      937.207100       0.940600
      938.086300       0.949400
      938.967100       0.958600
      939.849600       0.967000
      940.733800       0.973800
      941.619600       0.980500
      942.507100       0.986400
      943.396200       0.991300
      944.287100       0.994100
      945.179600       0.996900
      946.073800       0.998600
      946.969700       0.999400
      947.867300       1.000000
      948.766600       0.999000
      949.667600       0.996900
      950.570300       0.994300
      951.474800       0.990500
      952.381000       0.986600
      953.288800       0.980300
      954.198500       0.972000
      955.109800       0.962300
      956.022900       0.948300
      956.937800       0.930600
      957.854400       0.909200
      958.772800       0.882100
      959.692900       0.850600
      960.614800       0.813300
      961.538500       0.771300
      962.463900       0.725500
      963.391100       0.675900
      964.320200       0.624400
      965.251000       0.570700
      966.183600       0.517300
      967.118000       0.465800
      968.054200       0.416100
      968.992200       0.369900
      969.932100       0.326700
      970.873800       0.287700
      971.817300       0.252500
      972.762600       0.221400
      973.709800       0.193900
      974.658900       0.169900
      975.609800       0.148500
      976.562500       0.130400
      977.517100       0.114300
      978.473600       0.100600
      979.431900       0.088500
      980.392200       0.078180
      981.354300       0.069190
      982.318300       0.061370
      983.284200       0.054550
      984.252000       0.048400
      985.221700       0.043110
      986.193300       0.038460
      987.166800       0.034400
      988.142300       0.030820
      989.119700       0.027720
      990.099000       0.024870
      991.080300       0.022390
      992.063500       0.020150
      993.048700       0.018150
      994.035800       0.016350
      995.024900       0.014730
      996.015900       0.013370
      997.009000       0.012220
      998.004000       0.011280
      999.001000       0.010450
     1000.000000       0.009710
     1001.001000       0.009034
     1002.004000       0.008424
     1003.009000       0.007859
     1004.016100       0.007331
     1005.025100       0.006790
     1006.036200       0.006219
     1007.049300       0.005639
     1008.064500       0.005102
     1009.081700       0.004653
     1010.101000       0.004313
     1011.122300       0.004050
     1012.145700       0.003822
     1013.171200       0.003598
     1014.198800       0.003366
     1015.228400       0.003121
     1016.260200       0.002887
     1017.294000       0.002685
     1018.329900       0.002516
     1019.368000       0.002352
     1020.408200       0.002174
     1021.450500       0.002000
     1022.494900       0.001891
     1023.541500       0.001889
     1024.590200       0.001978
     1025.641000       0.002082
     1026.694000       0.002114
     1027.749200       0.002028
     1028.806600       0.001832
     1029.866100       0.001592
     1030.927800       0.001380
     1031.991700       0.001233
     1033.057900       0.001133
     1034.126200       0.001030
     1035.196700       0.000914
     1036.269400       0.000825
     1037.344400       0.000826
     1038.421600       0.000929
     1039.501000       0.001071
     1040.582700       0.001147
     1041.666700       0.001104
     1042.752900       0.000000
