11, Band_10 ;SRF extracted from  http://asterweb.jpl.nasa.gov/content/01_mission/03_instrument/archive/tir.txt
Number of data points:
95
Wavenumber (cm-1)   Filter response
     1116.071429       0.000000
     1117.318436       0.000300
     1118.568233       0.000300
     1119.820829       0.000500
     1121.076233       0.000400
     1122.334456       0.000200
     1123.595506       0.000200
     1124.859393       0.000300
     1126.126126       0.000400
     1127.395716       0.000400
     1128.668172       0.000500
     1129.943503       0.000900
     1131.221719       0.001100
     1132.502831       0.001500
     1133.786848       0.002000
     1135.073780       0.002100
     1136.363636       0.002400
     1137.656428       0.002400
     1138.952164       0.002500
     1140.250855       0.002600
     1141.552511       0.002500
     1142.857143       0.002400
     1144.164760       0.002400
     1145.475372       0.002500
     1146.788991       0.002400
     1148.105626       0.002400
     1149.425287       0.001900
     1150.747986       0.001700
     1152.073733       0.001500
     1153.402537       0.001500
     1154.734411       0.001800
     1156.069364       0.002600
     1157.407407       0.003800
     1158.748552       0.005200
     1160.092807       0.006500
     1161.440186       0.007900
     1162.790698       0.009000
     1164.144354       0.009800
     1165.501166       0.011000
     1166.861144       0.012200
     1168.224299       0.013300
     1169.590643       0.014900
     1170.960187       0.016000
     1172.332943       0.017900
     1173.708920       0.021600
     1175.088132       0.028500
     1176.470588       0.042400
     1177.856302       0.068700
     1179.245283       0.122400
     1180.637544       0.217900
     1182.033097       0.352500
     1183.431953       0.501300
     1184.834123       0.631600
     1186.239620       0.748600
     1187.648456       0.842700
     1189.060642       0.914800
     1190.476190       0.957200
     1191.895113       0.975100
     1193.317422       0.992500
     1194.743130       1.000000
     1196.172249       0.995400
     1197.604790       0.977700
     1199.040767       0.972600
     1200.480192       0.976600
     1201.923077       0.980700
     1203.369434       0.965900
     1204.819277       0.948800
     1206.272618       0.938300
     1207.729469       0.931700
     1209.189843       0.909500
     1210.653753       0.871500
     1212.121212       0.840700
     1213.592233       0.836200
     1215.066829       0.844500
     1216.545012       0.848900
     1218.026797       0.852900
     1219.512195       0.875900
     1221.001221       0.917300
     1222.493888       0.941900
     1223.990208       0.935800
     1225.490196       0.913600
     1226.993865       0.898500
     1228.501229       0.877000
     1230.012300       0.808900
     1231.527094       0.696400
     1233.045623       0.550800
     1234.567901       0.407300
     1236.093943       0.283200
     1237.623762       0.183800
     1239.157373       0.111700
     1240.694789       0.061800
     1242.236025       0.030700
     1243.781095       0.012300
     1245.330012       0.002200
     1246.882793       0.000000
