   3 , eos_02_modis_03.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    20774.000000       0.000000
    20787.840000       0.011828
    20801.680000       0.015194
    20815.520000       0.019258
    20829.360000       0.025460
    20843.200000       0.033554
    20857.040000       0.043842
    20870.880000       0.057858
    20884.720000       0.075825
    20898.560000       0.097633
    20912.400000       0.124167
    20926.240000       0.156143
    20940.080000       0.193185
    20953.920000       0.234135
    20967.760000       0.278572
    20981.600000       0.326771
    20995.440000       0.377068
    21009.280000       0.428283
    21023.120000       0.481469
    21036.960000       0.534368
    21050.800000       0.583885
    21064.640000       0.630152
    21078.480000       0.673631
    21092.320000       0.714028
    21106.160000       0.751626
    21120.000000       0.786133
    21133.840000       0.816504
    21147.680000       0.841999
    21161.520000       0.863051
    21175.360000       0.880592
    21189.200000       0.895239
    21203.040000       0.906826
    21216.880000       0.915498
    21230.720000       0.921434
    21244.560000       0.924430
    21258.400000       0.924873
    21272.240000       0.923358
    21286.080000       0.919642
    21299.920000       0.913998
    21313.760000       0.907461
    21327.600000       0.900096
    21341.440000       0.891708
    21355.280000       0.883674
    21369.120000       0.877139
    21382.960000       0.871737
    21396.800000       0.867191
    21410.640000       0.863377
    21424.480000       0.860301
    21438.320000       0.857916
    21452.160000       0.856082
    21466.000000       0.854653
    21479.840000       0.853735
    21493.680000       0.853680
    21507.520000       0.854462
    21521.360000       0.855801
    21535.200000       0.858717
    21549.040000       0.864423
    21562.880000       0.873108
    21576.720000       0.884083
    21590.560000       0.896611
    21604.400000       0.911032
    21618.240000       0.927179
    21632.080000       0.943177
    21645.920000       0.957922
    21659.760000       0.972447
    21673.600000       0.985256
    21687.440000       0.994103
    21701.280000       0.998974
    21715.120000       1.000000
    21728.960000       0.996038
    21742.800000       0.986790
    21756.640000       0.972757
    21770.480000       0.952790
    21784.320000       0.925471
    21798.160000       0.890409
    21812.000000       0.848762
    21825.840000       0.802128
    21839.680000       0.750402
    21853.520000       0.693202
    21867.360000       0.633021
    21881.200000       0.571708
    21895.040000       0.507758
    21908.880000       0.443497
    21922.720000       0.382839
    21936.560000       0.326356
    21950.400000       0.273347
    21964.240000       0.225428
    21978.080000       0.183997
    21991.920000       0.148456
    22005.760000       0.118137
    22019.600000       0.092501
    22033.440000       0.071947
    22047.280000       0.056236
    22061.120000       0.043794
    22074.960000       0.033451
    22088.800000       0.026049
    22102.640000       0.020896
    22116.480000       0.016556
    22130.320000       0.012998
    22144.160000       0.010840
    22158.000000       0.000000
