  15 , eos_02_modis_15.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    13203.000000       0.000000
    13206.930000       0.010423
    13210.860000       0.012293
    13214.790000       0.014599
    13218.720000       0.017304
    13222.650000       0.020709
    13226.580000       0.024742
    13230.510000       0.029289
    13234.440000       0.034560
    13238.370000       0.041240
    13242.300000       0.049861
    13246.230000       0.059891
    13250.160000       0.071674
    13254.090000       0.086131
    13258.020000       0.104582
    13261.950000       0.127525
    13265.880000       0.154731
    13269.810000       0.185869
    13273.740000       0.220159
    13277.670000       0.257134
    13281.600000       0.297683
    13285.530000       0.341007
    13289.460000       0.385310
    13293.390000       0.428022
    13297.320000       0.468554
    13301.250000       0.507423
    13305.180000       0.544814
    13309.110000       0.580714
    13313.040000       0.615081
    13316.970000       0.648054
    13320.900000       0.679779
    13324.830000       0.710451
    13328.760000       0.740425
    13332.690000       0.770028
    13336.620000       0.799230
    13340.550000       0.827684
    13344.480000       0.854824
    13348.410000       0.880259
    13352.340000       0.904490
    13356.270000       0.927280
    13360.200000       0.947923
    13364.130000       0.965367
    13368.060000       0.978865
    13371.990000       0.988505
    13375.920000       0.994839
    13379.850000       0.998511
    13383.780000       1.000000
    13387.710000       0.998884
    13391.640000       0.995395
    13395.570000       0.990111
    13399.500000       0.983848
    13403.430000       0.977296
    13407.360000       0.970411
    13411.290000       0.962572
    13415.220000       0.952898
    13419.150000       0.940557
    13423.080000       0.925734
    13427.010000       0.908426
    13430.940000       0.888453
    13434.870000       0.865548
    13438.800000       0.839399
    13442.730000       0.810014
    13446.660000       0.777851
    13450.590000       0.743793
    13454.520000       0.708847
    13458.450000       0.672894
    13462.380000       0.635740
    13466.310000       0.597750
    13470.240000       0.559779
    13474.170000       0.522595
    13478.100000       0.485861
    13482.030000       0.449541
    13485.960000       0.413807
    13489.890000       0.379053
    13493.820000       0.345296
    13497.750000       0.312329
    13501.680000       0.280360
    13505.610000       0.249816
    13509.540000       0.221129
    13513.470000       0.194070
    13517.400000       0.168589
    13521.330000       0.144839
    13525.260000       0.123167
    13529.190000       0.103919
    13533.120000       0.087255
    13537.050000       0.073004
    13540.980000       0.060824
    13544.910000       0.050319
    13548.840000       0.041517
    13552.770000       0.034560
    13556.700000       0.029197
    13560.630000       0.024884
    13564.560000       0.021069
    13568.490000       0.017923
    13572.420000       0.015462
    13576.350000       0.013549
    13580.280000       0.011855
    13584.210000       0.010945
    13588.140000       0.011462
    13592.070000       0.010583
    13596.000000       0.000000
