   4 , eos_02_modis_04.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    17573.000000       0.000000
    17583.020000       0.011484
    17593.040000       0.015344
    17603.060000       0.022202
    17613.080000       0.031181
    17623.100000       0.042675
    17633.120000       0.059037
    17643.140000       0.080924
    17653.160000       0.107769
    17663.180000       0.140071
    17673.200000       0.178589
    17683.220000       0.223164
    17693.240000       0.272116
    17703.260000       0.325114
    17713.280000       0.382558
    17723.300000       0.440834
    17733.320000       0.496997
    17743.340000       0.552267
    17753.360000       0.605496
    17763.380000       0.655184
    17773.400000       0.702035
    17783.420000       0.745636
    17793.440000       0.785130
    17803.460000       0.820470
    17813.480000       0.851740
    17823.500000       0.878836
    17833.520000       0.901669
    17843.540000       0.920532
    17853.560000       0.935994
    17863.580000       0.947624
    17873.600000       0.955611
    17883.620000       0.962022
    17893.640000       0.968128
    17903.660000       0.973287
    17913.680000       0.977323
    17923.700000       0.980039
    17933.720000       0.981304
    17943.740000       0.981805
    17953.760000       0.982225
    17963.780000       0.982378
    17973.800000       0.982300
    17983.820000       0.982278
    17993.840000       0.982361
    18003.860000       0.982524
    18013.880000       0.982815
    18023.900000       0.983271
    18033.920000       0.983863
    18043.940000       0.984491
    18053.960000       0.984943
    18063.980000       0.985176
    18074.000000       0.985673
    18084.020000       0.986985
    18094.040000       0.989325
    18104.060000       0.992118
    18114.080000       0.994614
    18124.100000       0.996864
    18134.120000       0.998836
    18144.140000       1.000000
    18154.160000       0.999953
    18164.180000       0.998940
    18174.200000       0.997546
    18184.220000       0.996340
    18194.240000       0.995339
    18204.260000       0.994040
    18214.280000       0.992034
    18224.300000       0.990074
    18234.320000       0.987147
    18244.340000       0.981168
    18254.360000       0.971702
    18264.380000       0.959134
    18274.400000       0.942174
    18284.420000       0.919809
    18294.440000       0.892494
    18304.460000       0.860361
    18314.480000       0.823316
    18324.500000       0.780844
    18334.520000       0.733827
    18344.540000       0.683917
    18354.560000       0.630686
    18364.580000       0.574082
    18374.600000       0.517386
    18384.620000       0.462944
    18394.640000       0.409394
    18404.660000       0.357700
    18414.680000       0.309515
    18424.700000       0.264680
    18434.720000       0.223175
    18444.740000       0.185820
    18454.760000       0.153158
    18464.780000       0.124853
    18474.800000       0.100409
    18484.820000       0.079448
    18494.840000       0.062454
    18504.860000       0.048891
    18514.880000       0.037643
    18524.900000       0.028752
    18534.920000       0.022292
    18544.940000       0.017104
    18554.960000       0.012636
    18564.980000       0.010820
    18575.000000       0.000000
