  21 , eos_02_modis_21.flt
Number of data points:
461
Wavenumber (cm-1)   Filter response
     2455.000000       0.000000
     2455.250000       0.000000
     2455.500000       0.000000
     2455.750000       0.000000
     2456.000000       0.010202
     2456.250000       0.010515
     2456.500000       0.010496
     2456.750000       0.010594
     2457.000000       0.010902
     2457.250000       0.010963
     2457.500000       0.011123
     2457.750000       0.011296
     2458.000000       0.011603
     2458.250000       0.011930
     2458.500000       0.012280
     2458.750000       0.012654
     2459.000000       0.013054
     2459.250000       0.013478
     2459.500000       0.013921
     2459.750000       0.014380
     2460.000000       0.014858
     2460.250000       0.015351
     2460.500000       0.015862
     2460.750000       0.016392
     2461.000000       0.016943
     2461.250000       0.017518
     2461.500000       0.018118
     2461.750000       0.018742
     2462.000000       0.019392
     2462.250000       0.020066
     2462.500000       0.020759
     2462.750000       0.021469
     2463.000000       0.022198
     2463.250000       0.022943
     2463.500000       0.023709
     2463.750000       0.024500
     2464.000000       0.025325
     2464.250000       0.026189
     2464.500000       0.027100
     2464.750000       0.028060
     2465.000000       0.029076
     2465.250000       0.030145
     2465.500000       0.031262
     2465.750000       0.032426
     2466.000000       0.033642
     2466.250000       0.034901
     2466.500000       0.036207
     2466.750000       0.037567
     2467.000000       0.038989
     2467.250000       0.040479
     2467.500000       0.042044
     2467.750000       0.043683
     2468.000000       0.045398
     2468.250000       0.047195
     2468.500000       0.049063
     2468.750000       0.050997
     2469.000000       0.053004
     2469.250000       0.055083
     2469.500000       0.057237
     2469.750000       0.059477
     2470.000000       0.061818
     2470.250000       0.064272
     2470.500000       0.066852
     2470.750000       0.069568
     2471.000000       0.072420
     2471.250000       0.075418
     2471.500000       0.078551
     2471.750000       0.081812
     2472.000000       0.085206
     2472.250000       0.088722
     2472.500000       0.092353
     2472.750000       0.096111
     2473.000000       0.100008
     2473.250000       0.104058
     2473.500000       0.108273
     2473.750000       0.112660
     2474.000000       0.117209
     2474.250000       0.121932
     2474.500000       0.126838
     2474.750000       0.131936
     2475.000000       0.137232
     2475.250000       0.142737
     2475.500000       0.148455
     2475.750000       0.154386
     2476.000000       0.160529
     2476.250000       0.166883
     2476.500000       0.173448
     2476.750000       0.180221
     2477.000000       0.187197
     2477.250000       0.194367
     2477.500000       0.201722
     2477.750000       0.209250
     2478.000000       0.216944
     2478.250000       0.224801
     2478.500000       0.232824
     2478.750000       0.241016
     2479.000000       0.249377
     2479.250000       0.257909
     2479.500000       0.266612
     2479.750000       0.275488
     2480.000000       0.284545
     2480.250000       0.293788
     2480.500000       0.303222
     2480.750000       0.312870
     2481.000000       0.322740
     2481.250000       0.332822
     2481.500000       0.343114
     2481.750000       0.353603
     2482.000000       0.364262
     2482.250000       0.375064
     2482.500000       0.385980
     2482.750000       0.396984
     2483.000000       0.408054
     2483.250000       0.419189
     2483.500000       0.430364
     2483.750000       0.441582
     2484.000000       0.452867
     2484.250000       0.464226
     2484.500000       0.475646
     2484.750000       0.487162
     2485.000000       0.498752
     2485.250000       0.510380
     2485.500000       0.522013
     2485.750000       0.533615
     2486.000000       0.545152
     2486.250000       0.556628
     2486.500000       0.568036
     2486.750000       0.579370
     2487.000000       0.590632
     2487.250000       0.601815
     2487.500000       0.612896
     2487.750000       0.623901
     2488.000000       0.634809
     2488.250000       0.645594
     2488.500000       0.656228
     2488.750000       0.666685
     2489.000000       0.676938
     2489.250000       0.686988
     2489.500000       0.696839
     2489.750000       0.706484
     2490.000000       0.715936
     2490.250000       0.725209
     2490.500000       0.734301
     2490.750000       0.743217
     2491.000000       0.751961
     2491.250000       0.760532
     2491.500000       0.768929
     2491.750000       0.777150
     2492.000000       0.785195
     2492.250000       0.793062
     2492.500000       0.800752
     2492.750000       0.808261
     2493.000000       0.815591
     2493.250000       0.822745
     2493.500000       0.829727
     2493.750000       0.836534
     2494.000000       0.843170
     2494.250000       0.849627
     2494.500000       0.855899
     2494.750000       0.861979
     2495.000000       0.867860
     2495.250000       0.873536
     2495.500000       0.879005
     2495.750000       0.884263
     2496.000000       0.889301
     2496.250000       0.894100
     2496.500000       0.898648
     2496.750000       0.902952
     2497.000000       0.907003
     2497.250000       0.910810
     2497.500000       0.914400
     2497.750000       0.917798
     2498.000000       0.921032
     2498.250000       0.924125
     2498.500000       0.927097
     2498.750000       0.929944
     2499.000000       0.932697
     2499.250000       0.935368
     2499.500000       0.937966
     2499.750000       0.940507
     2500.000000       0.943004
     2500.250000       0.945452
     2500.500000       0.947855
     2500.750000       0.950219
     2501.000000       0.952550
     2501.250000       0.954854
     2501.500000       0.957136
     2501.750000       0.959388
     2502.000000       0.961592
     2502.250000       0.963732
     2502.500000       0.965786
     2502.750000       0.967741
     2503.000000       0.969584
     2503.250000       0.971313
     2503.500000       0.972928
     2503.750000       0.974433
     2504.000000       0.975831
     2504.250000       0.977124
     2504.500000       0.978315
     2504.750000       0.979409
     2505.000000       0.980421
     2505.250000       0.981370
     2505.500000       0.982268
     2505.750000       0.983117
     2506.000000       0.983923
     2506.250000       0.984698
     2506.500000       0.985436
     2506.750000       0.986143
     2507.000000       0.986830
     2507.250000       0.987508
     2507.500000       0.988188
     2507.750000       0.988881
     2508.000000       0.989590
     2508.250000       0.990303
     2508.500000       0.991024
     2508.750000       0.991756
     2509.000000       0.992501
     2509.250000       0.993250
     2509.500000       0.994003
     2509.750000       0.994751
     2510.000000       0.995483
     2510.250000       0.996187
     2510.500000       0.996850
     2510.750000       0.997460
     2511.000000       0.998009
     2511.250000       0.998507
