   5 , eos_02_modis_05.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     7863.000000       0.000000
     7866.800000       0.010430
     7870.600000       0.011154
     7874.400000       0.012085
     7878.200000       0.013271
     7882.000000       0.014773
     7885.800000       0.016652
     7889.600000       0.018946
     7893.400000       0.021926
     7897.200000       0.025624
     7901.000000       0.029420
     7904.800000       0.033070
     7908.600000       0.036891
     7912.400000       0.040961
     7916.200000       0.045377
     7920.000000       0.051156
     7923.800000       0.058203
     7927.600000       0.067299
     7931.400000       0.079996
     7935.200000       0.095924
     7939.000000       0.114110
     7942.800000       0.134952
     7946.600000       0.157944
     7950.400000       0.181322
     7954.200000       0.205994
     7958.000000       0.235322
     7961.800000       0.269504
     7965.600000       0.308520
     7969.400000       0.354133
     7973.200000       0.405246
     7977.000000       0.457086
     7980.800000       0.508901
     7984.600000       0.560700
     7988.400000       0.610710
     7992.200000       0.658597
     7996.000000       0.704199
     7999.800000       0.747835
     8003.600000       0.788220
     8007.400000       0.823517
     8011.200000       0.853715
     8015.000000       0.880972
     8018.800000       0.906311
     8022.600000       0.929303
     8026.400000       0.950118
     8030.200000       0.968707
     8034.000000       0.983135
     8037.800000       0.992642
     8041.600000       0.998240
     8045.400000       1.000000
     8049.200000       0.997569
     8053.000000       0.994588
     8056.800000       0.993726
     8060.600000       0.992954
     8064.400000       0.990132
     8068.200000       0.985589
     8072.000000       0.977853
     8075.800000       0.964943
     8079.600000       0.947990
     8083.400000       0.928513
     8087.200000       0.905855
     8091.000000       0.880651
     8094.800000       0.855548
     8098.600000       0.830395
     8102.400000       0.801217
     8106.200000       0.766531
     8110.000000       0.728351
     8113.800000       0.687327
     8117.600000       0.642998
     8121.400000       0.597820
     8125.200000       0.553904
     8129.000000       0.510640
     8132.800000       0.468615
     8136.600000       0.428258
     8140.400000       0.389358
     8144.200000       0.351341
     8148.000000       0.314482
     8151.800000       0.279722
     8155.600000       0.247339
     8159.400000       0.217351
     8163.200000       0.190358
     8167.000000       0.166437
     8170.800000       0.145039
     8174.600000       0.125760
     8178.400000       0.108690
     8182.200000       0.093759
     8186.000000       0.080959
     8189.800000       0.070036
     8193.600000       0.060609
     8197.400000       0.052676
     8201.200000       0.045885
     8205.000000       0.039965
     8208.800000       0.034847
     8212.600000       0.030273
     8216.400000       0.026214
     8220.200000       0.022693
     8224.000000       0.019628
     8227.800000       0.016996
     8231.600000       0.014702
     8235.400000       0.012702
     8239.200000       0.011067
     8243.000000       0.000000
