  36 , eos_02_modis_36.flt
Number of data points:
133
Wavenumber (cm-1)   Filter response
      688.000000       0.000000
      688.250000       0.000000
      688.500000       0.010522
      688.750000       0.011023
      689.000000       0.012650
      689.250000       0.014048
      689.500000       0.016248
      689.750000       0.018739
      690.000000       0.021787
      690.250000       0.025632
      690.500000       0.030326
      690.750000       0.036031
      691.000000       0.042947
      691.250000       0.051133
      691.500000       0.060632
      691.750000       0.071848
      692.000000       0.085313
      692.250000       0.101297
      692.500000       0.120003
      692.750000       0.141854
      693.000000       0.167358
      693.250000       0.196908
      693.500000       0.230312
      693.750000       0.266959
      694.000000       0.306167
      694.250000       0.347884
      694.500000       0.391655
      694.750000       0.436566
      695.000000       0.481536
      695.250000       0.526186
      695.500000       0.569972
      695.750000       0.611964
      696.000000       0.651327
      696.250000       0.687597
      696.500000       0.720081
      696.750000       0.747952
      697.000000       0.770750
      697.250000       0.788680
      697.500000       0.802468
      697.750000       0.812876
      698.000000       0.820207
      698.250000       0.824603
      698.500000       0.826890
      698.750000       0.828200
      699.000000       0.829265
      699.250000       0.830227
      699.500000       0.831224
      699.750000       0.832563
      700.000000       0.834507
      700.250000       0.837095
      700.500000       0.840352
      700.750000       0.844303
      701.000000       0.849079
      701.250000       0.854792
      701.500000       0.861392
      701.750000       0.868796
      702.000000       0.876818
      702.250000       0.885109
      702.500000       0.893280
      702.750000       0.901114
      703.000000       0.908645
      703.250000       0.915983
      703.500000       0.923209
      703.750000       0.930338
      704.000000       0.937372
      704.250000       0.944406
      704.500000       0.951496
      704.750000       0.958578
      705.000000       0.965541
      705.250000       0.972286
      705.500000       0.978663
      705.750000       0.984514
      706.000000       0.989749
      706.250000       0.994132
      706.500000       0.997362
      706.750000       0.999257
      707.000000       1.000000
      707.250000       0.999455
      707.500000       0.997083
      707.750000       0.992116
      708.000000       0.984086
      708.250000       0.972651
      708.500000       0.957378
      708.750000       0.937854
      709.000000       0.913755
      709.250000       0.885141
      709.500000       0.852389
      709.750000       0.815852
      710.000000       0.775697
      710.250000       0.732392
      710.500000       0.686831
      710.750000       0.639995
      711.000000       0.592482
      711.250000       0.544836
      711.500000       0.497821
      711.750000       0.452213
      712.000000       0.408369
      712.250000       0.366540
      712.500000       0.327170
      712.750000       0.290910
      713.000000       0.257968
      713.250000       0.228214
      713.500000       0.201390
      713.750000       0.177315
      714.000000       0.155797
      714.250000       0.136687
      714.500000       0.119757
      714.750000       0.104757
      715.000000       0.091591
      715.250000       0.080188
      715.500000       0.070383
      715.750000       0.061821
      716.000000       0.054232
      716.250000       0.047612
      716.500000       0.041914
      716.750000       0.037062
      717.000000       0.032965
      717.250000       0.029504
      717.500000       0.026484
      717.750000       0.023700
      718.000000       0.021095
      718.250000       0.018776
      718.500000       0.016761
      718.750000       0.015000
      719.000000       0.014020
      719.250000       0.012634
      719.500000       0.011393
      719.750000       0.011052
      720.000000       0.011125
      720.250000       0.010122
      720.500000       0.000000
      720.750000       0.000000
      721.000000       0.000000
