4, FY2E VISSR Infrared channel (12.5 microns)
Number of data points:
268
Wavenumber (cm-1)   Filter response
      738.007400       0.007100
      738.552400       0.007500
      739.098300       0.007800
      739.645000       0.008100
      740.192500       0.008500
      740.740700       0.008900
      741.289800       0.009500
      741.839800       0.010200
      742.390500       0.010800
      742.942100       0.011500
      743.494400       0.012200
      744.047600       0.012900
      744.601600       0.013600
      745.156500       0.014600
      745.712200       0.015600
      746.268700       0.016600
      746.826000       0.017700
      747.384200       0.018700
      747.943200       0.019700
      748.503000       0.020900
      749.063700       0.022200
      749.625200       0.023600
      750.187500       0.025000
      750.750800       0.026400
      751.314800       0.027800
      751.879700       0.029200
      752.445400       0.031000
      753.012000       0.033400
      753.579500       0.035800
      754.147800       0.038200
      754.717000       0.040600
      755.287000       0.043100
      755.857900       0.045500
      756.429700       0.048200
      757.002300       0.051000
      757.575800       0.053900
      758.150100       0.056800
      758.725300       0.059700
      759.301400       0.062600
      759.878400       0.065600
      760.456300       0.069400
      761.035000       0.073400
      761.614600       0.077400
      762.195100       0.081400
      762.776500       0.085400
      763.358800       0.089500
      763.941900       0.094300
      764.526000       0.101400
      765.110900       0.108500
      765.696800       0.115700
      766.283500       0.122900
      766.871200       0.130200
      767.459700       0.137400
      768.049200       0.146200
      768.639500       0.155700
      769.230800       0.165300
      769.822900       0.174900
      770.416000       0.184600
      771.010000       0.194400
      771.604900       0.204500
      772.200800       0.216300
      772.797500       0.228200
      773.395200       0.240100
      773.993800       0.252100
      774.593300       0.264100
      775.193800       0.276100
      775.795200       0.293000
      776.397500       0.312300
      777.000800       0.331600
      777.605000       0.350900
      778.210100       0.370300
      778.816200       0.389700
      779.423200       0.410200
      780.031200       0.433100
      780.640100       0.456100
      781.250000       0.479300
      781.860800       0.502400
      782.472600       0.525600
      783.085400       0.548800
      783.699100       0.566600
      784.313700       0.584200
      784.929400       0.601900
      785.546000       0.619600
      786.163500       0.637300
      786.782100       0.655100
      787.401600       0.676000
      788.022100       0.698000
      788.643500       0.720100
      789.266000       0.742100
      789.889400       0.764200
      790.513800       0.786100
      791.139200       0.808400
      791.765600       0.831100
      792.393000       0.853700
      793.021400       0.876500
      793.650800       0.899300
      794.281200       0.922500
      794.912600       0.937900
      795.544900       0.940800
      796.178300       0.943700
      796.812700       0.946400
      797.448200       0.949100
      798.084600       0.951500
      798.722000       0.952900
      799.360500       0.951700
      800.000000       0.950600
      800.640500       0.949700
      801.282100       0.948800
      801.924600       0.948300
      802.568200       0.950500
      803.212900       0.959800
      803.858500       0.969200
      804.505200       0.978200
      805.153000       0.987300
      805.801800       0.996100
      806.451600       1.000000
      807.102500       0.993200
      807.754400       0.986500
      808.407400       0.979600
      809.061500       0.972700
      809.716600       0.965700
      810.372800       0.955800
      811.030000       0.942000
      811.688300       0.928200
      812.347700       0.914800
      813.008100       0.901200
      813.669700       0.887600
      814.332200       0.881700
      814.995900       0.881200
      815.660700       0.880700
      816.326500       0.880200
      816.993500       0.879600
      817.661500       0.879200
      818.330600       0.878200
      819.000800       0.876900
      819.672100       0.875700
      820.344500       0.874300
      821.018100       0.872900
      821.692700       0.871200
      822.368400       0.860100
      823.045300       0.848800
