4, FY2G VISSR Infrared channel (12.5 microns)
Number of data points:
201
Wavenumber (cm-1)   Filter response
      760.456300       0.000300
      761.035000       0.000600
      761.614600       0.001100
      762.195100       0.001400
      762.776500       0.001700
      763.358800       0.001800
      763.941900       0.002000
      764.526000       0.002100
      765.110900       0.002300
      765.696800       0.002200
      766.283500       0.002400
      766.871200       0.003000
      767.459700       0.003700
      768.049200       0.004400
      768.639500       0.004900
      769.230800       0.005700
      769.822900       0.006300
      770.416000       0.006600
      771.010000       0.006800
      771.604900       0.006900
      772.200800       0.007000
      772.797500       0.007100
      773.395200       0.007200
      773.993800       0.007600
      774.593300       0.009200
      775.193800       0.010700
      775.795200       0.012200
      776.397500       0.013700
      777.000800       0.015200
      777.605000       0.016600
      778.210100       0.024200
      778.816200       0.032100
      779.423200       0.040100
      780.031200       0.047900
      780.640100       0.055800
      781.250000       0.063500
      781.860800       0.080900
      782.472600       0.102000
      783.085400       0.122600
      783.699100       0.143600
      784.313700       0.163900
      784.929400       0.183900
      785.546000       0.213200
      786.163500       0.247600
      786.782100       0.282700
      787.401600       0.316500
      788.022100       0.349900
      788.643500       0.384500
      789.266000       0.426500
      789.889400       0.478900
      790.513800       0.528900
      791.139200       0.580400
      791.765600       0.631700
      792.393000       0.682700
      793.021400       0.724800
      793.650800       0.758100
      794.281200       0.790800
      794.912600       0.823500
      795.544900       0.855800
      796.178300       0.888000
      796.812700       0.906800
      797.448200       0.912900
      798.084600       0.919300
      798.722000       0.925400
      799.360500       0.931300
      800.000000       0.937100
      800.640500       0.937000
      801.282100       0.932800
      801.924600       0.928600
      802.568200       0.924600
      803.212900       0.920700
      803.858500       0.917000
      804.505200       0.911900
      805.153000       0.906400
      805.801800       0.900800
      806.451600       0.895200
      807.102500       0.889700
      807.754400       0.884000
      808.407400       0.885000
      809.061500       0.886200
      809.716600       0.886900
      810.372800       0.887700
      811.030000       0.892200
      811.688300       0.891300
      812.347700       0.887600
      813.008100       0.880400
      813.669700       0.876700
      814.332200       0.869400
      814.995900       0.862000
      815.660700       0.860100
      816.326500       0.856200
      816.993500       0.855700
      817.661500       0.851700
      818.330600       0.851300
      819.000800       0.847300
      819.672100       0.854600
      820.344500       0.859100
      821.018100       0.863200
      821.692700       0.871500
      822.368400       0.875700
      823.045300       0.882900
      823.723200       0.883700
      824.402300       0.888700
      825.082500       0.889700
      825.763800       0.890500
      826.446300       0.895700
      827.129900       0.897100
      827.814600       0.902900
      828.500400       0.904800
      829.187400       0.910400
      829.875500       0.912200
      830.564800       0.918000
      831.255200       0.923200
      831.946800       0.928600
      832.639500       0.938700
      833.333300       0.944600
      834.028400       0.951100
      834.724500       0.954600
      835.421900       0.958300
      836.120400       0.961800
      836.820100       0.965800
      837.520900       0.969700
      838.223000       0.978300
      838.926200       0.982700
      839.630600       0.987400
      840.336100       0.992000
      841.042900       0.996500
      841.750800       1.000000
      842.460000       0.996600
      843.170300       0.993300
      843.881900       0.989900
      844.594600       0.986400
      845.308500       0.987700
      846.023700       0.980600
      846.740100       0.973100
      847.457600       0.965100
      848.176400       0.957000
      848.896400       0.949200
      849.617700       0.942800
      850.340100       0.942300
      851.063800       0.937100
      851.788800       0.936200
      852.514900       0.930300
      853.242300       0.918200
      853.971000       0.888800
      854.700900       0.863100
      855.432000       0.832800
      856.164400       0.802900
      856.898000       0.769700
      857.632900       0.717300
      858.369100       0.667500
      859.106500       0.613300
      859.845200       0.559000
      860.585200       0.508700
      861.326400       0.463600
      862.069000       0.420200
      862.812800       0.374400
      863.557900       0.328400
      864.304200       0.286600
      865.051900       0.259000
      865.800900       0.232300
      866.551100       0.204400
      867.302700       0.176200
      868.055600       0.150700
      868.809700       0.135700
      869.565200       0.121900
      870.322000       0.107200
      871.080100       0.092800
      871.839600       0.078900
      872.600300       0.071600
      873.362400       0.064000
      874.125900       0.055900
      874.890600       0.047900
      875.656700       0.040700
      876.424200       0.037400
      877.193000       0.033700
      877.963100       0.030200
      878.734600       0.026300
      879.507500       0.023100
      880.281700       0.021100
      881.057300       0.018900
      881.834200       0.016800
      882.612500       0.014600
      883.392200       0.013000
      884.173300       0.012100
      884.955800       0.011100
      885.739600       0.010100
      886.524800       0.009100
      887.311400       0.008300
      888.099500       0.007700
      888.888900       0.007100
      889.679700       0.006400
      890.472000       0.005800
      891.265600       0.005700
      892.060700       0.005600
      892.857100       0.005700
      893.655000       0.005600
      894.454400       0.005600
      895.255100       0.005100
      896.057300       0.004600
      896.861000       0.004100
