1, FY2H VISSR Visible channel (A1)) original file name: FY2H_SRF_VIS_0p55-0p75.txt
Number of data points:
401
Wavenumber (cm-1)   Filter response
    11764.705900       0.003200
    11778.563000       0.003100
    11792.452800       0.002500
    11806.375400       0.002700
    11820.331000       0.002800
    11834.319500       0.003200
    11848.341200       0.002800
    11862.396200       0.002700
    11876.484600       0.003300
    11890.606400       0.002600
    11904.761900       0.002900
    11918.951100       0.003300
    11933.174200       0.002800
    11947.431300       0.003200
    11961.722500       0.003000
    11976.047900       0.003000
    11990.407700       0.003100
    12004.801900       0.002800
    12019.230800       0.002300
    12033.694300       0.002700
    12048.192800       0.003200
    12062.726200       0.003400
    12077.294700       0.002400
    12091.898400       0.003000
    12106.537500       0.002800
    12121.212100       0.003400
    12135.922300       0.003700
    12150.668300       0.003900
    12165.450100       0.003300
    12180.268000       0.003400
    12195.122000       0.003000
    12210.012200       0.003500
    12224.938900       0.003700
    12239.902100       0.003000
    12254.902000       0.003500
    12269.938700       0.003700
    12285.012300       0.004000
    12300.123000       0.004000
    12315.270900       0.004200
    12330.456200       0.004400
    12345.679000       0.004400
    12360.939400       0.004300
    12376.237600       0.004800
    12391.573700       0.003900
    12406.947900       0.004200
    12422.360200       0.004300
    12437.810900       0.004600
    12453.300100       0.004700
    12468.827900       0.004800
    12484.394500       0.005600
    12500.000000       0.006000
    12515.644600       0.005800
    12531.328300       0.006000
    12547.051400       0.006000
    12562.814100       0.006900
    12578.616400       0.007300
    12594.458400       0.007900
    12610.340500       0.007700
    12626.262600       0.009100
    12642.225000       0.009200
    12658.227800       0.009800
    12674.271200       0.010800
    12690.355300       0.011300
    12706.480300       0.012200
    12722.646300       0.014300
    12738.853500       0.015800
    12755.102000       0.017200
    12771.392100       0.018500
    12787.723800       0.020300
    12804.097300       0.022500
    12820.512800       0.025100
    12836.970500       0.028000
    12853.470400       0.031100
    12870.012900       0.033900
    12886.597900       0.037200
    12903.225800       0.041500
    12919.896600       0.046600
    12936.610600       0.051800
    12953.367900       0.057900
    12970.168600       0.063800
    12987.013000       0.070700
    13003.901200       0.079100
    13020.833300       0.089100
    13037.809600       0.099400
    13054.830300       0.110500
    13071.895400       0.122600
    13089.005200       0.136100
    13106.159900       0.150600
    13123.359600       0.167000
    13140.604500       0.184400
    13157.894700       0.204600
    13175.230600       0.225500
    13192.612100       0.246900
    13210.039600       0.270300
    13227.513200       0.294500
    13245.033100       0.319800
    13262.599500       0.347500
    13280.212500       0.372800
    13297.872300       0.401800
    13315.579200       0.432700
    13333.333300       0.462000
    13351.134800       0.493300
    13368.984000       0.526600
    13386.880900       0.556400
    13404.825700       0.589600
    13422.818800       0.622500
    13440.860200       0.652700
    13458.950200       0.684700
    13477.088900       0.713700
    13495.276700       0.743100
    13513.513500       0.770600
    13531.799700       0.796300
    13550.135500       0.820100
    13568.521000       0.841900
    13586.956500       0.862000
    13605.442200       0.883300
    13623.978200       0.900800
    13642.564800       0.916300
    13661.202200       0.931000
    13679.890600       0.943900
    13698.630100       0.956200
    13717.421100       0.965000
    13736.263700       0.972600
    13755.158200       0.979100
    13774.104700       0.985500
    13793.103400       0.991500
    13812.154700       0.993200
    13831.258600       0.996300
    13850.415500       1.000000
    13869.625500       0.998900
    13888.888900       0.998300
    13908.205800       0.996300
    13927.576600       0.995400
    13947.001400       0.997100
    13966.480400       0.995900
    13986.014000       0.994800
    14005.602200       0.995400
    14025.245400       0.993100
    14044.943800       0.992300
    14064.697600       0.991000
    14084.507000       0.991300
    14104.372400       0.991500
    14124.293800       0.990200
    14144.271600       0.989400
    14164.305900       0.989600
    14184.397200       0.988400
    14204.545500       0.988700
    14224.751100       0.989400
    14245.014200       0.989800
    14265.335200       0.986600
    14285.714300       0.984300
    14306.151600       0.985200
