4, FY2H VISSR Infrared channel (10.5 microns) original file name: FY2H_SRF_IR1_10p3-11p3.txt
Number of data points:
201
Wavenumber (cm-1)   Filter response
      847.457600       0.003000
      848.176400       0.003500
      848.896400       0.003900
      849.617700       0.004200
      850.340100       0.004600
      851.063800       0.005500
      851.788800       0.006600
      852.514900       0.007500
      853.242300       0.007800
      853.971000       0.008200
      854.700900       0.008000
      855.432000       0.007300
      856.164400       0.006600
      856.898000       0.006600
      857.632900       0.006700
      858.369100       0.006700
      859.106500       0.006700
      859.845200       0.006600
      860.585200       0.005700
      861.326400       0.004400
      862.069000       0.003200
      862.812800       0.003200
      863.557900       0.003100
      864.304200       0.003800
      865.051900       0.005200
      865.800900       0.006700
      866.551100       0.008100
      867.302700       0.009500
      868.055600       0.011300
      868.809700       0.013600
      869.565200       0.016000
      870.322000       0.018300
      871.080100       0.020700
      871.839600       0.022700
      872.600300       0.023700
      873.362400       0.024600
      874.125900       0.026600
      874.890600       0.029100
      875.656700       0.031900
      876.424200       0.036100
      877.193000       0.040200
      877.963100       0.047100
      878.734600       0.055200
      879.507500       0.067100
      880.281700       0.097600
      881.057300       0.128200
      881.834200       0.181600
      882.612500       0.245900
      883.392200       0.311700
      884.173300       0.383600
      884.955800       0.455300
      885.739600       0.509900
      886.524800       0.558300
      887.311400       0.602100
      888.099500       0.634000
      888.888900       0.666200
      889.679700       0.701600
      890.472000       0.737800
      891.265600       0.775400
      892.060700       0.815000
      892.857100       0.854400
      893.655000       0.882600
      894.454400       0.910400
      895.255100       0.927900
      896.057300       0.937500
      896.861000       0.945600
      897.666100       0.945700
      898.472600       0.946000
      899.280600       0.947600
      900.090000       0.949900
      900.900900       0.953400
      901.713300       0.959100
      902.527100       0.964800
      903.342400       0.967700
      904.159100       0.970600
      904.977400       0.968800
      905.797100       0.964500
      906.618300       0.959200
      907.441000       0.951400
      908.265200       0.943700
      909.090900       0.942400
      909.918100       0.941500
      910.746800       0.947800
      911.577000       0.958600
      912.408800       0.970000
      913.242000       0.982600
      914.076800       0.995300
      914.913100       0.996100
      915.750900       0.996700
      916.590300       0.987500
      917.431200       0.973600
      918.273600       0.957700
      919.117600       0.939100
      919.963200       0.921300
      920.810300       0.910800
      921.659000       0.900400
      922.509200       0.901700
      923.361000       0.905500
      924.214400       0.915100
      925.069400       0.929200
      925.925900       0.943700
      926.784100       0.959200
      927.643800       0.974500
      928.505100       0.983500
      929.368000       0.992500
      930.232600       0.993000
      931.098700       0.991400
      931.966400       0.986700
      932.835800       0.979800
      933.706800       0.975000
      934.579400       0.973600
      935.453700       0.973500
      936.329600       0.980200
      937.207100       0.986800
      938.086300       0.993400
      938.967100       0.999900
      939.849600       1.000000
      940.733800       0.998200
      941.619600       0.990900
      942.507100       0.979800
      943.396200       0.967400
      944.287100       0.953200
      945.179600       0.940300
      946.073800       0.930900
      946.969700       0.922400
      947.867300       0.920600
      948.766600       0.918900
      949.667600       0.923400
      950.570300       0.928000
      951.474800       0.936400
      952.381000       0.945500
      953.288800       0.953000
      954.198500       0.960000
      955.109800       0.960600
      956.022900       0.956500
      956.937800       0.947200
      957.854400       0.931700
      958.772800       0.913800
      959.692900       0.891500
      960.614800       0.867200
      961.538500       0.837000
      962.463900       0.805600
      963.391100       0.767400
      964.320200       0.729100
      965.251000       0.688300
      966.183600       0.647700
      967.118000       0.608700
      968.054200       0.569600
      968.992200       0.531100
      969.932100       0.492700
      970.873800       0.453200
      971.817300       0.413700
      972.762600       0.376200
      973.709800       0.339200
      974.658900       0.307300
      975.609800       0.276500
      976.562500       0.248700
      977.517100       0.221800
      978.473600       0.196100
      979.431900       0.170800
      980.392200       0.149200
      981.354300       0.128700
      982.318300       0.113200
      983.284200       0.099300
      984.252000       0.088200
      985.221700       0.078000
      986.193300       0.069100
      987.166800       0.060600
      988.142300       0.053600
      989.119700       0.047100
      990.099000       0.041900
      991.080300       0.036900
      992.063500       0.032400
      993.048700       0.028000
      994.035800       0.024400
      995.024900       0.020800
      996.015900       0.018600
      997.009000       0.016400
      998.004000       0.014600
      999.001000       0.012800
     1000.000000       0.011100
     1001.001000       0.009500
     1002.004000       0.008500
     1003.009000       0.007700
     1004.016100       0.007300
     1005.025100       0.006800
     1006.036200       0.006100
     1007.049300       0.005500
     1008.064500       0.004900
     1009.081700       0.004500
     1010.101000       0.004200
     1011.122300       0.003900
     1012.145700       0.003600
     1013.171200       0.003500
     1014.198800       0.003300
     1015.228400       0.003300
     1016.260200       0.003300
     1017.294000       0.003000
     1018.329900       0.002800
     1019.368000       0.003000
     1020.408200       0.003400
