11, GF-5 TIR channel 11.0um
Number of data points:
165
Wavenumber (cm-1)   Filter response
      859.106529       0.032800
      859.845228       0.042900
      860.585198       0.053000
      861.326443       0.063200
      862.068966       0.073300
      862.812770       0.083400
      863.557858       0.093500
      864.304235       0.103700
      865.051903       0.113800
      865.800866       0.118200
      866.551127       0.122500
      867.302689       0.126900
      868.055556       0.131300
      868.809731       0.138500
      869.565217       0.145700
      870.322019       0.153000
      871.080139       0.160200
      871.839582       0.167400
      872.600349       0.174700
      873.362445       0.181900
      874.125874       0.189200
      874.890639       0.200600
      875.656743       0.212100
      876.424189       0.223500
      877.192982       0.234900
      877.963126       0.263700
      878.734622       0.292600
      879.507476       0.321400
      880.281690       0.350300
      881.057269       0.400400
      881.834215       0.450600
      882.612533       0.500700
      883.392226       0.550900
      884.173298       0.572500
      884.955752       0.594100
      885.739593       0.615800
      886.524823       0.637400
      887.311446       0.657200
      888.099467       0.677000
      888.888889       0.696900
      889.679715       0.716700
      890.471950       0.738800
      891.265597       0.760900
      892.060660       0.783000
      892.857143       0.805100
      893.655049       0.816200
      894.454383       0.827400
      895.255148       0.838600
      896.057348       0.849700
      896.860987       0.862300
      897.666068       0.874900
      898.472597       0.887600
      899.280576       0.900200
      900.090009       0.908600
      900.900901       0.917100
      901.713255       0.925500
      902.527076       0.934000
      903.342367       0.941000
      904.159132       0.948000
      904.977376       0.955100
      905.797101       0.962100
      906.618314       0.967600
      907.441016       0.973100
      908.265213       0.978600
      909.090909       0.984100
      909.918107       0.988100
      910.746812       0.992000
      911.577028       0.996000
      912.408759       1.000000
      913.242009       0.996900
      914.076782       0.993800
      914.913083       0.990600
      915.750916       0.987500
      916.590284       0.985900
      917.431193       0.984200
      918.273646       0.982600
      919.117647       0.980900
      919.963201       0.980700
      920.810313       0.980500
      921.658986       0.980200
      922.509225       0.980000
      923.361034       0.968000
      924.214418       0.956100
      925.069380       0.944100
      925.925926       0.932100
      926.784059       0.920200
      927.643785       0.908200
      928.505107       0.896200
      929.368030       0.884300
      930.232558       0.872300
      931.098696       0.860300
      931.966449       0.848400
      932.835821       0.836400
      933.706816       0.824500
      934.579439       0.812500
      935.453695       0.800600
      936.329588       0.788600
      937.207123       0.774900
      938.086304       0.761100
      938.967136       0.747400
      939.849624       0.733700
      940.733772       0.718300
      941.619586       0.702800
      942.507069       0.687400
      943.396226       0.671900
      944.287063       0.656400
      945.179584       0.641000
      946.073794       0.625500
      946.969697       0.610000
      947.867299       0.594600
      948.766603       0.579100
      949.667616       0.563600
      950.570342       0.548200
      951.474786       0.532800
      952.380952       0.517300
      953.288847       0.501900
      954.198473       0.486400
      955.109838       0.459100
      956.022945       0.431700
      956.937799       0.404300
      957.854406       0.377000
      958.772771       0.351000
      959.692898       0.324900
      960.614793       0.298900
      961.538462       0.272900
      962.463908       0.245700
      963.391137       0.218600
      964.320154       0.191400
      965.250965       0.164200
      966.183575       0.159800
      967.117988       0.155400
      968.054211       0.151000
      968.992248       0.146600
      969.932105       0.134100
      970.873786       0.121700
      971.817298       0.109200
      972.762646       0.096700
      973.709834       0.087800
      974.658869       0.078900
      975.609756       0.070100
      976.562500       0.061200
      977.517107       0.058200
      978.473581       0.055200
      979.431929       0.052200
      980.392157       0.049200
      981.354269       0.045100
      982.318271       0.041000
      983.284169       0.036900
      984.251969       0.032800
      985.221675       0.031900
      986.193294       0.031000
      987.166831       0.030000
      988.142292       0.029100
      989.119683       0.028000
      990.099010       0.027000
      991.080278       0.025900
      992.063492       0.024800
      993.048659       0.023800
      994.035785       0.022800
      995.024876       0.021800
      996.015936       0.020800
      997.008973       0.021000
      998.003992       0.021300
      999.000999       0.021600
     1000.000000       0.021800
