1, GMS 1 VISSR Infrared channel,
Number of data points:
53
Wavenumber (cm-1)   Filter response
      709.219900       0.000000
      714.285700       0.014000
      719.424500       0.012000
      724.637700       0.009000
      729.927000       0.010000
      735.294100       0.011000
      740.740700       0.011000
      746.268700       0.010000
      751.879700       0.010000
      757.575800       0.009000
      763.358800       0.021000
      769.230800       0.033000
      775.193800       0.088000
      781.250000       0.210000
      787.401600       0.372000
      793.650800       0.429000
      800.000000       0.404000
      806.451600       0.414000
      813.008100       0.451000
      819.672100       0.465000
      826.446300       0.466000
      833.333300       0.471000
      840.336100       0.489000
      847.457600       0.508000
      854.700900       0.578000
      862.069000       0.652000
      869.565200       0.704000
      877.193000       0.789000
      884.955800       0.857000
      892.857100       0.904000
      900.900900       0.941000
      909.090900       1.000000
      917.431200       0.944000
      925.925900       0.947000
      934.579400       0.943000
      943.396200       0.871000
      952.381000       0.675000
      961.538500       0.355000
      970.873800       0.104000
      980.392200       0.020000
      990.099000       0.004000
     1000.000000       0.002000
     1010.101000       0.002000
     1020.408200       0.002000
     1030.927800       0.002000
     1041.666700       0.002000
     1052.631600       0.002000
     1063.829800       0.002000
     1075.268800       0.002000
     1086.956500       0.002000
     1098.901100       0.002000
     1111.111100       0.001000
     1123.595500       0.000000
