2, GMS 2 VISSR Visible channel
Number of data points:
46
Wavenumber (cm-1)   Filter response
    11111.111100       0.000000
    11235.955100       0.003000
    11363.636400       0.006000
    11494.252900       0.015000
    11627.907000       0.023000
    11764.705900       0.035000
    11904.761900       0.046000
    12048.192800       0.065000
    12195.122000       0.084000
    12345.679000       0.109000
    12500.000000       0.133000
    12658.227800       0.166000
    12820.512800       0.190000
    12987.013000       0.221000
    13157.894700       0.266000
    13333.333300       0.313000
    13513.513500       0.385000
    13698.630100       0.444000
    13888.888900       0.503000
    14084.507000       0.532000
    14285.714300       0.557000
    14492.753600       0.611000
    14705.882400       0.690000
    14925.373100       0.768000
    15151.515200       0.810000
    15384.615400       0.829000
    15625.000000       0.830000
    15873.015900       0.837000
    16129.032300       0.908000
    16393.442600       0.970000
    16666.666700       1.000000
    16949.152500       0.987000
    17241.379300       0.967000
    17543.859600       0.970000
    17857.142900       0.983000
    18181.818200       0.974000
    18518.518500       0.930000
    18867.924500       0.843000
    19230.769200       0.762000
    19607.843100       0.677000
    20000.000000       0.573000
    20408.163300       0.401000
    20833.333300       0.188000
    21276.595700       0.036000
    21739.130400       0.002000
    22222.222200       0.000000
