02 , goes_12_sounder_02.flt
Number of data points:
394
Wavenumber (cm-1)   Filter response
      675.700000       0.000011
      675.800000       0.000000
      675.900000       0.000000
      676.000000       0.000000
      676.100000       0.000000
      676.200000       0.000000
      676.300000       0.000000
      676.400000       0.000000
      676.500000       0.000000
      676.600000       0.000000
      676.700000       0.000000
      676.800000       0.000000
      676.900000       0.000000
      677.000000       0.000000
      677.100000       0.000000
      677.200000       0.000000
      677.300000       0.000000
      677.400000       0.000000
      677.500000       0.000000
      677.600000       0.000000
      677.700000       0.000000
      677.800000       0.000000
      677.900000       0.000000
      678.000000       0.000000
      678.100000       0.000000
      678.200000       0.000000
      678.300000       0.000000
      678.400000       0.000000
      678.500000       0.000000
      678.600000       0.000000
      678.700000       0.000000
      678.800000       0.000000
      678.900000       0.000000
      679.000000       0.000000
      679.100000       0.000000
      679.200000       0.000000
      679.300000       0.000000
      679.400000       0.000000
      679.500000       0.000000
      679.600000       0.000000
      679.700000       0.000000
      679.800000       0.000000
      679.900000       0.000000
      680.000000       0.000000
      680.100000       0.000000
      680.200000       0.000000
      680.300000       0.000000
      680.400000       0.000000
      680.500000       0.000000
      680.600000       0.000000
      680.700000       0.000000
      680.800000       0.000000
      680.900000       0.000000
      681.000000       0.000000
      681.100000       0.000000
      681.200000       0.000000
      681.300000       0.000000
      681.400000       0.000000
      681.500000       0.000053
      681.600000       0.000372
      681.700000       0.000725
      681.800000       0.001133
      681.900000       0.001649
      682.000000       0.002253
      682.100000       0.002945
      682.200000       0.003705
      682.300000       0.004533
      682.400000       0.005407
      682.500000       0.006307
      682.600000       0.007221
      682.700000       0.008160
      682.800000       0.009091
      682.900000       0.009983
      683.000000       0.010845
      683.100000       0.011701
      683.200000       0.012420
      683.300000       0.012973
      683.400000       0.013549
      683.500000       0.014227
      683.600000       0.014847
      683.700000       0.015596
      683.800000       0.016692
      683.900000       0.017937
      684.000000       0.019464
      684.100000       0.021422
      684.200000       0.023793
      684.300000       0.026470
      684.400000       0.029435
      684.500000       0.032439
      684.600000       0.035256
      684.700000       0.037860
      684.800000       0.040182
      684.900000       0.042566
      685.000000       0.044898
      685.100000       0.047378
      685.200000       0.050229
      685.300000       0.053529
      685.400000       0.057525
      685.500000       0.062278
      685.600000       0.068244
      685.700000       0.075359
      685.800000       0.083198
      685.900000       0.090961
      686.000000       0.098114
      686.100000       0.104339
      686.200000       0.110325
      686.300000       0.117506
      686.400000       0.126743
      686.500000       0.136416
      686.600000       0.145560
      686.700000       0.153634
      686.800000       0.160246
      686.900000       0.168449
      687.000000       0.181360
      687.100000       0.196482
      687.200000       0.209562
      687.300000       0.219803
      687.400000       0.233629
      687.500000       0.251474
      687.600000       0.265288
      687.700000       0.275384
      687.800000       0.286780
      687.900000       0.304847
      688.000000       0.320095
      688.100000       0.329364
      688.200000       0.343976
      688.300000       0.359420
      688.400000       0.383889
      688.500000       0.407112
      688.600000       0.414139
      688.700000       0.433416
      688.800000       0.453570
      688.900000       0.468730
      689.000000       0.479492
      689.100000       0.502666
      689.200000       0.528861
      689.300000       0.554273
      689.400000       0.561647
      689.500000       0.581904
      689.600000       0.595794
      689.700000       0.608846
      689.800000       0.623082
      689.900000       0.637860
      690.000000       0.659165
      690.100000       0.678768
      690.200000       0.709197
      690.300000       0.719289
      690.400000       0.720124
      690.500000       0.726516
      690.600000       0.739024
      690.700000       0.750907
      690.800000       0.759282
      690.900000       0.769874
      691.000000       0.790928
      691.100000       0.800359
      691.200000       0.816684
      691.300000       0.826906
      691.400000       0.833964
      691.500000       0.844896
      691.600000       0.857650
      691.700000       0.865912
      691.800000       0.872906
      691.900000       0.878437
