17, goes_14_sounder_17.flt  GOESO_sdr_operational_srf_rev_F
Number of data points:
1197
Wavenumber (cm-1)   Filter response
     2453.300000       0.001755
     2453.400000       0.001770
     2453.500000       0.001786
     2453.600000       0.001802
     2453.700000       0.001818
     2453.800000       0.001833
     2453.900000       0.001848
     2454.000000       0.001861
     2454.100000       0.001873
     2454.200000       0.001883
     2454.300000       0.001893
     2454.400000       0.001902
     2454.500000       0.001910
     2454.600000       0.001918
     2454.700000       0.001926
     2454.800000       0.001935
     2454.900000       0.001943
     2455.000000       0.001950
     2455.100000       0.001957
     2455.200000       0.001964
     2455.300000       0.001969
     2455.400000       0.001974
     2455.500000       0.001979
     2455.600000       0.001983
     2455.700000       0.001988
     2455.800000       0.001993
     2455.900000       0.001999
     2456.000000       0.002006
     2456.100000       0.002013
     2456.200000       0.002020
     2456.300000       0.002027
     2456.400000       0.002033
     2456.500000       0.002039
     2456.600000       0.002046
     2456.700000       0.002052
     2456.800000       0.002060
     2456.900000       0.002070
     2457.000000       0.002081
     2457.100000       0.002095
     2457.200000       0.002112
     2457.300000       0.002130
     2457.400000       0.002150
     2457.500000       0.002170
     2457.600000       0.002190
     2457.700000       0.002211
     2457.800000       0.002232
     2457.900000       0.002254
     2458.000000       0.002277
     2458.100000       0.002303
     2458.200000       0.002332
     2458.300000       0.002365
     2458.400000       0.002400
     2458.500000       0.002438
     2458.600000       0.002477
     2458.700000       0.002517
     2458.800000       0.002558
     2458.900000       0.002597
     2459.000000       0.002637
     2459.100000       0.002676
     2459.200000       0.002716
     2459.300000       0.002756
     2459.400000       0.002798
     2459.500000       0.002840
     2459.600000       0.002883
     2459.700000       0.002926
     2459.800000       0.002968
     2459.900000       0.003009
     2460.000000       0.003047
     2460.100000       0.003084
     2460.200000       0.003117
     2460.300000       0.003150
     2460.400000       0.003181
     2460.500000       0.003211
     2460.600000       0.003242
     2460.700000       0.003273
     2460.800000       0.003304
     2460.900000       0.003335
     2461.000000       0.003366
     2461.100000       0.003396
     2461.200000       0.003426
     2461.300000       0.003454
     2461.400000       0.003482
     2461.500000       0.003509
     2461.600000       0.003536
     2461.700000       0.003563
     2461.800000       0.003591
     2461.900000       0.003620
     2462.000000       0.003650
     2462.100000       0.003680
     2462.200000       0.003711
     2462.300000       0.003741
     2462.400000       0.003771
     2462.500000       0.003800
     2462.600000       0.003829
     2462.700000       0.003859
     2462.800000       0.003891
     2462.900000       0.003925
     2463.000000       0.003961
     2463.100000       0.004002
     2463.200000       0.004045
     2463.300000       0.004090
     2463.400000       0.004138
     2463.500000       0.004186
     2463.600000       0.004234
     2463.700000       0.004282
     2463.800000       0.004330
     2463.900000       0.004379
     2464.000000       0.004430
     2464.100000       0.004483
     2464.200000       0.004539
     2464.300000       0.004599
     2464.400000       0.004662
     2464.500000       0.004727
     2464.600000       0.004795
     2464.700000       0.004864
     2464.800000       0.004934
     2464.900000       0.005004
     2465.000000       0.005076
     2465.100000       0.005148
     2465.200000       0.005221
     2465.300000       0.005296
     2465.400000       0.005371
     2465.500000       0.005448
     2465.600000       0.005527
     2465.700000       0.005606
     2465.800000       0.005686
     2465.900000       0.005767
     2466.000000       0.005849
     2466.100000       0.005931
     2466.200000       0.006013
     2466.300000       0.006096
     2466.400000       0.006178
     2466.500000       0.006261
     2466.600000       0.006344
     2466.700000       0.006426
     2466.800000       0.006509
     2466.900000       0.006592
     2467.000000       0.006675
     2467.100000       0.006758
     2467.200000       0.006842
     2467.300000       0.006926
     2467.400000       0.007010
     2467.500000       0.007095
     2467.600000       0.007180
     2467.700000       0.007265
     2467.800000       0.007350
     2467.900000       0.007435
     2468.000000       0.007520
     2468.100000       0.007605
     2468.200000       0.007690
     2468.300000       0.007774
     2468.400000       0.007857
     2468.500000       0.007941
     2468.600000       0.008024
     2468.700000       0.008108
     2468.800000       0.008194
     2468.900000       0.008281
     2469.000000       0.008370
     2469.100000       0.008463
     2469.200000       0.008558
     2469.300000       0.008656
     2469.400000       0.008754
     2469.500000       0.008854
     2469.600000       0.008954
     2469.700000       0.009054
     2469.800000       0.009155
     2469.900000       0.009257
     2470.000000       0.009362
     2470.100000       0.009471
     2470.200000       0.009584
     2470.300000       0.009702
     2470.400000       0.009825
     2470.500000       0.009953
     2470.600000       0.010085
     2470.700000       0.010222
     2470.800000       0.010361
     2470.900000       0.010505
     2471.000000       0.010651
     2471.100000       0.010799
     2471.200000       0.010950
     2471.300000       0.011103
