08, goes_15_sounder_08.flt GOESP_sdr_operational_srf_rev_F
Number of data points:
804
Wavenumber (cm-1)   Filter response
      870.400000       0.000248
      870.500000       0.000255
      870.600000       0.000262
      870.700000       0.000779
      870.800000       0.000801
      870.900000       0.000823
      871.000000       0.000847
      871.100000       0.000871
      871.200000       0.000897
      871.300000       0.000925
      871.400000       0.000954
      871.500000       0.000985
      871.600000       0.001017
      871.700000       0.001052
      871.800000       0.001088
      871.900000       0.001392
      872.000000       0.001442
      872.100000       0.001496
      872.200000       0.001552
      872.300000       0.001611
      872.400000       0.001671
      872.500000       0.001731
      872.600000       0.001793
      872.700000       0.001854
      872.800000       0.001914
      872.900000       0.001973
      873.000000       0.002030
      873.100000       0.002084
      873.200000       0.002140
      873.300000       0.002199
      873.400000       0.002265
      873.500000       0.002342
      873.600000       0.002433
      873.700000       0.002548
      873.800000       0.002722
      873.900000       0.002946
      874.000000       0.003214
      874.100000       0.003518
      874.200000       0.003848
      874.300000       0.004194
      874.400000       0.004548
      874.500000       0.004902
      874.600000       0.005246
      874.700000       0.005577
      874.800000       0.005889
      874.900000       0.006176
      875.000000       0.006435
      875.100000       0.006663
      875.200000       0.006857
      875.300000       0.007016
      875.400000       0.007140
      875.500000       0.007232
      875.600000       0.007296
      875.700000       0.007341
      875.800000       0.007377
      875.900000       0.007415
      876.000000       0.007474
      876.100000       0.007567
      876.200000       0.007711
      876.300000       0.007919
      876.400000       0.008202
      876.500000       0.008569
      876.600000       0.009020
      876.700000       0.009554
      876.800000       0.010165
      876.900000       0.010841
      877.000000       0.011573
      877.100000       0.012345
      877.200000       0.013146
      877.300000       0.013967
      877.400000       0.014802
      877.500000       0.015647
      877.600000       0.016506
      877.700000       0.017381
      877.800000       0.018284
      877.900000       0.019223
      878.000000       0.020208
      878.100000       0.021246
      878.200000       0.022344
      878.300000       0.023504
      878.400000       0.024724
      878.500000       0.025998
      878.600000       0.027322
      878.700000       0.028681
      878.800000       0.030069
      878.900000       0.031475
      879.000000       0.032895
      879.100000       0.034326
      879.200000       0.035772
      879.300000       0.037239
      879.400000       0.038741
      879.500000       0.040295
      879.600000       0.041926
      879.700000       0.043652
      879.800000       0.045498
      879.900000       0.047490
      880.000000       0.049650
      880.100000       0.051996
      880.200000       0.054541
      880.300000       0.057297
      880.400000       0.060269
      880.500000       0.063463
      880.600000       0.066870
      880.700000       0.070485
      880.800000       0.074300
      880.900000       0.078302
      881.000000       0.082483
      881.100000       0.086825
      881.200000       0.091313
      881.300000       0.095940
      881.400000       0.100698
      881.500000       0.105590
      881.600000       0.110607
      881.700000       0.115758
      881.800000       0.121053
      881.900000       0.126510
      882.000000       0.132136
      882.100000       0.137959
      882.200000       0.143987
      882.300000       0.150243
      882.400000       0.156744
      882.500000       0.163506
      882.600000       0.170526
      882.700000       0.177813
      882.800000       0.185371
      882.900000       0.193181
      883.000000       0.201237
      883.100000       0.209533
      883.200000       0.218042
      883.300000       0.226750
      883.400000       0.235644
      883.500000       0.244716
      883.600000       0.253936
      883.700000       0.263310
      883.800000       0.272806
      883.900000       0.282424
      884.000000       0.292146
      884.100000       0.301969
      884.200000       0.311857
      884.300000       0.321795
      884.400000       0.331760
      884.500000       0.341733
      884.600000       0.351679
      884.700000       0.361560
      884.800000       0.371358
      884.900000       0.381053
      885.000000       0.390635
      885.100000       0.400075
      885.200000       0.409378
      885.300000       0.418542
      885.400000       0.427581
      885.500000       0.436488
      885.600000       0.445288
      885.700000       0.453978
      885.800000       0.462569
      885.900000       0.471065
      886.000000       0.479467
      886.100000       0.487751
      886.200000       0.495908
      886.300000       0.503915
      886.400000       0.511752
      886.500000       0.519376
      886.600000       0.526771
      886.700000       0.533899
      886.800000       0.540743
      886.900000       0.547287
      887.000000       0.553526
      887.100000       0.559452
      887.200000       0.565079
      887.300000       0.570423
      887.400000       0.575505
      887.500000       0.580348
      887.600000       0.584986
      887.700000       0.589441
      887.800000       0.593739
      887.900000       0.597906
      888.000000       0.601959
      888.100000       0.605909
      888.200000       0.609769
      888.300000       0.613534
      888.400000       0.617208
      888.500000       0.620791
      888.600000       0.624275
      888.700000       0.627663
      888.800000       0.630954
      888.900000       0.634151
      889.000000       0.637257
      889.100000       0.640281
      889.200000       0.643234
      889.300000       0.646124
      889.400000       0.648968
      889.500000       0.651772
      889.600000       0.654547
      889.700000       0.657302
      889.800000       0.660038
      889.900000       0.662757
      890.000000       0.665453
      890.100000       0.668119
      890.200000       0.670749
      890.300000       0.673334
      890.400000       0.675867
      890.500000       0.678336
      890.600000       0.680737
      890.700000       0.683070
      890.800000       0.685333
      890.900000       0.687535
      891.000000       0.689686
      891.100000       0.691803
      891.200000       0.693906
      891.300000       0.696015
      891.400000       0.698155
      891.500000       0.700345
      891.600000       0.702605
      891.700000       0.704956
      891.800000       0.707408
      891.900000       0.709968
      892.000000       0.712640
      892.100000       0.715418
      892.200000       0.718295
      892.300000       0.721254
      892.400000       0.724279
      892.500000       0.727353
      892.600000       0.730461
      892.700000       0.733589
      892.800000       0.736719
      892.900000       0.739848
      893.000000       0.742963
      893.100000       0.746059
      893.200000       0.749139
      893.300000       0.752194
      893.400000       0.755226
      893.500000       0.758228
      893.600000       0.761199
      893.700000       0.764137
      893.800000       0.767035
      893.900000       0.769891
      894.000000       0.772700
      894.100000       0.775464
      894.200000       0.778184
      894.300000       0.780860
      894.400000       0.783502
      894.500000       0.786117
      894.600000       0.788724
      894.700000       0.791341
      894.800000       0.793982
      894.900000       0.796670
      895.000000       0.799415
      895.100000       0.802234
      895.200000       0.805131
      895.300000       0.808108
      895.400000       0.811159
      895.500000       0.814269
      895.600000       0.817419
      895.700000       0.820589
      895.800000       0.823750
      895.900000       0.826874
      896.000000       0.829931
      896.100000       0.832895
      896.200000       0.835750
      896.300000       0.838484
      896.400000       0.841086
      896.500000       0.843558
      896.600000       0.845902
      896.700000       0.848132
      896.800000       0.850254
      896.900000       0.852292
      897.000000       0.854258
      897.100000       0.856173
      897.200000       0.858057
      897.300000       0.859922
      897.400000       0.861786
      897.500000       0.863657
      897.600000       0.865543
      897.700000       0.867448
      897.800000       0.869373
      897.900000       0.871315
      898.000000       0.873268
      898.100000       0.875224
      898.200000       0.877178
      898.300000       0.879122
      898.400000       0.881046
      898.500000       0.882939
      898.600000       0.884792
      898.700000       0.886592
      898.800000       0.888326
      898.900000       0.889988
      899.000000       0.891561
      899.100000       0.893044
      899.200000       0.894435
      899.300000       0.895734
      899.400000       0.896949
      899.500000       0.898091
      899.600000       0.899176
      899.700000       0.900222
      899.800000       0.901253
      899.900000       0.902293
      900.000000       0.903367
      900.100000       0.904499
      900.200000       0.905706
      900.300000       0.906995
      900.400000       0.908375
      900.500000       0.909846
      900.600000       0.911406
      900.700000       0.913049
      900.800000       0.914763
      900.900000       0.916538
      901.000000       0.918358
      901.100000       0.920216
      901.200000       0.922100
      901.300000       0.924001
      901.400000       0.925917
      901.500000       0.927845
      901.600000       0.929788
      901.700000       0.931751
      901.800000       0.933734
      901.900000       0.935736
      902.000000       0.937755
      902.100000       0.939783
      902.200000       0.941806
      902.300000       0.943807
      902.400000       0.945764
      902.500000       0.947651
      902.600000       0.949442
      902.700000       0.951113
      902.800000       0.952642
      902.900000       0.954018
      903.000000       0.955235
      903.100000       0.956301
      903.200000       0.957237
      903.300000       0.958076
      903.400000       0.958853
      903.500000       0.959614
      903.600000       0.960401
      903.700000       0.961252
      903.800000       0.962196
      903.900000       0.963263
      904.000000       0.964463
      904.100000       0.965797
      904.200000       0.967249
      904.300000       0.968786
      904.400000       0.970378
      904.500000       0.971983
      904.600000       0.973563
      904.700000       0.975081
      904.800000       0.976509
      904.900000       0.977825
      905.000000       0.979014
      905.100000       0.980076
      905.200000       0.981020
      905.300000       0.981862
      905.400000       0.982625
      905.500000       0.983333
      905.600000       0.984012
      905.700000       0.984689
      905.800000       0.985381
      905.900000       0.986106
      906.000000       0.986869
      906.100000       0.987676
      906.200000       0.988528
      906.300000       0.989415
      906.400000       0.990330
      906.500000       0.991261
      906.600000       0.992193
      906.700000       0.993112
      906.800000       0.994005
      906.900000       0.994859
      907.000000       0.995664
      907.100000       0.996409
      907.200000       0.997088
      907.300000       0.997699
      907.400000       0.998238
      907.500000       0.998703
      907.600000       0.999093
      907.700000       0.999413
      907.800000       0.999659
      907.900000       0.999838
      908.000000       0.999950
      908.100000       1.000000
      908.200000       0.999995
      908.300000       0.999936
      908.400000       0.999832
      908.500000       0.999684
      908.600000       0.999499
      908.700000       0.999283
      908.800000       0.999036
      908.900000       0.998766
      909.000000       0.998474
      909.100000       0.998165
      909.200000       0.997844
      909.300000       0.997513
      909.400000       0.997176
      909.500000       0.996841
      909.600000       0.996508
      909.700000       0.996181
      909.800000       0.995861
      909.900000       0.995550
      910.000000       0.995245
      910.100000       0.994943
      910.200000       0.994641
      910.300000       0.994339
      910.400000       0.994026
      910.500000       0.993701
      910.600000       0.993354
      910.700000       0.992982
      910.800000       0.992577
      910.900000       0.992140
      911.000000       0.991667
      911.100000       0.991163
      911.200000       0.990630
      911.300000       0.990072
      911.400000       0.989493
      911.500000       0.988901
      911.600000       0.988299
      911.700000       0.987692
      911.800000       0.987082
      911.900000       0.986469
      912.000000       0.985853
      912.100000       0.985228
      912.200000       0.984592
      912.300000       0.983937
      912.400000       0.983259
      912.500000       0.982555
      912.600000       0.981825
      912.700000       0.981071
      912.800000       0.980295
      912.900000       0.979503
      913.000000       0.978707
      913.100000       0.977913
      913.200000       0.977127
      913.300000       0.976357
      913.400000       0.975607
      913.500000       0.974879
      913.600000       0.974172
      913.700000       0.973483
      913.800000       0.972805
      913.900000       0.972130
      914.000000       0.971448
      914.100000       0.970752
      914.200000       0.970040
      914.300000       0.969316
      914.400000       0.968585
      914.500000       0.967851
      914.600000       0.967124
      914.700000       0.966410
      914.800000       0.965726
      914.900000       0.965080
      915.000000       0.964485
      915.100000       0.963952
      915.200000       0.963493
      915.300000       0.963112
      915.400000       0.962816
      915.500000       0.962612
      915.600000       0.962502
      915.700000       0.962487
      915.800000       0.962567
      915.900000       0.962741
      916.000000       0.963007
      916.100000       0.963364
      916.200000       0.963795
      916.300000       0.964293
      916.400000       0.964844
      916.500000       0.965438
      916.600000       0.966063
      916.700000       0.966707
      916.800000       0.967365
      916.900000       0.968028
      917.000000       0.968689
      917.100000       0.969348
      917.200000       0.969998
      917.300000       0.970638
      917.400000       0.971270
      917.500000       0.971890
      917.600000       0.972503
      917.700000       0.973104
      917.800000       0.973697
      917.900000       0.974277
      918.000000       0.974844
      918.100000       0.975391
      918.200000       0.975915
      918.300000       0.976409
      918.400000       0.976870
      918.500000       0.977295
      918.600000       0.977680
      918.700000       0.978028
      918.800000       0.978341
      918.900000       0.978623
      919.000000       0.978883
      919.100000       0.979126
      919.200000       0.979363
      919.300000       0.979600
      919.400000       0.979842
      919.500000       0.980087
      919.600000       0.980331
      919.700000       0.980566
      919.800000       0.980771
      919.900000       0.980930
      920.000000       0.981017
      920.100000       0.981011
      920.200000       0.980893
      920.300000       0.980655
      920.400000       0.980282
      920.500000       0.979776
      920.600000       0.979139
      920.700000       0.978383
      920.800000       0.977524
      920.900000       0.976586
      921.000000       0.975592
      921.100000       0.974573
      921.200000       0.973549
      921.300000       0.972543
      921.400000       0.971569
      921.500000       0.970638
      921.600000       0.969753
      921.700000       0.968911
      921.800000       0.968103
      921.900000       0.967314
      922.000000       0.966532
      922.100000       0.965736
      922.200000       0.964912
      922.300000       0.964040
      922.400000       0.963113
      922.500000       0.962126
      922.600000       0.961086
      922.700000       0.960000
      922.800000       0.958883
      922.900000       0.957756
      923.000000       0.956639
      923.100000       0.955552
      923.200000       0.954514
      923.300000       0.953535
      923.400000       0.952623
      923.500000       0.951781
      923.600000       0.951002
      923.700000       0.950269
      923.800000       0.949567
      923.900000       0.948874
      924.000000       0.948164
      924.100000       0.947411
      924.200000       0.946596
      924.300000       0.945700
      924.400000       0.944708
      924.500000       0.943616
      924.600000       0.942420
      924.700000       0.941125
      924.800000       0.939740
      924.900000       0.938286
      925.000000       0.936781
      925.100000       0.935250
      925.200000       0.933721
      925.300000       0.932218
      925.400000       0.930769
      925.500000       0.929396
      925.600000       0.928122
      925.700000       0.926959
      925.800000       0.925920
      925.900000       0.925007
      926.000000       0.924224
      926.100000       0.923565
      926.200000       0.923017
      926.300000       0.922572
      926.400000       0.922213
      926.500000       0.921926
      926.600000       0.921699
      926.700000       0.921521
      926.800000       0.921384
      926.900000       0.921285
      927.000000       0.921222
      927.100000       0.921196
      927.200000       0.921212
      927.300000       0.921277
      927.400000       0.921393
      927.500000       0.921560
      927.600000       0.921781
      927.700000       0.922049
      927.800000       0.922354
      927.900000       0.922680
      928.000000       0.923010
      928.100000       0.923323
      928.200000       0.923600
      928.300000       0.923820
      928.400000       0.923969
      928.500000       0.924033
      928.600000       0.924001
      928.700000       0.923871
      928.800000       0.923640
      928.900000       0.923313
      929.000000       0.922896
      929.100000       0.922396
      929.200000       0.921814
      929.300000       0.921155
      929.400000       0.920410
      929.500000       0.919571
      929.600000       0.918620
      929.700000       0.917531
      929.800000       0.916272
      929.900000       0.914808
      930.000000       0.913101
      930.100000       0.911107
      930.200000       0.908786
      930.300000       0.906099
      930.400000       0.903017
      930.500000       0.899503
      930.600000       0.895542
      930.700000       0.891112
      930.800000       0.886199
      930.900000       0.880789
      931.000000       0.874882
      931.100000       0.868467
      931.200000       0.861532
      931.300000       0.854066
      931.400000       0.846062
      931.500000       0.837518
      931.600000       0.828418
      931.700000       0.818751
      931.800000       0.808502
      931.900000       0.797691
      932.000000       0.786311
      932.100000       0.774371
      932.200000       0.761875
      932.300000       0.748864
      932.400000       0.735339
      932.500000       0.721356
      932.600000       0.706936
      932.700000       0.692107
      932.800000       0.676897
      932.900000       0.661362
      933.000000       0.645518
      933.100000       0.629392
      933.200000       0.612998
      933.300000       0.596388
      933.400000       0.579557
      933.500000       0.562565
      933.600000       0.545425
      933.700000       0.528168
      933.800000       0.510823
      933.900000       0.493467
      934.000000       0.476127
      934.100000       0.458847
      934.200000       0.441718
      934.300000       0.424779
      934.400000       0.408075
      934.500000       0.391695
      934.600000       0.375669
      934.700000       0.360041
      934.800000       0.344836
      934.900000       0.330108
      935.000000       0.315858
      935.100000       0.302123
      935.200000       0.288897
      935.300000       0.276174
      935.400000       0.263980
      935.500000       0.252291
      935.600000       0.241102
      935.700000       0.230390
      935.800000       0.220161
      935.900000       0.210376
      936.000000       0.201034
      936.100000       0.192102
      936.200000       0.183551
      936.300000       0.175350
      936.400000       0.167486
      936.500000       0.159920
      936.600000       0.152625
      936.700000       0.145574
      936.800000       0.138760
      936.900000       0.132154
      937.000000       0.125758
      937.100000       0.119560
      937.200000       0.113560
      937.300000       0.107760
      937.400000       0.102180
      937.500000       0.096828
      937.600000       0.091716
      937.700000       0.086856
      937.800000       0.082274
      937.900000       0.077972
      938.000000       0.073970
      938.100000       0.070270
      938.200000       0.066872
      938.300000       0.063771
      938.400000       0.060965
      938.500000       0.058438
      938.600000       0.056168
      938.700000       0.054135
      938.800000       0.052309
      938.900000       0.050660
      939.000000       0.049154
      939.100000       0.047753
      939.200000       0.046421
      939.300000       0.045124
      939.400000       0.043831
      939.500000       0.042511
      939.600000       0.041145
      939.700000       0.039711
      939.800000       0.038199
      939.900000       0.036609
      940.000000       0.034942
      940.100000       0.033207
      940.200000       0.031415
      940.300000       0.029590
      940.400000       0.027746
      940.500000       0.025911
      940.600000       0.024104
      940.700000       0.022345
      940.800000       0.020654
      940.900000       0.019047
      941.000000       0.017540
      941.100000       0.016149
      941.200000       0.014881
      941.300000       0.013750
      941.400000       0.012763
      941.500000       0.011927
      941.600000       0.011247
      941.700000       0.010724
      941.800000       0.010357
      941.900000       0.010139
      942.000000       0.010056
      942.100000       0.010090
      942.200000       0.010219
      942.300000       0.010413
      942.400000       0.010639
      942.500000       0.010859
      942.600000       0.011040
      942.700000       0.011146
      942.800000       0.011149
      942.900000       0.011027
      943.000000       0.010765
      943.100000       0.010361
      943.200000       0.009824
      943.300000       0.009172
      943.400000       0.008435
      943.500000       0.007644
      943.600000       0.006841
      943.700000       0.006063
      943.800000       0.005355
      943.900000       0.004733
      944.000000       0.004283
      944.100000       0.004086
      944.200000       0.003901
      944.300000       0.003729
      944.400000       0.003574
      944.500000       0.003436
      944.600000       0.003316
      944.700000       0.003218
      944.800000       0.003142
      944.900000       0.003090
      945.000000       0.003066
      945.100000       0.003066
      945.200000       0.003087
      945.300000       0.003119
      945.400000       0.003156
      945.500000       0.003187
      945.600000       0.003206
      945.700000       0.003204
      945.800000       0.003173
      945.900000       0.003105
      946.000000       0.002992
      946.100000       0.002841
      946.200000       0.002706
      946.300000       0.002594
      946.400000       0.002508
      946.500000       0.002444
      946.600000       0.002399
      946.700000       0.002370
      946.800000       0.002356
      946.900000       0.002350
      947.000000       0.002352
      947.100000       0.002356
      947.200000       0.002361
      947.300000       0.002363
      947.400000       0.002359
      947.500000       0.002346
      947.600000       0.002325
      947.700000       0.002295
      947.800000       0.002259
      947.900000       0.002216
      948.000000       0.002169
      948.100000       0.002117
      948.200000       0.002061
      948.300000       0.002003
      948.400000       0.001942
      948.500000       0.001881
      948.600000       0.001820
      948.700000       0.001759
      948.800000       0.001699
      948.900000       0.001642
      949.000000       0.001588
      949.100000       0.001535
      949.200000       0.001485
      949.300000       0.001438
      949.400000       0.001392
      949.500000       0.001348
      949.600000       0.001307
      949.700000       0.001267
      949.800000       0.001229
      949.900000       0.001194
      950.000000       0.001160
      950.100000       0.001127
      950.200000       0.001096
      950.300000       0.000531
      950.400000       0.000517
      950.500000       0.000257
      950.600000       0.000251
      950.700000       0.000000
