14, GOES-R 11.2um ABI SRF CWG processed version 3 March 10, 2016
Number of data points:
1383
Wavenumber (cm-1)   Filter response
      823.600000       0.001087
      823.700000       0.001183
      823.800000       0.001273
      823.900000       0.001370
      824.000000       0.001457
      824.100000       0.001472
      824.200000       0.001482
      824.300000       0.001487
      824.400000       0.001493
      824.500000       0.001502
      824.600000       0.001511
      824.700000       0.001516
      824.800000       0.001522
      824.900000       0.001532
      825.000000       0.001533
      825.100000       0.001525
      825.200000       0.001510
      825.300000       0.001498
      825.400000       0.001483
      825.500000       0.001471
      825.600000       0.001457
      825.700000       0.001444
      825.800000       0.001430
      825.900000       0.001416
      826.000000       0.001400
      826.100000       0.001367
      826.200000       0.001334
      826.300000       0.001302
      826.400000       0.001269
      826.500000       0.001237
      826.600000       0.001204
      826.700000       0.001166
      826.800000       0.001131
      826.900000       0.001098
      827.000000       0.001068
      827.100000       0.001125
      827.200000       0.001195
      827.300000       0.001260
      827.400000       0.001326
      827.500000       0.001392
      827.600000       0.001457
      827.700000       0.001524
      827.800000       0.001588
      827.900000       0.001650
      828.000000       0.001707
      828.100000       0.001712
      828.200000       0.001713
      828.300000       0.001714
      828.400000       0.001708
      828.500000       0.001709
      828.600000       0.001710
      828.700000       0.001704
      828.800000       0.001705
      828.900000       0.001706
      829.000000       0.001713
      829.100000       0.001807
      829.200000       0.001913
      829.300000       0.002025
      829.400000       0.002129
      829.500000       0.002235
      829.600000       0.002340
      829.700000       0.002449
      829.800000       0.002560
      829.900000       0.002666
      830.000000       0.002766
      830.100000       0.002751
      830.200000       0.002724
      830.300000       0.002703
      830.400000       0.002675
      830.500000       0.002647
      830.600000       0.002627
      830.700000       0.002598
      830.800000       0.002574
      830.900000       0.002549
      831.000000       0.002508
      831.100000       0.002384
      831.200000       0.002246
      831.300000       0.002109
      831.400000       0.001971
      831.500000       0.001833
      831.600000       0.001695
      831.700000       0.001557
      831.800000       0.001411
      831.900000       0.001267
      832.000000       0.001154
      832.100000       0.001307
      832.200000       0.001484
      832.300000       0.001662
      832.400000       0.001835
      832.500000       0.002009
      832.600000       0.002176
      832.700000       0.002343
      832.800000       0.002502
      832.900000       0.002663
      833.000000       0.002808
      833.100000       0.002859
      833.200000       0.002888
      833.300000       0.002922
