6, GOES 2.25um ABI FM2 SRF CWG processed March 10, 2016
Number of data points:
191
Wavenumber (cm-1)   Filter response
     4370.000000       0.001136
     4371.000000       0.001470
     4372.000000       0.001778
     4373.000000       0.001799
     4374.000000       0.001699
     4375.000000       0.001727
     4376.000000       0.001884
     4377.000000       0.002324
     4378.000000       0.002993
     4379.000000       0.003422
     4380.000000       0.003797
     4381.000000       0.004211
     4382.000000       0.004648
     4383.000000       0.005093
     4384.000000       0.005627
     4385.000000       0.006641
     4386.000000       0.007744
     4387.000000       0.008743
     4388.000000       0.009857
     4389.000000       0.011142
     4390.000000       0.012653
     4391.000000       0.014467
     4392.000000       0.016572
     4393.000000       0.019102
     4394.000000       0.021978
     4395.000000       0.025331
     4396.000000       0.029406
     4397.000000       0.034334
     4398.000000       0.039993
     4399.000000       0.046594
     4400.000000       0.054662
     4401.000000       0.064595
     4402.000000       0.075967
     4403.000000       0.089074
     4404.000000       0.104897
     4405.000000       0.123401
     4406.000000       0.145433
     4407.000000       0.170616
     4408.000000       0.199395
     4409.000000       0.231822
     4410.000000       0.267792
     4411.000000       0.307328
     4412.000000       0.352590
     4413.000000       0.400453
     4414.000000       0.451728
     4415.000000       0.503339
     4416.000000       0.553528
     4417.000000       0.602908
     4418.000000       0.652071
     4419.000000       0.698203
     4420.000000       0.739284
     4421.000000       0.776682
     4422.000000       0.809635
     4423.000000       0.838456
     4424.000000       0.863095
     4425.000000       0.883455
     4426.000000       0.900202
     4427.000000       0.912560
     4428.000000       0.921318
     4429.000000       0.928183
     4430.000000       0.933198
     4431.000000       0.936896
     4432.000000       0.939752
     4433.000000       0.941627
     4434.000000       0.944141
     4435.000000       0.947101
     4436.000000       0.948972
     4437.000000       0.950958
     4438.000000       0.954149
     4439.000000       0.956754
     4440.000000       0.959184
     4441.000000       0.962256
     4442.000000       0.965791
     4443.000000       0.969717
     4444.000000       0.973280
     4445.000000       0.976129
     4446.000000       0.978417
     4447.000000       0.980700
     4448.000000       0.982956
     4449.000000       0.984706
     4450.000000       0.985851
     4451.000000       0.986580
     4452.000000       0.988032
     4453.000000       0.990108
     4454.000000       0.992723
     4455.000000       0.994434
     4456.000000       0.995389
     4457.000000       0.996339
     4458.000000       0.997560
     4459.000000       0.998549
     4460.000000       0.998641
     4461.000000       0.998909
     4462.000000       0.999783
     4463.000000       0.999932
     4464.000000       0.999496
     4465.000000       0.998668
     4466.000000       0.997418
     4467.000000       0.995115
     4468.000000       0.992706
     4469.000000       0.989490
     4470.000000       0.984730
     4471.000000       0.981210
     4472.000000       0.978154
     4473.000000       0.976077
     4474.000000       0.974284
     4475.000000       0.971757
     4476.000000       0.968300
     4477.000000       0.965387
     4478.000000       0.963816
     4479.000000       0.962736
     4480.000000       0.962051
     4481.000000       0.960679
     4482.000000       0.959451
     4483.000000       0.959052
     4484.000000       0.959502
     4485.000000       0.959720
     4486.000000       0.959632
     4487.000000       0.960225
     4488.000000       0.960850
     4489.000000       0.960150
     4490.000000       0.959088
     4491.000000       0.957102
     4492.000000       0.952794
     4493.000000       0.947848
     4494.000000       0.940897
     4495.000000       0.930381
     4496.000000       0.915811
     4497.000000       0.897492
     4498.000000       0.874687
     4499.000000       0.845818
     4500.000000       0.811349
     4501.000000       0.772624
     4502.000000       0.728324
     4503.000000       0.682985
     4504.000000       0.636649
     4505.000000       0.587538
     4506.000000       0.537017
     4507.000000       0.487580
     4508.000000       0.439808
     4509.000000       0.395001
     4510.000000       0.353212
     4511.000000       0.313523
     4512.000000       0.275845
     4513.000000       0.241936
     4514.000000       0.211184
     4515.000000       0.184193
     4516.000000       0.160708
     4517.000000       0.140031
     4518.000000       0.121803
     4519.000000       0.105881
     4520.000000       0.091975
     4521.000000       0.079894
     4522.000000       0.069202
     4523.000000       0.060046
     4524.000000       0.052464
     4525.000000       0.045694
     4526.000000       0.039669
     4527.000000       0.034487
     4528.000000       0.030101
     4529.000000       0.026341
     4530.000000       0.023160
     4531.000000       0.020279
     4532.000000       0.017485
     4533.000000       0.015095
     4534.000000       0.013493
     4535.000000       0.012190
     4536.000000       0.011085
     4537.000000       0.010107
     4538.000000       0.009185
     4539.000000       0.008277
     4540.000000       0.007122
     4541.000000       0.006063
     4542.000000       0.005536
     4543.000000       0.005147
     4544.000000       0.004696
     4545.000000       0.004248
     4546.000000       0.003937
     4547.000000       0.003700
     4548.000000       0.003317
     4549.000000       0.002865
     4550.000000       0.002694
     4551.000000       0.002630
     4552.000000       0.002438
     4553.000000       0.001897
     4554.000000       0.001550
     4555.000000       0.001363
     4556.000000       0.001324
     4557.000000       0.001337
     4558.000000       0.001330
     4559.000000       0.001117
     4560.000000       0.000974
