  12, extracted from file vas_g05.srf.nc
Number of data points:
2520
Wavenumber (cm-1)   Filter response
     2418.400000       0.000490
     2418.500000       0.000526
     2418.600000       0.000564
     2418.700000       0.000602
     2418.800000       0.000640
     2418.900000       0.000677
     2419.000000       0.000715
     2419.100000       0.000752
     2419.200000       0.000790
     2419.300000       0.000827
     2419.400000       0.000865
     2419.500000       0.000903
     2419.600000       0.000940
     2419.700000       0.000978
     2419.800000       0.001015
     2419.900000       0.001053
     2420.000000       0.001090
     2420.100000       0.001128
     2420.200000       0.001166
     2420.300000       0.001203
     2420.400000       0.001241
     2420.500000       0.001278
     2420.600000       0.001316
     2420.700000       0.001353
     2420.800000       0.001391
     2420.900000       0.001429
     2421.000000       0.001466
     2421.100000       0.001504
     2421.200000       0.001541
     2421.300000       0.001579
     2421.400000       0.001615
     2421.500000       0.001649
     2421.600000       0.001683
     2421.700000       0.001717
     2421.800000       0.001751
     2421.900000       0.001785
     2422.000000       0.001819
     2422.100000       0.001853
     2422.200000       0.001887
     2422.300000       0.001921
     2422.400000       0.001955
     2422.500000       0.001990
     2422.600000       0.002024
     2422.700000       0.002058
     2422.800000       0.002092
     2422.900000       0.002126
     2423.000000       0.002160
     2423.100000       0.002194
     2423.200000       0.002228
     2423.300000       0.002262
     2423.400000       0.002296
     2423.500000       0.002330
     2423.600000       0.002364
     2423.700000       0.002398
     2423.800000       0.002433
     2423.900000       0.002467
     2424.000000       0.002501
     2424.100000       0.002535
     2424.200000       0.002569
     2424.300000       0.002604
     2424.400000       0.002640
     2424.500000       0.002678
     2424.600000       0.002716
     2424.700000       0.002753
     2424.800000       0.002790
     2424.900000       0.002828
     2425.000000       0.002865
     2425.100000       0.002903
     2425.200000       0.002940
     2425.300000       0.002977
     2425.400000       0.003015
     2425.500000       0.003052
     2425.600000       0.003089
     2425.700000       0.003127
     2425.800000       0.003164
     2425.900000       0.003202
     2426.000000       0.003239
     2426.100000       0.003276
     2426.200000       0.003314
     2426.300000       0.003351
     2426.400000       0.003389
     2426.500000       0.003426
     2426.600000       0.003463
     2426.700000       0.003501
     2426.800000       0.003538
     2426.900000       0.003576
     2427.000000       0.003613
     2427.100000       0.003650
     2427.200000       0.003688
     2427.300000       0.003725
     2427.400000       0.003762
     2427.500000       0.003800
     2427.600000       0.003837
     2427.700000       0.003874
     2427.800000       0.003911
     2427.900000       0.003949
     2428.000000       0.003986
     2428.100000       0.004023
     2428.200000       0.004061
     2428.300000       0.004098
     2428.400000       0.004135
     2428.500000       0.004173
     2428.600000       0.004210
     2428.700000       0.004247
     2428.800000       0.004284
     2428.900000       0.004322
     2429.000000       0.004359
     2429.100000       0.004396
     2429.200000       0.004434
     2429.300000       0.004471
     2429.400000       0.004508
     2429.500000       0.004545
     2429.600000       0.004583
     2429.700000       0.004620
     2429.800000       0.004657
     2429.900000       0.004695
     2430.000000       0.004732
     2430.100000       0.004769
     2430.200000       0.004807
     2430.300000       0.004844
     2430.400000       0.004881
     2430.500000       0.004918
     2430.600000       0.004955
     2430.700000       0.004993
     2430.800000       0.005030
     2430.900000       0.005067
     2431.000000       0.005104
     2431.100000       0.005142
     2431.200000       0.005179
     2431.300000       0.005216
     2431.400000       0.005253
     2431.500000       0.005290
     2431.600000       0.005328
     2431.700000       0.005365
     2431.800000       0.005402
     2431.900000       0.005439
     2432.000000       0.005476
     2432.100000       0.005514
     2432.200000       0.005551
     2432.300000       0.005588
     2432.400000       0.005625
     2432.500000       0.005662
     2432.600000       0.005700
     2432.700000       0.005737
     2432.800000       0.005774
     2432.900000       0.005811
     2433.000000       0.005848
     2433.100000       0.005885
     2433.200000       0.005924
     2433.300000       0.005965
     2433.400000       0.006006
     2433.500000       0.006046
     2433.600000       0.006087
     2433.700000       0.006127
     2433.800000       0.006168
     2433.900000       0.006208
     2434.000000       0.006249
     2434.100000       0.006289
     2434.200000       0.006330
     2434.300000       0.006370
     2434.400000       0.006411
     2434.500000       0.006451
     2434.600000       0.006492
     2434.700000       0.006532
     2434.800000       0.006573
     2434.900000       0.006613
     2435.000000       0.006654
     2435.100000       0.006694
     2435.200000       0.006735
     2435.300000       0.006775
     2435.400000       0.006815
     2435.500000       0.006856
     2435.600000       0.006896
     2435.700000       0.006937
     2435.800000       0.006978
     2435.900000       0.007018
     2436.000000       0.007058
     2436.100000       0.007098
     2436.200000       0.007136
     2436.300000       0.007173
     2436.400000       0.007210
     2436.500000       0.007247
     2436.600000       0.007284
     2436.700000       0.007321
     2436.800000       0.007359
     2436.900000       0.007396
     2437.000000       0.007433
     2437.100000       0.007470
     2437.200000       0.007507
     2437.300000       0.007544
     2437.400000       0.007581
     2437.500000       0.007618
     2437.600000       0.007655
     2437.700000       0.007692
     2437.800000       0.007729
     2437.900000       0.007766
     2438.000000       0.007803
     2438.100000       0.007840
     2438.200000       0.007877
     2438.300000       0.007914
     2438.400000       0.007951
     2438.500000       0.007988
     2438.600000       0.008025
     2438.700000       0.008062
     2438.800000       0.008099
     2438.900000       0.008136
     2439.000000       0.008172
     2439.100000       0.008212
     2439.200000       0.008255
     2439.300000       0.008299
     2439.400000       0.008343
     2439.500000       0.008386
     2439.600000       0.008430
     2439.700000       0.008474
     2439.800000       0.008517
     2439.900000       0.008561
     2440.000000       0.008605
     2440.100000       0.008648
     2440.200000       0.008692
     2440.300000       0.008736
     2440.400000       0.008779
     2440.500000       0.008823
     2440.600000       0.008867
     2440.700000       0.008910
     2440.800000       0.008954
     2440.900000       0.008998
     2441.000000       0.009041
     2441.100000       0.009085
     2441.200000       0.009128
     2441.300000       0.009172
     2441.400000       0.009216
     2441.500000       0.009259
     2441.600000       0.009303
     2441.700000       0.009347
     2441.800000       0.009390
     2441.900000       0.009434
     2442.000000       0.009475
     2442.100000       0.009541
     2442.200000       0.009634
     2442.300000       0.009725
     2442.400000       0.009815
     2442.500000       0.009906
     2442.600000       0.009996
     2442.700000       0.010087
     2442.800000       0.010177
     2442.900000       0.010267
     2443.000000       0.010358
     2443.100000       0.010448
     2443.200000       0.010539
     2443.300000       0.010629
     2443.400000       0.010720
     2443.500000       0.010810
     2443.600000       0.010900
     2443.700000       0.010991
     2443.800000       0.011081
     2443.900000       0.011172
     2444.000000       0.011262
     2444.100000       0.011353
     2444.200000       0.011443
     2444.300000       0.011534
     2444.400000       0.011624
     2444.500000       0.011715
     2444.600000       0.011805
     2444.700000       0.011895
     2444.800000       0.011986
     2444.900000       0.012075
     2445.000000       0.012167
     2445.100000       0.012340
     2445.200000       0.012581
     2445.300000       0.012815
     2445.400000       0.013049
     2445.500000       0.013283
     2445.600000       0.013517
     2445.700000       0.013751
     2445.800000       0.013986
     2445.900000       0.014219
     2446.000000       0.014452
     2446.100000       0.014686
     2446.200000       0.014920
     2446.300000       0.015154
     2446.400000       0.015388
     2446.500000       0.015623
     2446.600000       0.015856
     2446.700000       0.016090
     2446.800000       0.016325
     2446.900000       0.016558
     2447.000000       0.016791
     2447.100000       0.017025
     2447.200000       0.017259
     2447.300000       0.017493
     2447.400000       0.017728
     2447.500000       0.017962
     2447.600000       0.018196
     2447.700000       0.018430
     2447.800000       0.018664
     2447.900000       0.018893
     2448.000000       0.019142
     2448.100000       0.019558
     2448.200000       0.020103
     2448.300000       0.020633
     2448.400000       0.021163
     2448.500000       0.021693
     2448.600000       0.022223
     2448.700000       0.022753
     2448.800000       0.023283
     2448.900000       0.023813
     2449.000000       0.024343
     2449.100000       0.024873
     2449.200000       0.025403
     2449.300000       0.025933
     2449.400000       0.026463
     2449.500000       0.026993
     2449.600000       0.027523
     2449.700000       0.028053
     2449.800000       0.028583
     2449.900000       0.029113
     2450.000000       0.029643
     2450.100000       0.030173
     2450.200000       0.030703
     2450.300000       0.031233
     2450.400000       0.031763
     2450.500000       0.032293
     2450.600000       0.032823
     2450.700000       0.033353
     2450.800000       0.033884
     2450.900000       0.034413
     2451.000000       0.034944
     2451.100000       0.035477
     2451.200000       0.036012
     2451.300000       0.036548
     2451.400000       0.037083
     2451.500000       0.037618
     2451.600000       0.038154
     2451.700000       0.038689
     2451.800000       0.039225
     2451.900000       0.039760
     2452.000000       0.040295
     2452.100000       0.040830
     2452.200000       0.041365
     2452.300000       0.041901
     2452.400000       0.042437
     2452.500000       0.042972
     2452.600000       0.043507
     2452.700000       0.044042
     2452.800000       0.044578
     2452.900000       0.045113
     2453.000000       0.045648
     2453.100000       0.046183
     2453.200000       0.046718
     2453.300000       0.047254
     2453.400000       0.047790
     2453.500000       0.048325
     2453.600000       0.048860
     2453.700000       0.049395
     2453.800000       0.049932
     2453.900000       0.050466
     2454.000000       0.051002
     2454.100000       0.051540
     2454.200000       0.052081
     2454.300000       0.052622
     2454.400000       0.053163
     2454.500000       0.053703
     2454.600000       0.054244
     2454.700000       0.054784
     2454.800000       0.055326
     2454.900000       0.055867
     2455.000000       0.056407
     2455.100000       0.056948
     2455.200000       0.057488
     2455.300000       0.058029
     2455.400000       0.058570
     2455.500000       0.059110
     2455.600000       0.059651
     2455.700000       0.060191
     2455.800000       0.060733
     2455.900000       0.061274
     2456.000000       0.061814
     2456.100000       0.062355
     2456.200000       0.062895
     2456.300000       0.063436
     2456.400000       0.063977
     2456.500000       0.064517
     2456.600000       0.065058
     2456.700000       0.065598
     2456.800000       0.066139
     2456.900000       0.066680
     2457.000000       0.067170
     2457.100000       0.068119
     2457.200000       0.069538
     2457.300000       0.070917
     2457.400000       0.072292
     2457.500000       0.073669
     2457.600000       0.075047
     2457.700000       0.076423
     2457.800000       0.077799
     2457.900000       0.079175
     2458.000000       0.080551
     2458.100000       0.081930
     2458.200000       0.083305
     2458.300000       0.084681
     2458.400000       0.086058
     2458.500000       0.087434
     2458.600000       0.088812
     2458.700000       0.090188
     2458.800000       0.091565
     2458.900000       0.092941
     2459.000000       0.094316
     2459.100000       0.095695
     2459.200000       0.097071
     2459.300000       0.098447
     2459.400000       0.099823
     2459.500000       0.101199
     2459.600000       0.102577
     2459.700000       0.103954
     2459.800000       0.105330
     2459.900000       0.106705
     2460.000000       0.108059
     2460.100000       0.109615
     2460.200000       0.111444
     2460.300000       0.113316
     2460.400000       0.115181
     2460.500000       0.117046
     2460.600000       0.118913
     2460.700000       0.120778
     2460.800000       0.122643
     2460.900000       0.124507
     2461.000000       0.126372
     2461.100000       0.128239
     2461.200000       0.130104
     2461.300000       0.131969
     2461.400000       0.133834
     2461.500000       0.135699
     2461.600000       0.137567
     2461.700000       0.139431
     2461.800000       0.141295
     2461.900000       0.143161
     2462.000000       0.145025
     2462.100000       0.146893
     2462.200000       0.148758
     2462.300000       0.150623
     2462.400000       0.152487
     2462.500000       0.154352
     2462.600000       0.156219
     2462.700000       0.158084
     2462.800000       0.159949
     2462.900000       0.161814
     2463.000000       0.163652
     2463.100000       0.165703
     2463.200000       0.168262
     2463.300000       0.171067
     2463.400000       0.173843
     2463.500000       0.176617
     2463.600000       0.179397
     2463.700000       0.182171
     2463.800000       0.184946
     2463.900000       0.187721
     2464.000000       0.190496
     2464.100000       0.193275
     2464.200000       0.196050
     2464.300000       0.198825
     2464.400000       0.201600
     2464.500000       0.204374
     2464.600000       0.207154
     2464.700000       0.209928
     2464.800000       0.212704
     2464.900000       0.215479
     2465.000000       0.218253
     2465.100000       0.221033
     2465.200000       0.223807
     2465.300000       0.226582
     2465.400000       0.229357
     2465.500000       0.232132
     2465.600000       0.234911
     2465.700000       0.237686
     2465.800000       0.240461
     2465.900000       0.243236
     2466.000000       0.246010
     2466.100000       0.248789
     2466.200000       0.251582
     2466.300000       0.254392
     2466.400000       0.257199
     2466.500000       0.260006
     2466.600000       0.262818
     2466.700000       0.265626
     2466.800000       0.268433
     2466.900000       0.271241
     2467.000000       0.274048
     2467.100000       0.276860
     2467.200000       0.279667
     2467.300000       0.282475
     2467.400000       0.285282
     2467.500000       0.288089
     2467.600000       0.290901
     2467.700000       0.293708
     2467.800000       0.296516
     2467.900000       0.299324
     2468.000000       0.302131
     2468.100000       0.304943
     2468.200000       0.307750
     2468.300000       0.310557
     2468.400000       0.313365
     2468.500000       0.316172
     2468.600000       0.318984
     2468.700000       0.321791
     2468.800000       0.324599
     2468.900000       0.327406
     2469.000000       0.330213
     2469.100000       0.333024
     2469.200000       0.335841
     2469.300000       0.338676
     2469.400000       0.341517
     2469.500000       0.344356
     2469.600000       0.347201
     2469.700000       0.350040
     2469.800000       0.352881
     2469.900000       0.355720
     2470.000000       0.358560
     2470.100000       0.361404
     2470.200000       0.364243
     2470.300000       0.367084
     2470.400000       0.369924
     2470.500000       0.372763
     2470.600000       0.375607
     2470.700000       0.378447
     2470.800000       0.381286
     2470.900000       0.384126
     2471.000000       0.386966
     2471.100000       0.389810
     2471.200000       0.392650
     2471.300000       0.395490
     2471.400000       0.398329
     2471.500000       0.401169
     2471.600000       0.404014
     2471.700000       0.406853
     2471.800000       0.409693
     2471.900000       0.412533
     2472.000000       0.415372
     2472.100000       0.418223
     2472.200000       0.421056
     2472.300000       0.423411
     2472.400000       0.425358
     2472.500000       0.427351
     2472.600000       0.429347
     2472.700000       0.431340
     2472.800000       0.433333
     2472.900000       0.435327
     2473.000000       0.437320
     2473.100000       0.439316
     2473.200000       0.441309
     2473.300000       0.443303
     2473.400000       0.445296
     2473.500000       0.447289
     2473.600000       0.449285
     2473.700000       0.451278
     2473.800000       0.453272
     2473.900000       0.455265
     2474.000000       0.457258
     2474.100000       0.459254
     2474.200000       0.461248
     2474.300000       0.463241
     2474.400000       0.465234
     2474.500000       0.467227
     2474.600000       0.469224
     2474.700000       0.471216
     2474.800000       0.473209
     2474.900000       0.475203
     2475.000000       0.477196
     2475.100000       0.479193
     2475.200000       0.481184
     2475.300000       0.483184
     2475.400000       0.485200
     2475.500000       0.487221
     2475.600000       0.489245
     2475.700000       0.491266
     2475.800000       0.493287
     2475.900000       0.495307
     2476.000000       0.497327
     2476.100000       0.499352
     2476.200000       0.501372
     2476.300000       0.503393
     2476.400000       0.505414
     2476.500000       0.507435
     2476.600000       0.509458
     2476.700000       0.511478
     2476.800000       0.513500
     2476.900000       0.515521
     2477.000000       0.517541
     2477.100000       0.519565
     2477.200000       0.521585
     2477.300000       0.523606
     2477.400000       0.525627
     2477.500000       0.527647
     2477.600000       0.529671
     2477.700000       0.531692
     2477.800000       0.533713
     2477.900000       0.535734
     2478.000000       0.537755
     2478.100000       0.539778
     2478.200000       0.541798
     2478.300000       0.543811
     2478.400000       0.545897
     2478.500000       0.548069
     2478.600000       0.550249
     2478.700000       0.552424
     2478.800000       0.554599
     2478.900000       0.556774
     2479.000000       0.558949
     2479.100000       0.561127
     2479.200000       0.563303
     2479.300000       0.565478
     2479.400000       0.567653
     2479.500000       0.569828
     2479.600000       0.572006
     2479.700000       0.574181
     2479.800000       0.576357
     2479.900000       0.578531
     2480.000000       0.580706
     2480.100000       0.582885
     2480.200000       0.585060
     2480.300000       0.587235
     2480.400000       0.589410
     2480.500000       0.591584
     2480.600000       0.593763
     2480.700000       0.595938
     2480.800000       0.598113
     2480.900000       0.600289
     2481.000000       0.602463
     2481.100000       0.604642
     2481.200000       0.606817
     2481.300000       0.608999
     2481.400000       0.611177
     2481.500000       0.612725
     2481.600000       0.613721
     2481.700000       0.614779
     2481.800000       0.615836
     2481.900000       0.616894
     2482.000000       0.617950
     2482.100000       0.619009
     2482.200000       0.620067
     2482.300000       0.621124
     2482.400000       0.622181
     2482.500000       0.623239
     2482.600000       0.624297
     2482.700000       0.625355
     2482.800000       0.626412
     2482.900000       0.627469
     2483.000000       0.628526
     2483.100000       0.629586
     2483.200000       0.630643
     2483.300000       0.631700
     2483.400000       0.632757
     2483.500000       0.633814
     2483.600000       0.634874
     2483.700000       0.635931
     2483.800000       0.636988
     2483.900000       0.638045
     2484.000000       0.639103
     2484.100000       0.640161
     2484.200000       0.641218
     2484.300000       0.642276
     2484.400000       0.643338
     2484.500000       0.644371
     2484.600000       0.645268
     2484.700000       0.646069
     2484.800000       0.646882
     2484.900000       0.647694
     2485.000000       0.648506
     2485.100000       0.649319
     2485.200000       0.650131
     2485.300000       0.650944
     2485.400000       0.651756
     2485.500000       0.652568
     2485.600000       0.653382
     2485.700000       0.654194
     2485.800000       0.655006
     2485.900000       0.655818
     2486.000000       0.656630
     2486.100000       0.657444
     2486.200000       0.658256
     2486.300000       0.659068
     2486.400000       0.659880
     2486.500000       0.660692
     2486.600000       0.661506
     2486.700000       0.662318
     2486.800000       0.663130
     2486.900000       0.663942
     2487.000000       0.664754
     2487.100000       0.665568
     2487.200000       0.666381
     2487.300000       0.667192
     2487.400000       0.668005
     2487.500000       0.668817
     2487.600000       0.669632
     2487.700000       0.670449
     2487.800000       0.671269
     2487.900000       0.672089
     2488.000000       0.672908
     2488.100000       0.673729
     2488.200000       0.674549
     2488.300000       0.675369
     2488.400000       0.676188
     2488.500000       0.677008
     2488.600000       0.677829
     2488.700000       0.678648
     2488.800000       0.679468
     2488.900000       0.680288
     2489.000000       0.681108
     2489.100000       0.681929
     2489.200000       0.682748
     2489.300000       0.683568
     2489.400000       0.684388
     2489.500000       0.685207
     2489.600000       0.686028
     2489.700000       0.686848
     2489.800000       0.687668
     2489.900000       0.688487
     2490.000000       0.689307
     2490.100000       0.690128
     2490.200000       0.690947
     2490.300000       0.691767
     2490.400000       0.692587
     2490.500000       0.693407
     2490.600000       0.694227
     2490.700000       0.695048
     2490.800000       0.695874
     2490.900000       0.696701
     2491.000000       0.697528
     2491.100000       0.698357
     2491.200000       0.699184
     2491.300000       0.700012
     2491.400000       0.700839
     2491.500000       0.701666
     2491.600000       0.702495
     2491.700000       0.703322
     2491.800000       0.704149
     2491.900000       0.704977
     2492.000000       0.705804
     2492.100000       0.706632
     2492.200000       0.707459
     2492.300000       0.708287
     2492.400000       0.709114
     2492.500000       0.709941
     2492.600000       0.710770
     2492.700000       0.711597
     2492.800000       0.712424
     2492.900000       0.713252
     2493.000000       0.714079
     2493.100000       0.714907
     2493.200000       0.715735
     2493.300000       0.716562
     2493.400000       0.717389
     2493.500000       0.718217
     2493.600000       0.719046
     2493.700000       0.719872
     2493.800000       0.720700
     2493.900000       0.721533
