   1, extracted from file vas_g06.srf.nc
Number of data points:
253
Wavenumber (cm-1)   Filter response
      667.300000       0.001816
      667.400000       0.002694
      667.500000       0.003570
      667.600000       0.004446
      667.700000       0.005322
      667.800000       0.006197
      667.900000       0.007074
      668.000000       0.007951
      668.100000       0.008815
      668.200000       0.009665
      668.300000       0.010517
      668.400000       0.011369
      668.500000       0.012221
      668.600000       0.013072
      668.700000       0.013922
      668.800000       0.014772
      668.900000       0.015624
      669.000000       0.016462
      669.100000       0.017288
      669.200000       0.018115
      669.300000       0.018924
      669.400000       0.019877
      669.500000       0.021103
      669.600000       0.022434
      669.700000       0.023749
      669.800000       0.025059
      669.900000       0.026584
      670.000000       0.028299
      670.100000       0.029993
      670.200000       0.031688
      670.300000       0.033376
      670.400000       0.035052
      670.500000       0.036721
      670.600000       0.038389
      670.700000       0.040055
      670.800000       0.041932
      670.900000       0.044001
      671.000000       0.046046
      671.100000       0.048089
      671.200000       0.050151
      671.300000       0.052250
      671.400000       0.054364
      671.500000       0.056461
      671.600000       0.058540
      671.700000       0.061812
      671.800000       0.066168
      671.900000       0.070409
      672.000000       0.074608
      672.100000       0.079093
      672.200000       0.084123
      672.300000       0.089352
      672.400000       0.094559
      672.500000       0.099706
      672.600000       0.105784
      672.700000       0.112736
      672.800000       0.119588
      672.900000       0.126409
      673.000000       0.133569
      673.100000       0.141472
      673.200000       0.149682
      673.300000       0.157853
      673.400000       0.165790
      673.500000       0.175928
      673.600000       0.188299
      673.700000       0.200434
      673.800000       0.212421
      673.900000       0.225561
      674.000000       0.241515
      674.100000       0.258866
      674.200000       0.276046
      674.300000       0.293238
      674.400000       0.310333
      674.500000       0.327259
      674.600000       0.344190
      674.700000       0.361128
      674.800000       0.378024
      674.900000       0.394815
      675.000000       0.411497
      675.100000       0.428192
      675.200000       0.444899
      675.300000       0.461495
      675.400000       0.477980
      675.500000       0.494423
      675.600000       0.510839
      675.700000       0.527450
      675.800000       0.545283
      675.900000       0.564035
      676.000000       0.582654
      676.100000       0.601277
      676.200000       0.619890
      676.300000       0.638483
      676.400000       0.657102
      676.500000       0.675694
      676.600000       0.694289
