02 , goes_09_imager_03.flt
Number of data points:
2001
Wavenumber (cm-1)   Filter response
     1410.100000       0.012869
     1410.200000       0.013128
     1410.300000       0.013396
     1410.400000       0.013676
     1410.500000       0.013967
     1410.600000       0.014272
     1410.700000       0.014590
     1410.800000       0.014920
     1410.900000       0.015270
     1411.000000       0.015637
     1411.100000       0.016023
     1411.200000       0.016427
     1411.300000       0.016849
     1411.400000       0.017297
     1411.500000       0.017768
     1411.600000       0.018264
     1411.700000       0.018785
     1411.800000       0.019327
     1411.900000       0.019902
     1412.000000       0.020507
     1412.100000       0.021141
     1412.200000       0.021804
     1412.300000       0.022490
     1412.400000       0.023186
     1412.500000       0.023898
     1412.600000       0.024616
     1412.700000       0.025332
     1412.800000       0.026043
     1412.900000       0.026733
     1413.000000       0.027408
     1413.100000       0.028061
     1413.200000       0.028685
     1413.300000       0.029285
     1413.400000       0.029857
     1413.500000       0.030412
     1413.600000       0.030953
     1413.700000       0.031480
     1413.800000       0.031997
     1413.900000       0.032502
     1414.000000       0.033004
     1414.100000       0.033507
     1414.200000       0.034010
     1414.300000       0.034519
     1414.400000       0.035031
     1414.500000       0.035553
     1414.600000       0.036092
     1414.700000       0.036646
     1414.800000       0.037220
     1414.900000       0.037813
     1415.000000       0.038429
     1415.100000       0.039079
     1415.200000       0.039759
     1415.300000       0.040473
     1415.400000       0.041226
     1415.500000       0.042017
     1415.600000       0.042845
     1415.700000       0.043729
     1415.800000       0.044661
     1415.900000       0.045647
     1416.000000       0.046688
     1416.100000       0.047778
     1416.200000       0.048942
     1416.300000       0.050170
     1416.400000       0.051466
     1416.500000       0.052835
     1416.600000       0.054264
     1416.700000       0.055783
     1416.800000       0.057385
     1416.900000       0.059069
     1417.000000       0.060843
     1417.100000       0.062688
     1417.200000       0.064639
     1417.300000       0.066691
     1417.400000       0.068840
     1417.500000       0.071095
     1417.600000       0.073432
     1417.700000       0.075890
     1417.800000       0.078467
     1417.900000       0.081155
     1418.000000       0.083966
     1418.100000       0.086870
     1418.200000       0.089906
     1418.300000       0.093083
     1418.400000       0.096383
     1418.500000       0.099821
     1418.600000       0.103365
     1418.700000       0.107048
     1418.800000       0.110891
     1418.900000       0.114852
     1419.000000       0.118933
     1419.100000       0.123086
     1419.200000       0.127314
     1419.300000       0.131649
     1419.400000       0.136031
     1419.500000       0.140463
     1419.600000       0.144904
     1419.700000       0.149339
     1419.800000       0.153817
     1419.900000       0.158277
     1420.000000       0.162712
     1420.100000       0.167111
     1420.200000       0.171448
     1420.300000       0.175687
     1420.400000       0.179893
     1420.500000       0.184002
     1420.600000       0.188010
     1420.700000       0.191904
     1420.800000       0.195659
     1420.900000       0.199354
     1421.000000       0.202953
     1421.100000       0.206463
     1421.200000       0.209890
     1421.300000       0.213204
     1421.400000       0.216477
     1421.500000       0.219685
     1421.600000       0.222828
     1421.700000       0.225918
     1421.800000       0.228924
     1421.900000       0.231908
     1422.000000       0.234858
     1422.100000       0.237771
     1422.200000       0.240654
     1422.300000       0.243517
     1422.400000       0.246332
     1422.500000       0.249150
     1422.600000       0.251974
     1422.700000       0.254790
     1422.800000       0.257617
     1422.900000       0.260427
     1423.000000       0.263259
     1423.100000       0.266129
     1423.200000       0.269021
     1423.300000       0.271951
     1423.400000       0.274895
     1423.500000       0.277882
     1423.600000       0.280942
     1423.700000       0.284049
     1423.800000       0.287222
     1423.900000       0.290438
     1424.000000       0.293714
     1424.100000       0.297093
     1424.200000       0.300545
     1424.300000       0.304086
     1424.400000       0.307701
     1424.500000       0.311390
     1424.600000       0.315213
     1424.700000       0.319136
     1424.800000       0.323169
     1424.900000       0.327318
     1425.000000       0.331578
     1425.100000       0.335926
     1425.200000       0.340449
     1425.300000       0.345102
     1425.400000       0.349897
     1425.500000       0.354833
     1425.600000       0.359870
     1425.700000       0.365111
     1425.800000       0.370510
     1425.900000       0.376069
     1426.000000       0.381787
     1426.100000       0.387593
     1426.200000       0.393589
     1426.300000       0.399722
     1426.400000       0.405973
     1426.500000       0.412345
     1426.600000       0.418755
     1426.700000       0.425307
     1426.800000       0.431962
     1426.900000       0.438688
     1427.000000       0.445495
     1427.100000       0.452296
     1427.200000       0.459182
     1427.300000       0.466138
     1427.400000       0.473120
     1427.500000       0.480125
     1427.600000       0.487157
     1427.700000       0.494139
     1427.800000       0.501132
     1427.900000       0.508160
     1428.000000       0.515156
     1428.100000       0.522140
     1428.200000       0.529039
     1428.300000       0.535890
     1428.400000       0.542747
     1428.500000       0.549548
     1428.600000       0.556323
     1428.700000       0.563032
     1428.800000       0.569692
     1428.900000       0.576394
     1429.000000       0.583070
     1429.100000       0.589747
     1429.200000       0.596398
     1429.300000       0.603013
     1429.400000       0.609706
     1429.500000       0.616406
     1429.600000       0.623137
     1429.700000       0.629888
     1429.800000       0.636622
     1429.900000       0.643475
     1430.000000       0.650376
     1430.100000       0.657342
     1430.200000       0.664375
     1430.300000       0.671416
     1430.400000       0.678614
     1430.500000       0.685905
     1430.600000       0.693292
     1430.700000       0.700758
     1430.800000       0.708290
     1430.900000       0.715787
     1431.000000       0.723372
     1431.100000       0.730976
     1431.200000       0.738561
     1431.300000       0.746126
     1431.400000       0.753565
     1431.500000       0.760984
     1431.600000       0.768338
     1431.700000       0.775575
     1431.800000       0.782697
     1431.900000       0.789608
     1432.000000       0.796385
     1432.100000       0.803026
     1432.200000       0.809491
     1432.300000       0.815806
     1432.400000       0.821913
     1432.500000       0.827875
     1432.600000       0.833722
     1432.700000       0.839408
     1432.800000       0.844958
     1432.900000       0.850329
     1433.000000       0.855555
     1433.100000       0.860684
     1433.200000       0.865667
     1433.300000       0.870521
     1433.400000       0.875220
     1433.500000       0.879767
     1433.600000       0.884217
     1433.700000       0.888521
     1433.800000       0.892694
     1433.900000       0.896717
     1434.000000       0.900585
     1434.100000       0.904352
     1434.200000       0.907983
     1434.300000       0.911485
     1434.400000       0.914853
     1434.500000       0.918072
     1434.600000       0.921192
     1434.700000       0.924186
     1434.800000       0.927057
     1434.900000       0.929807
     1435.000000       0.932435
     1435.100000       0.934927
     1435.200000       0.937321
     1435.300000       0.939601
     1435.400000       0.941769
     1435.500000       0.943828
     1435.600000       0.945762
     1435.700000       0.947605
     1435.800000       0.949347
     1435.900000       0.950986
     1436.000000       0.952529
     1436.100000       0.953961
     1436.200000       0.955307
     1436.300000       0.956566
     1436.400000       0.957732
     1436.500000       0.958814
     1436.600000       0.959799
     1436.700000       0.960705
     1436.800000       0.961536
     1436.900000       0.962287
     1437.000000       0.962961
     1437.100000       0.963564
     1437.200000       0.964095
     1437.300000       0.964566
     1437.400000       0.964988
     1437.500000       0.965352
     1437.600000       0.965664
     1437.700000       0.965916
     1437.800000       0.966115
     1437.900000       0.966271
     1438.000000       0.966377
     1438.100000       0.966437
     1438.200000       0.966445
     1438.300000       0.966405
     1438.400000       0.966330
     1438.500000       0.966211
     1438.600000       0.966053
     1438.700000       0.965853
     1438.800000       0.965609
     1438.900000       0.965338
     1439.000000       0.965028
     1439.100000       0.964682
     1439.200000       0.964297
     1439.300000       0.963867
     1439.400000       0.963408
     1439.500000       0.962910
     1439.600000       0.962375
     1439.700000       0.961800
     1439.800000       0.961183
     1439.900000       0.960532
     1440.000000       0.959843
     1440.100000       0.959115
     1440.200000       0.958349
     1440.300000       0.957544
     1440.400000       0.956698
     1440.500000       0.955816
     1440.600000       0.954896
     1440.700000       0.953938
     1440.800000       0.952945
     1440.900000       0.951930
     1441.000000       0.950897
     1441.100000       0.949854
     1441.200000       0.948807
     1441.300000       0.947762
     1441.400000       0.946729
     1441.500000       0.945710
     1441.600000       0.944713
     1441.700000       0.943744
     1441.800000       0.942809
     1441.900000       0.941918
     1442.000000       0.941069
     1442.100000       0.940258
     1442.200000       0.939488
     1442.300000       0.938754
     1442.400000       0.938058
     1442.500000       0.937397
     1442.600000       0.936766
     1442.700000       0.936167
     1442.800000       0.935597
     1442.900000       0.935056
     1443.000000       0.934542
     1443.100000       0.934046
     1443.200000       0.933570
     1443.300000       0.933112
     1443.400000       0.932667
     1443.500000       0.932240
     1443.600000       0.931838
     1443.700000       0.931460
     1443.800000       0.931115
     1443.900000       0.930809
     1444.000000       0.930546
     1444.100000       0.930335
     1444.200000       0.930176
     1444.300000       0.930077
     1444.400000       0.930044
     1444.500000       0.930081
     1444.600000       0.930195
     1444.700000       0.930386
     1444.800000       0.930649
     1444.900000       0.930976
     1445.000000       0.931361
     1445.100000       0.931793
     1445.200000       0.932269
     1445.300000       0.932782
     1445.400000       0.933322
     1445.500000       0.933883
     1445.600000       0.934454
     1445.700000       0.935034
     1445.800000       0.935614
     1445.900000       0.936186
     1446.000000       0.936742
     1446.100000       0.937275
     1446.200000       0.937777
     1446.300000       0.938253
     1446.400000       0.938712
     1446.500000       0.939158
     1446.600000       0.939597
     1446.700000       0.940034
     1446.800000       0.940479
     1446.900000       0.940938
     1447.000000       0.941404
     1447.100000       0.941874
     1447.200000       0.942337
     1447.300000       0.942791
     1447.400000       0.943235
     1447.500000       0.943660
     1447.600000       0.944060
     1447.700000       0.944429
     1447.800000       0.944761
     1447.900000       0.945056
     1448.000000       0.945306
     1448.100000       0.945504
     1448.200000       0.945647
     1448.300000       0.945734
     1448.400000       0.945774
     1448.500000       0.945770
     1448.600000       0.945723
     1448.700000       0.945638
     1448.800000       0.945521
     1448.900000       0.945381
     1449.000000       0.945222
     1449.100000       0.945050
     1449.200000       0.944872
     1449.300000       0.944693
     1449.400000       0.944516
     1449.500000       0.944353
     1449.600000       0.944206
     1449.700000       0.944083
     1449.800000       0.943990
     1449.900000       0.943923
     1450.000000       0.943888
     1450.100000       0.943882
     1450.200000       0.943902
     1450.300000       0.943948
     1450.400000       0.944012
     1450.500000       0.944100
     1450.600000       0.944211
     1450.700000       0.944341
     1450.800000       0.944490
     1450.900000       0.944654
     1451.000000       0.944839
     1451.100000       0.945048
     1451.200000       0.945280
     1451.300000       0.945540
     1451.400000       0.945826
     1451.500000       0.946142
     1451.600000       0.946495
     1451.700000       0.946882
     1451.800000       0.947306
     1451.900000       0.947769
     1452.000000       0.948273
     1452.100000       0.948823
     1452.200000       0.949420
     1452.300000       0.950064
     1452.400000       0.950760
     1452.500000       0.951507
     1452.600000       0.952302
     1452.700000       0.953147
     1452.800000       0.954037
     1452.900000       0.954969
     1453.000000       0.955942
     1453.100000       0.956952
     1453.200000       0.958000
     1453.300000       0.959085
     1453.400000       0.960208
     1453.500000       0.961369
     1453.600000       0.962569
     1453.700000       0.963806
     1453.800000       0.965082
     1453.900000       0.966398
     1454.000000       0.967752
     1454.100000       0.969148
     1454.200000       0.970582
     1454.300000       0.972057
     1454.400000       0.973572
     1454.500000       0.975124
     1454.600000       0.976706
     1454.700000       0.978313
     1454.800000       0.979937
     1454.900000       0.981570
     1455.000000       0.983200
     1455.100000       0.984815
     1455.200000       0.986406
     1455.300000       0.987962
     1455.400000       0.989470
     1455.500000       0.990921
     1455.600000       0.992303
     1455.700000       0.993606
     1455.800000       0.994818
     1455.900000       0.995928
     1456.000000       0.996926
     1456.100000       0.997799
     1456.200000       0.998540
     1456.300000       0.999135
     1456.400000       0.999577
     1456.500000       0.999866
     1456.600000       1.000000
     1456.700000       0.999986
     1456.800000       0.999826
     1456.900000       0.999521
     1457.000000       0.999078
     1457.100000       0.998498
     1457.200000       0.997788
     1457.300000       0.996952
     1457.400000       0.995988
     1457.500000       0.994904
     1457.600000       0.993703
     1457.700000       0.992388
     1457.800000       0.990969
     1457.900000       0.989436
     1458.000000       0.987799
     1458.100000       0.986058
     1458.200000       0.984217
     1458.300000       0.982282
     1458.400000       0.980255
     1458.500000       0.978148
     1458.600000       0.975971
     1458.700000       0.973731
     1458.800000       0.971440
     1458.900000       0.969108
     1459.000000       0.966738
     1459.100000       0.964341
     1459.200000       0.961926
     1459.300000       0.959502
     1459.400000       0.957083
     1459.500000       0.954669
     1459.600000       0.952270
     1459.700000       0.949896
     1459.800000       0.947550
     1459.900000       0.945241
     1460.000000       0.942969
     1460.100000       0.940737
     1460.200000       0.938554
     1460.300000       0.936415
     1460.400000       0.934325
     1460.500000       0.932276
     1460.600000       0.930265
     1460.700000       0.928293
     1460.800000       0.926357
     1460.900000       0.924459
     1461.000000       0.922596
     1461.100000       0.920759
     1461.200000       0.918952
     1461.300000       0.917172
     1461.400000       0.915425
     1461.500000       0.913715
     1461.600000       0.912037
     1461.700000       0.910402
     1461.800000       0.908812
     1461.900000       0.907272
     1462.000000       0.905788
     1462.100000       0.904366
     1462.200000       0.902992
     1462.300000       0.901676
     1462.400000       0.900414
     1462.500000       0.899207
     1462.600000       0.898061
     1462.700000       0.896956
     1462.800000       0.895902
