10, channel 10 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
1062
Wavenumber (cm-1)   Filter response
     1297.900000       0.000553
     1298.000000       0.000557
     1298.100000       0.000561
     1298.200000       0.000565
     1298.300000       0.000569
     1298.400000       0.000574
     1298.500000       0.000578
     1298.600000       0.000582
     1298.700000       0.000585
     1298.800000       0.000588
     1298.900000       0.000590
     1299.000000       0.000591
     1299.100000       0.000591
     1299.200000       0.000590
     1299.300000       0.000588
     1299.400000       0.000585
     1299.500000       0.000582
     1299.600000       0.000579
     1299.700000       0.000575
     1299.800000       0.000571
     1299.900000       0.000568
     1300.000000       0.000566
     1300.100000       0.000564
     1300.200000       0.000564
     1300.300000       0.000565
     1300.400000       0.000567
     1300.500000       0.000570
     1300.600000       0.000575
     1300.700000       0.000581
     1300.800000       0.000588
     1300.900000       0.000596
     1301.000000       0.000603
     1301.100000       0.000611
     1301.200000       0.000619
     1301.300000       0.000625
     1301.400000       0.000631
     1301.500000       0.000635
     1301.600000       0.000637
     1301.700000       0.000637
     1301.800000       0.000637
     1301.900000       0.000634
     1302.000000       0.000629
     1302.100000       0.000622
     1302.200000       0.000615
     1302.300000       0.000606
     1302.400000       0.000597
     1302.500000       0.000588
     1302.600000       0.000579
     1302.700000       0.000571
     1302.800000       0.000564
     1302.900000       0.000558
     1303.000000       0.000554
     1303.100000       0.000551
     1303.200000       0.000551
     1303.300000       0.000551
     1303.400000       0.000553
     1303.500000       0.000556
     1303.600000       0.000560
     1303.700000       0.000565
     1303.800000       0.000570
     1303.900000       0.000574
     1304.000000       0.000579
     1304.100000       0.000582
     1304.200000       0.000583
     1304.300000       0.000584
     1304.400000       0.000583
     1304.500000       0.000581
     1304.600000       0.000576
     1304.700000       0.000571
     1304.800000       0.000563
     1304.900000       0.000555
     1305.000000       0.000546
     1305.100000       0.000537
     1305.200000       0.000527
     1305.300000       0.000517
     1305.400000       0.000507
     1305.500000       0.000498
     1305.600000       0.000489
     1305.700000       0.000482
     1305.800000       0.000475
     1305.900000       0.000470
     1306.000000       0.000466
     1306.100000       0.000463
     1306.200000       0.000462
     1306.300000       0.000461
     1306.400000       0.000461
     1306.500000       0.000462
     1306.600000       0.000463
     1306.700000       0.000465
     1306.800000       0.000467
     1306.900000       0.000469
     1307.000000       0.000472
     1307.100000       0.000474
     1307.200000       0.000477
     1307.300000       0.000479
     1307.400000       0.000480
     1307.500000       0.000482
     1307.600000       0.000483
     1307.700000       0.000483
     1307.800000       0.000483
     1307.900000       0.000482
     1308.000000       0.000481
     1308.100000       0.000479
     1308.200000       0.000476
     1308.300000       0.000472
     1308.400000       0.000467
     1308.500000       0.000461
     1308.600000       0.000454
     1308.700000       0.000447
     1308.800000       0.000439
     1308.900000       0.000430
     1309.000000       0.000421
     1309.100000       0.000412
     1309.200000       0.000403
     1309.300000       0.000394
     1309.400000       0.000386
     1309.500000       0.000379
     1309.600000       0.000373
     1309.700000       0.000367
     1309.800000       0.000364
     1309.900000       0.000362
     1310.000000       0.000362
     1310.100000       0.000363
     1310.200000       0.000366
     1310.300000       0.000370
     1310.400000       0.000376
     1310.500000       0.000382
     1310.600000       0.000390
     1310.700000       0.000397
     1310.800000       0.000405
     1310.900000       0.000413
     1311.000000       0.000420
     1311.100000       0.000427
     1311.200000       0.000432
     1311.300000       0.000436
     1311.400000       0.000438
     1311.500000       0.000439
     1311.600000       0.000438
     1311.700000       0.000436
     1311.800000       0.000432
     1311.900000       0.000427
     1312.000000       0.000420
     1312.100000       0.000413
     1312.200000       0.000404
     1312.300000       0.000395
     1312.400000       0.000386
     1312.500000       0.000377
     1312.600000       0.000368
     1312.700000       0.000360
     1312.800000       0.000352
     1312.900000       0.000344
     1313.000000       0.000338
     1313.100000       0.000332
     1313.200000       0.000327
     1313.300000       0.000323
     1313.400000       0.000320
     1313.500000       0.000317
     1313.600000       0.000315
     1313.700000       0.000313
     1313.800000       0.000311
     1313.900000       0.000309
     1314.000000       0.000308
     1314.100000       0.000306
     1314.200000       0.000304
     1314.300000       0.000302
     1314.400000       0.000299
     1314.500000       0.000296
     1314.600000       0.000293
     1314.700000       0.000290
     1314.800000       0.000287
     1314.900000       0.000283
     1315.000000       0.000279
     1315.100000       0.000276
     1315.200000       0.000273
     1315.300000       0.000270
     1315.400000       0.000268
     1315.500000       0.000267
     1315.600000       0.000267
     1315.700000       0.000267
     1315.800000       0.000268
     1315.900000       0.000271
     1316.000000       0.000274
     1316.100000       0.000278
     1316.200000       0.000282
     1316.300000       0.000287
     1316.400000       0.000292
     1316.500000       0.000297
     1316.600000       0.000303
     1316.700000       0.000307
     1316.800000       0.000311
     1316.900000       0.000314
     1317.000000       0.000316
     1317.100000       0.000316
     1317.200000       0.000316
     1317.300000       0.000314
     1317.400000       0.000310
     1317.500000       0.000306
     1317.600000       0.000300
     1317.700000       0.000294
     1317.800000       0.000287
     1317.900000       0.000279
     1318.000000       0.000272
     1318.100000       0.000266
     1318.200000       0.000260
     1318.300000       0.000256
     1318.400000       0.000253
     1318.500000       0.000252
     1318.600000       0.000252
     1318.700000       0.000255
     1318.800000       0.000259
     1318.900000       0.000266
     1319.000000       0.000274
     1319.100000       0.000283
     1319.200000       0.000294
     1319.300000       0.000305
     1319.400000       0.000317
     1319.500000       0.000329
     1319.600000       0.000341
     1319.700000       0.000352
     1319.800000       0.000362
     1319.900000       0.000371
     1320.000000       0.000378
     1320.100000       0.000384
     1320.200000       0.000388
     1320.300000       0.000392
     1320.400000       0.000394
     1320.500000       0.000395
     1320.600000       0.000396
     1320.700000       0.000397
     1320.800000       0.000398
     1320.900000       0.000399
     1321.000000       0.000401
     1321.100000       0.000404
     1321.200000       0.000409
     1321.300000       0.000415
     1321.400000       0.000422
     1321.500000       0.000431
     1321.600000       0.000441
     1321.700000       0.000452
     1321.800000       0.000464
     1321.900000       0.000476
     1322.000000       0.000489
     1322.100000       0.000502
     1322.200000       0.000514
     1322.300000       0.000526
     1322.400000       0.000537
     1322.500000       0.000548
     1322.600000       0.000558
     1322.700000       0.000567
     1322.800000       0.000576
     1322.900000       0.000584
     1323.000000       0.000592
     1323.100000       0.000600
     1323.200000       0.000608
     1323.300000       0.000617
     1323.400000       0.000627
     1323.500000       0.000638
     1323.600000       0.000651
     1323.700000       0.000665
     1323.800000       0.000680
     1323.900000       0.000697
     1324.000000       0.000715
     1324.100000       0.000734
     1324.200000       0.000754
     1324.300000       0.000775
     1324.400000       0.000796
     1324.500000       0.000817
     1324.600000       0.000838
     1324.700000       0.000858
     1324.800000       0.000877
     1324.900000       0.000895
     1325.000000       0.000912
     1325.100000       0.000929
     1325.200000       0.000944
     1325.300000       0.000953
     1325.400000       0.000956
     1325.500000       0.000949
     1325.600000       0.000945
     1325.700000       0.000944
     1325.800000       0.000947
     1325.900000       0.000963
     1326.000000       0.001077
     1326.100000       0.001269
     1326.200000       0.001488
     1326.300000       0.001569
     1326.400000       0.001583
     1326.500000       0.001601
     1326.600000       0.001620
     1326.700000       0.001641
     1326.800000       0.001664
     1326.900000       0.001687
     1327.000000       0.001712
     1327.100000       0.001738
     1327.200000       0.001765
     1327.300000       0.001793
     1327.400000       0.001823
     1327.500000       0.001853
     1327.600000       0.001885
     1327.700000       0.001919
     1327.800000       0.001954
     1327.900000       0.001991
     1328.000000       0.002029
     1328.100000       0.002070
     1328.200000       0.002113
     1328.300000       0.002158
     1328.400000       0.002205
     1328.500000       0.002255
     1328.600000       0.002307
     1328.700000       0.002361
     1328.800000       0.002417
     1328.900000       0.002476
     1329.000000       0.002536
     1329.100000       0.002599
     1329.200000       0.002663
     1329.300000       0.002729
     1329.400000       0.002797
     1329.500000       0.002866
     1329.600000       0.002936
     1329.700000       0.003008
     1329.800000       0.003082
     1329.900000       0.003157
     1330.000000       0.003234
     1330.100000       0.003312
     1330.200000       0.003393
     1330.300000       0.003477
     1330.400000       0.003562
     1330.500000       0.003651
     1330.600000       0.003743
     1330.700000       0.003838
     1330.800000       0.003937
     1330.900000       0.004040
     1331.000000       0.004147
     1331.100000       0.004258
     1331.200000       0.004374
     1331.300000       0.004496
     1331.400000       0.004621
     1331.500000       0.004753
     1331.600000       0.004890
     1331.700000       0.005033
     1331.800000       0.005181
     1331.900000       0.005337
     1332.000000       0.005500
     1332.100000       0.005669
     1332.200000       0.005847
     1332.300000       0.006032
     1332.400000       0.006225
     1332.500000       0.006428
     1332.600000       0.006639
     1332.700000       0.006859
     1332.800000       0.007089
     1332.900000       0.007330
     1333.000000       0.007580
     1333.100000       0.007841
     1333.200000       0.008113
     1333.300000       0.008396
     1333.400000       0.008691
     1333.500000       0.008997
     1333.600000       0.009316
     1333.700000       0.009648
     1333.800000       0.009995
     1333.900000       0.010357
     1334.000000       0.010738
     1334.100000       0.011133
     1334.200000       0.011544
     1334.300000       0.011972
     1334.400000       0.012415
     1334.500000       0.012877
     1334.600000       0.013357
     1334.700000       0.013856
     1334.800000       0.014375
     1334.900000       0.014915
     1335.000000       0.015479
     1335.100000       0.016065
     1335.200000       0.016680
     1335.300000       0.017322
     1335.400000       0.017991
     1335.500000       0.018688
     1335.600000       0.019414
     1335.700000       0.020178
     1335.800000       0.020985
     1335.900000       0.021838
     1336.000000       0.022729
     1336.100000       0.023665
     1336.200000       0.024646
     1336.300000       0.025678
     1336.400000       0.026754
     1336.500000       0.027881
     1336.600000       0.029061
     1336.700000       0.030296
     1336.800000       0.031593
     1336.900000       0.032953
     1337.000000       0.034384
     1337.100000       0.035875
     1337.200000       0.037443
     1337.300000       0.039086
     1337.400000       0.040811
     1337.500000       0.042642
     1337.600000       0.044582
     1337.700000       0.046622
     1337.800000       0.048767
     1337.900000       0.051028
     1338.000000       0.053389
     1338.100000       0.055871
     1338.200000       0.058470
     1338.300000       0.061190
     1338.400000       0.064032
     1338.500000       0.066993
     1338.600000       0.070099
     1338.700000       0.073347
     1338.800000       0.076735
     1338.900000       0.080276
     1339.000000       0.083994
     1339.100000       0.087885
     1339.200000       0.091954
     1339.300000       0.096185
     1339.400000       0.100603
     1339.500000       0.105219
     1339.600000       0.110022
     1339.700000       0.115043
     1339.800000       0.120276
     1339.900000       0.125730
     1340.000000       0.131408
     1340.100000       0.137310
     1340.200000       0.143435
     1340.300000       0.149792
     1340.400000       0.156398
     1340.500000       0.163187
     1340.600000       0.170189
     1340.700000       0.177443
     1340.800000       0.184975
     1340.900000       0.192738
     1341.000000       0.200734
     1341.100000       0.208924
     1341.200000       0.217303
     1341.300000       0.225874
     1341.400000       0.234613
     1341.500000       0.243540
     1341.600000       0.252652
     1341.700000       0.261930
     1341.800000       0.271374
     1341.900000       0.280983
     1342.000000       0.290735
     1342.100000       0.300618
     1342.200000       0.310621
     1342.300000       0.320721
     1342.400000       0.330931
     1342.500000       0.341252
     1342.600000       0.351671
     1342.700000       0.362176
     1342.800000       0.372764
     1342.900000       0.383417
     1343.000000       0.394127
     1343.100000       0.404885
     1343.200000       0.415681
     1343.300000       0.426509
     1343.400000       0.437361
     1343.500000       0.448240
     1343.600000       0.459122
     1343.700000       0.470006
     1343.800000       0.480888
     1343.900000       0.491761
     1344.000000       0.502605
     1344.100000       0.513415
     1344.200000       0.524161
     1344.300000       0.534869
     1344.400000       0.545550
     1344.500000       0.556148
     1344.600000       0.566657
     1344.700000       0.577125
     1344.800000       0.587533
     1344.900000       0.597780
     1345.000000       0.607939
     1345.100000       0.618083
     1345.200000       0.628090
     1345.300000       0.637908
     1345.400000       0.647719
     1345.500000       0.657524
     1345.600000       0.667094
     1345.700000       0.676505
     1345.800000       0.685973
     1345.900000       0.695349
     1346.000000       0.704466
     1346.100000       0.713498
     1346.200000       0.722530
     1346.300000       0.731387
     1346.400000       0.740050
     1346.500000       0.748709
     1346.600000       0.757324
     1346.700000       0.765700
     1346.800000       0.773963
     1346.900000       0.782279
     1347.000000       0.790473
     1347.100000       0.798409
     1347.200000       0.806259
     1347.300000       0.814066
     1347.400000       0.821672
     1347.500000       0.829099
     1347.600000       0.836509
     1347.700000       0.843838
     1347.800000       0.850989
     1347.900000       0.858049
     1348.000000       0.865059
     1348.100000       0.871903
     1348.200000       0.878437
     1348.300000       0.885257
     1348.400000       0.892595
     1348.500000       0.906366
     1348.600000       0.923862
     1348.700000       0.928289
     1348.800000       0.930752
     1348.900000       0.933264
     1349.000000       0.935762
     1349.100000       0.938459
     1349.200000       0.941205
     1349.300000       0.943978
     1349.400000       0.946646
     1349.500000       0.949210
     1349.600000       0.951684
     1349.700000       0.954071
     1349.800000       0.956364
     1349.900000       0.958572
     1350.000000       0.960682
     1350.100000       0.962726
     1350.200000       0.964688
     1350.300000       0.966612
     1350.400000       0.968497
     1350.500000       0.970361
     1350.600000       0.972199
     1350.700000       0.973995
     1350.800000       0.975718
     1350.900000       0.977317
     1351.000000       0.978774
     1351.100000       0.980033
     1351.200000       0.981045
     1351.300000       0.981857
     1351.400000       0.982393
     1351.500000       0.982756
     1351.600000       0.982781
     1351.700000       0.982741
     1351.800000       0.982523
     1351.900000       0.982112
     1352.000000       0.981572
     1352.100000       0.980958
     1352.200000       0.980232
     1352.300000       0.979437
     1352.400000       0.978575
     1352.500000       0.977689
     1352.600000       0.976766
     1352.700000       0.975825
     1352.800000       0.974876
     1352.900000       0.973945
     1353.000000       0.973041
     1353.100000       0.972182
     1353.200000       0.971370
     1353.300000       0.970618
     1353.400000       0.969920
     1353.500000       0.969271
     1353.600000       0.968689
     1353.700000       0.968165
     1353.800000       0.967706
     1353.900000       0.967308
     1354.000000       0.966978
     1354.100000       0.966716
     1354.200000       0.966525
     1354.300000       0.966393
     1354.400000       0.966334
     1354.500000       0.966333
     1354.600000       0.966409
     1354.700000       0.966523
     1354.800000       0.966736
     1354.900000       0.967004
     1355.000000       0.967330
     1355.100000       0.967714
     1355.200000       0.968154
     1355.300000       0.968641
     1355.400000       0.969166
     1355.500000       0.969726
     1355.600000       0.970326
     1355.700000       0.970966
     1355.800000       0.971644
     1355.900000       0.972360
     1356.000000       0.973112
     1356.100000       0.973895
     1356.200000       0.974700
     1356.300000       0.975496
     1356.400000       0.976255
     1356.500000       0.976913
     1356.600000       0.977421
     1356.700000       0.977916
     1356.800000       0.978435
     1356.900000       0.978967
     1357.000000       0.979508
     1357.100000       0.980049
     1357.200000       0.980590
     1357.300000       0.981130
     1357.400000       0.981671
     1357.500000       0.982211
     1357.600000       0.982753
     1357.700000       0.983296
     1357.800000       0.983837
     1357.900000       0.984373
     1358.000000       0.984897
     1358.100000       0.985407
     1358.200000       0.985899
     1358.300000       0.986373
     1358.400000       0.986823
     1358.500000       0.987248
     1358.600000       0.987643
     1358.700000       0.988019
     1358.800000       0.988388
     1358.900000       0.988738
     1359.000000       0.989066
     1359.100000       0.989370
     1359.200000       0.989648
     1359.300000       0.989906
     1359.400000       0.990145
     1359.500000       0.990360
     1359.600000       0.990550
     1359.700000       0.990702
     1359.800000       0.990827
     1359.900000       0.990893
     1360.000000       0.990905
     1360.100000       0.990815
     1360.200000       0.990660
     1360.300000       0.990430
     1360.400000       0.990157
     1360.500000       0.989838
     1360.600000       0.989450
     1360.700000       0.988972
     1360.800000       0.988402
     1360.900000       0.987739
     1361.000000       0.987035
     1361.100000       0.986302
     1361.200000       0.985562
     1361.300000       0.984803
     1361.400000       0.984031
     1361.500000       0.983236
     1361.600000       0.982396
     1361.700000       0.981549
     1361.800000       0.980698
     1361.900000       0.979882
     1362.000000       0.979100
     1362.100000       0.978382
     1362.200000       0.977711
     1362.300000       0.977081
     1362.400000       0.976501
     1362.500000       0.975977
     1362.600000       0.975527
     1362.700000       0.975152
     1362.800000       0.974850
     1362.900000       0.974599
     1363.000000       0.974443
     1363.100000       0.974343
     1363.200000       0.974314
     1363.300000       0.974304
     1363.400000       0.974311
     1363.500000       0.974358
     1363.600000       0.974423
     1363.700000       0.974523
     1363.800000       0.974650
     1363.900000       0.974782
     1364.000000       0.974908
     1364.100000       0.975001
     1364.200000       0.975061
     1364.300000       0.975067
     1364.400000       0.975033
     1364.500000       0.974972
     1364.600000       0.974854
     1364.700000       0.974697
     1364.800000       0.974467
     1364.900000       0.974074
     1365.000000       0.973506
     1365.100000       0.972592
     1365.200000       0.972090
     1365.300000       0.973022
     1365.400000       0.974475
     1365.500000       0.976479
     1365.600000       0.978676
     1365.700000       0.981054
     1365.800000       0.983378
     1365.900000       0.985613
     1366.000000       0.987664
     1366.100000       0.989537
     1366.200000       0.991162
     1366.300000       0.992588
     1366.400000       0.993801
     1366.500000       0.994748
     1366.600000       0.995506
     1366.700000       0.995791
     1366.800000       0.995768
     1366.900000       0.995710
     1367.000000       0.995530
     1367.100000       0.995383
     1367.200000       0.995275
     1367.300000       0.995269
     1367.400000       0.995412
     1367.500000       0.995662
     1367.600000       0.996058
     1367.700000       0.996558
     1367.800000       0.997155
     1367.900000       0.997778
     1368.000000       0.998399
     1368.100000       0.998994
     1368.200000       0.999477
     1368.300000       0.999892
     1368.400000       0.999998
     1368.500000       0.999963
     1368.600000       0.999757
     1368.700000       0.999193
     1368.800000       0.998354
     1368.900000       0.997183
     1369.000000       0.995750
     1369.100000       0.994016
     1369.200000       0.992046
     1369.300000       0.989841
     1369.400000       0.987437
     1369.500000       0.984939
     1369.600000       0.982378
     1369.700000       0.979840
     1369.800000       0.977346
     1369.900000       0.975001
     1370.000000       0.972811
     1370.100000       0.970831
     1370.200000       0.969098
