11, channel 11 SRF extracted from AHI-9_SpectralResponsivity_Data.xlsx (release Oct 2013)
Number of data points:
1291
Wavenumber (cm-1)   Filter response
     1102.000000       0.000352
     1102.100000       0.000357
     1102.200000       0.000362
     1102.300000       0.000367
     1102.400000       0.000371
     1102.500000       0.000376
     1102.600000       0.000380
     1102.700000       0.000385
     1102.800000       0.000389
     1102.900000       0.000393
     1103.000000       0.000397
     1103.100000       0.000400
     1103.200000       0.000404
     1103.300000       0.000408
     1103.400000       0.000412
     1103.500000       0.000415
     1103.600000       0.000419
     1103.700000       0.000423
     1103.800000       0.000427
     1103.900000       0.000431
     1104.000000       0.000435
     1104.100000       0.000440
     1104.200000       0.000444
     1104.300000       0.000449
     1104.400000       0.000454
     1104.500000       0.000459
     1104.600000       0.000465
     1104.700000       0.000470
     1104.800000       0.000476
     1104.900000       0.000483
     1105.000000       0.000489
     1105.100000       0.000496
     1105.200000       0.000504
     1105.300000       0.000511
     1105.400000       0.000519
     1105.500000       0.000528
     1105.600000       0.000535
     1105.700000       0.000542
     1105.800000       0.000601
     1105.900000       0.000714
     1106.000000       0.000762
     1106.100000       0.000771
     1106.200000       0.000782
     1106.300000       0.000793
     1106.400000       0.000803
     1106.500000       0.000813
     1106.600000       0.000823
     1106.700000       0.000833
     1106.800000       0.000843
     1106.900000       0.000852
     1107.000000       0.000860
     1107.100000       0.000869
     1107.200000       0.000877
     1107.300000       0.000885
     1107.400000       0.000893
     1107.500000       0.000901
     1107.600000       0.000909
     1107.700000       0.000917
     1107.800000       0.000925
     1107.900000       0.000934
     1108.000000       0.000944
     1108.100000       0.000954
     1108.200000       0.000965
     1108.300000       0.000976
     1108.400000       0.000989
     1108.500000       0.001002
     1108.600000       0.001016
     1108.700000       0.001031
     1108.800000       0.001046
     1108.900000       0.001062
     1109.000000       0.001078
     1109.100000       0.001094
     1109.200000       0.001111
     1109.300000       0.001127
     1109.400000       0.001143
     1109.500000       0.001159
     1109.600000       0.001174
     1109.700000       0.001189
     1109.800000       0.001203
     1109.900000       0.001216
     1110.000000       0.001229
     1110.100000       0.001240
     1110.200000       0.001252
     1110.300000       0.001263
     1110.400000       0.001273
     1110.500000       0.001284
     1110.600000       0.001294
     1110.700000       0.001305
     1110.800000       0.001317
     1110.900000       0.001329
     1111.000000       0.001341
     1111.100000       0.001355
     1111.200000       0.001370
     1111.300000       0.001386
