   1 , HJ-1B IRMSS  11.5microns
Number of data points:
354
Wavenumber (cm-1)   Filter response
      749.625200       0.000000
      750.187500       0.004400
      750.750800       0.008977
      751.314800       0.013554
      751.879700       0.018131
      752.445400       0.022708
      753.012000       0.027285
      753.579500       0.031862
      754.147800       0.036439
      754.717000       0.041016
      755.287000       0.045593
      755.857900       0.050170
      756.429700       0.054747
      757.002300       0.059325
      757.575800       0.063902
      758.150100       0.068479
      758.725300       0.073056
      759.301400       0.077633
      759.878400       0.082210
      760.456300       0.086787
      761.035000       0.091364
      761.614600       0.095941
      762.195100       0.100518
      762.776500       0.105095
      763.358800       0.109672
      763.941900       0.114249
      764.526000       0.118826
      765.110900       0.123403
      765.696800       0.127980
      766.283500       0.132557
      766.871200       0.137134
      767.459700       0.141711
      768.049200       0.146288
      768.639500       0.150865
      769.230800       0.155442
      769.822900       0.160019
      770.416000       0.164596
      771.010000       0.169449
      771.604900       0.174302
      772.200800       0.182736
      772.797500       0.191171
      773.395200       0.199639
      773.993800       0.208107
      774.593300       0.216611
      775.193800       0.225115
      775.795200       0.234649
      776.397500       0.244183
      777.000800       0.253913
      777.605000       0.263642
      778.210100       0.273383
      778.816200       0.283125
      779.423200       0.290565
      780.031200       0.298006
      780.640100       0.304211
      781.250000       0.310417
      781.860800       0.316628
      782.472600       0.322839
      783.085400       0.328414
      783.699100       0.333989
      784.313700       0.338925
      784.929400       0.343860
      785.546000       0.348830
      786.163500       0.353799
      786.782100       0.360434
      787.401600       0.367070
      788.022100       0.376719
      788.643500       0.386367
      789.266000       0.396107
      789.889400       0.405846
      790.513800       0.416075
      791.139200       0.426304
      791.765600       0.437784
      792.393000       0.449264
      793.021400       0.460740
      793.650800       0.472216
      794.281200       0.482576
      794.912600       0.492936
      795.544900       0.498416
      796.178300       0.503896
      796.812700       0.509385
      797.448200       0.514873
      798.084600       0.519993
      798.722000       0.525113
      799.360500       0.527870
      800.000000       0.530627
      800.640500       0.533339
      801.282100       0.536051
      801.924600       0.538934
      802.568200       0.541817
      803.212900       0.546023
      803.858500       0.550230
      804.505200       0.554479
      805.153000       0.558728
      805.801800       0.563047
      806.451600       0.567366
      807.102500       0.571980
      807.754400       0.576594
      808.407400       0.581245
      809.061500       0.585896
      809.716600       0.589973
      810.372800       0.594049
      811.030000       0.595710
      811.688300       0.597371
      812.347700       0.598904
      813.008100       0.600437
      813.669700       0.601263
      814.332200       0.602088
      814.995900       0.601432
      815.660700       0.600776
      816.326500       0.600292
      816.993500       0.599808
      817.661500       0.599537
      818.330600       0.599265
      819.000800       0.599126
      819.672100       0.598987
      820.344500       0.598770
      821.018100       0.598554
      821.692700       0.598897
      822.368400       0.599240
      823.045300       0.600147
      823.723200       0.601053
      824.402300       0.602000
      825.082500       0.602947
      825.763800       0.604751
      826.446300       0.606554
      827.129900       0.608597
      827.814600       0.610639
      828.500400       0.612391
      829.187400       0.614142
      829.875500       0.615697
      830.564800       0.617252
      831.255200       0.618905
      831.946800       0.620558
      832.639500       0.622422
      833.333300       0.624285
      834.028400       0.627646
      834.724500       0.631007
      835.421900       0.634366
      836.120400       0.637724
      836.820100       0.641314
      837.520900       0.644904
      838.223000       0.648882
      838.926200       0.652860
      839.630600       0.656874
      840.336100       0.660888
      841.042900       0.665327
      841.750800       0.669765
      842.460000       0.674588
      843.170300       0.679410
      843.881900       0.684307
      844.594600       0.689204
      845.308500       0.695970
      846.023700       0.702737
      846.740100       0.709953
      847.457600       0.717169
      848.176400       0.724581
      848.896400       0.731993
      849.617700       0.740346
      850.340100       0.748700
