4, INSAT-3D Imager  Water Vapor (6.5-7.1mu)
Number of data points:
69
Wavenumber (cm-1)   Filter response
     1340.482600       0.000000
     1347.708900       0.001300
     1355.013600       0.003500
     1362.397800       0.007800
     1369.863000       0.025200
     1371.742100       0.029100
     1373.626400       0.043400
     1375.515800       0.050300
     1377.410500       0.061900
     1379.310300       0.064700
     1381.215500       0.081600
     1383.125900       0.108300
     1385.041600       0.234600
     1386.962600       0.314000
     1388.888900       0.418400
     1390.820600       0.424500
     1392.757700       0.493700
     1394.700100       0.568700
     1396.648000       0.672200
     1410.437200       0.672200
     1412.429400       0.680200
     1414.427200       0.722000
     1416.430600       0.808500
     1418.439700       0.856800
     1428.571400       0.846900
     1430.615200       0.844900
     1432.664800       0.827400
     1434.720200       0.866600
     1436.781600       0.865700
     1449.275400       0.828000
     1451.378800       0.856200
     1453.488400       0.840300
     1455.604100       0.957200
     1457.725900       0.997800
     1466.275700       1.000000
     1468.428800       0.976900
     1470.588200       0.957700
     1472.754100       0.988200
     1474.926300       0.952600
     1477.104900       0.890700
     1479.289900       0.895700
     1481.481500       0.854400
     1490.313000       0.861000
     1499.250400       0.771800
     1501.501500       0.686400
     1510.574000       0.647400
     1512.859300       0.508200
     1515.151500       0.410000
     1517.450700       0.415000
     1519.756800       0.270800
     1522.070000       0.254900
     1524.390200       0.216900
     1526.717600       0.117800
     1529.052000       0.079900
     1531.393600       0.040700
     1533.742300       0.027400
     1536.098300       0.024400
     1538.461500       0.013400
     1540.832000       0.012700
     1543.209900       0.010700
     1545.595100       0.007700
     1547.987600       0.008600
     1550.387600       0.007400
     1552.795000       0.007900
     1555.210000       0.008200
     1557.632400       0.006100
     1560.062400       0.004400
     1562.500000       0.001000
     1564.945200       0.000000
