6, INSAT-3D Sounder  LWIR-6
Number of data points:
77
Wavenumber (cm-1)   Filter response
      759.013300       0.000000
      759.878400       0.001000
      760.745500       0.005000
      761.614600       0.010000
      762.485700       0.020000
      763.358800       0.030000
      764.233900       0.040000
      765.110900       0.050000
      765.990000       0.060000
      766.871200       0.070000
      767.754300       0.090000
      768.639500       0.110000
      769.526700       0.132300
      770.416000       0.173500
      771.307400       0.215200
      772.200800       0.237300
      773.096300       0.283800
      773.993800       0.340800
      774.893500       0.385500
      775.795200       0.430100
      776.699000       0.485100
      777.605000       0.525000
      778.513000       0.588000
      779.423200       0.628400
      780.335500       0.669600
      781.250000       0.722500
      782.166600       0.777000
      783.085400       0.810600
      784.006300       0.846100
      784.929400       0.896400
      785.854600       0.906900
      786.782100       0.938700
      787.711700       0.949300
      788.643500       0.974400
      789.577600       0.980200
      790.513800       0.988900
      791.452300       0.994400
      792.393000       1.000000
      793.336000       0.996100
      794.281200       0.983000
      795.228600       0.990200
      796.178300       0.975800
      797.130300       0.970700
      798.084600       0.964100
      799.041200       0.933400
      800.000000       0.933400
      800.961200       0.912900
      801.924600       0.911900
      802.890400       0.847600
      803.858500       0.805000
      804.829000       0.778700
      805.801800       0.726400
      806.776900       0.689500
      807.754400       0.643700
      808.734300       0.595500
      809.716600       0.538700
      810.701300       0.504200
      811.688300       0.442400
      812.677800       0.399100
      813.669700       0.352100
      814.664000       0.314100
      815.660700       0.280700
      816.659900       0.228400
      817.661500       0.203500
      818.665600       0.177700
      819.672100       0.150300
      820.681200       0.120000
      821.692700       0.100000
      822.706700       0.080000
      823.723200       0.060000
      824.742300       0.040000
      825.763800       0.030000
      826.787900       0.020000
      827.814600       0.010000
      828.843800       0.005000
      829.875500       0.001000
      830.909800       0.000000
