11, INSAT-3D Sounder  MWIR-4
Number of data points:
69
Wavenumber (cm-1)   Filter response
     1321.004000       0.000000
     1323.626700       0.001000
     1326.259900       0.003000
     1328.903700       0.005000
     1331.557900       0.007000
     1334.222800       0.009500
     1336.898400       0.011900
     1339.584700       0.020100
     1342.281900       0.021700
     1344.989900       0.023600
     1347.708900       0.028900
     1350.438900       0.030900
     1353.180000       0.041400
     1355.932200       0.048100
     1358.695700       0.060200
     1361.470400       0.082600
     1364.256500       0.100500
     1367.054000       0.137500
     1369.863000       0.220000
     1372.683600       0.422200
     1375.515800       0.492900
     1378.359800       0.573100
     1381.215500       0.662200
     1384.083000       0.734800
     1386.962600       0.813300
     1389.854100       0.890800
     1392.757700       0.930100
     1395.673400       0.965400
     1398.601400       0.982200
     1401.541700       0.959700
     1404.494400       0.961000
     1407.459500       0.982900
     1410.437200       1.000000
     1413.427600       0.985600
     1416.430600       0.968800
     1419.446400       0.951500
     1422.475100       0.939700
     1425.516700       0.918100
     1428.571400       0.943100
     1431.639200       0.955100
     1434.720200       0.925900
     1437.814500       0.887300
     1440.922200       0.905900
     1444.043300       0.872900
     1447.178000       0.880600
     1450.326300       0.839700
     1453.488400       0.743500
     1456.664200       0.655200
     1459.854000       0.587800
     1463.057800       0.459300
     1466.275700       0.381600
     1469.507700       0.375200
     1472.754100       0.274900
     1476.014800       0.213100
     1479.289900       0.142600
     1482.579700       0.091200
     1485.884100       0.092700
     1489.203300       0.063000
     1492.537300       0.049900
     1495.886300       0.023300
     1499.250400       0.021500
     1502.629600       0.020800
     1506.024100       0.018600
     1509.434000       0.012400
     1512.859300       0.008000
     1516.300200       0.006000
     1519.756800       0.003000
     1523.229200       0.001000
     1526.717600       0.000000
