18, INSAT-3D Sounder  SWIR-6
Number of data points:
68
Wavenumber (cm-1)   Filter response
     2551.020400       0.000000
     2553.626100       0.001000
     2556.237200       0.010000
     2558.853600       0.020000
     2561.475400       0.030000
     2564.102600       0.050000
     2566.735100       0.070000
     2569.373100       0.090000
     2572.016500       0.118800
     2574.665300       0.154100
     2577.319600       0.193100
     2579.979400       0.218400
     2582.644600       0.283800
     2585.315400       0.339900
     2587.991700       0.409000
     2590.673600       0.506900
     2593.361000       0.574400
     2596.054000       0.648800
     2598.752600       0.707700
     2601.456800       0.773300
     2604.166700       0.809500
     2606.882200       0.834700
     2609.603300       0.882000
     2612.330200       0.897800
     2615.062800       0.901900
     2617.801000       0.901700
     2620.545100       0.925600
     2623.294900       0.893600
     2626.050400       0.930700
     2628.811800       0.920000
     2631.578900       0.934800
     2634.351900       0.950900
     2637.130800       0.951700
     2639.915500       0.986100
     2642.706100       0.968300
     2645.502600       0.957300
     2648.305100       0.987500
     2651.113500       0.994700
     2653.927800       0.972500
     2656.748100       1.000000
     2659.574500       0.977200
     2662.406800       0.975900
     2665.245200       0.991800
     2668.089600       0.949400
     2670.940200       0.933500
     2673.796800       0.924200
     2676.659500       0.853700
     2679.528400       0.773700
     2682.403400       0.724000
     2685.284600       0.654500
     2688.172000       0.588200
     2691.065700       0.506000
     2693.965500       0.402600
     2696.871600       0.342500
     2699.784000       0.278800
     2702.702700       0.237300
     2705.627700       0.209500
     2708.559000       0.158000
     2711.496700       0.131800
     2714.440800       0.109700
     2717.391300       0.090000
     2720.348200       0.070000
     2723.311500       0.060000
     2726.281400       0.040000
     2729.257600       0.020000
     2732.240400       0.010000
     2735.229800       0.001000
     2738.225600       0.000000
