5, INSAT-3DS-Imager-SRF-Ch5.txt  channel 5 SRF
Number of data points:
259
Wavenumber (cm-1)   Filter response
      872.600300       0.000000
      872.981200       0.000071
      873.362400       0.000142
      873.744000       0.000213
      874.125900       0.000285
      874.508100       0.000356
      874.890600       0.000427
      875.273500       0.001422
      875.656700       0.002418
      876.040300       0.003413
      876.424200       0.004408
      876.808400       0.005404
      877.193000       0.006399
      877.577900       0.008587
      877.963100       0.010775
      878.348700       0.012963
      878.734600       0.015150
      879.120900       0.017338
      879.507500       0.019526
      879.894400       0.025107
      880.281700       0.030687
      880.669300       0.036268
      881.057300       0.041849
      881.445600       0.047429
      881.834200       0.053010
      882.223200       0.074474
      882.612500       0.095938
      883.002200       0.117402
      883.392200       0.138866
      883.782600       0.160330
      884.173300       0.181794
      884.564400       0.213769
      884.955800       0.245743
      885.347500       0.277717
      885.739600       0.309692
      886.132000       0.341666
      886.524800       0.373640
      886.918000       0.426547
      887.311400       0.479454
      887.705300       0.532361
      888.099500       0.585268
      888.494000       0.638175
      888.888900       0.691082
      889.284100       0.725791
      889.679700       0.760500
      890.075700       0.795210
      890.472000       0.829919
      890.868600       0.864628
      891.265600       0.899337
      891.663000       0.898807
      892.060700       0.898276
      892.458700       0.897746
      892.857100       0.897215
      893.255900       0.896685
      893.655000       0.896154
      894.054500       0.899385
      894.454400       0.902616
      894.854600       0.905847
      895.255100       0.909079
      895.656100       0.912310
      896.057300       0.915541
      896.459000       0.922120
      896.861000       0.928699
      897.263300       0.935278
      897.666100       0.941857
      898.069200       0.948437
      898.472600       0.955016
      898.876400       0.957259
      899.280600       0.959501
      899.685100       0.961744
      900.090000       0.963987
      900.495300       0.966230
      900.900900       0.968473
      901.306900       0.973727
      901.713300       0.978982
      902.120000       0.984236
      902.527100       0.989491
      902.934500       0.994745
      903.342400       1.000000
      903.750600       0.978479
      904.159100       0.956957
      904.568100       0.935436
      904.977400       0.913914
      905.387100       0.892393
      905.797100       0.870871
      906.207500       0.870551
      906.618300       0.870230
      907.029500       0.869910
      907.441000       0.869589
      907.852900       0.869269
      908.265200       0.868948
      908.677900       0.878044
      909.090900       0.887140
      909.504300       0.896235
      909.918100       0.905331
      910.332300       0.914427
      910.746800       0.923522
      911.161700       0.922141
      911.577000       0.920760
      911.992700       0.919378
      912.408800       0.917997
      912.825200       0.916615
      913.242000       0.915234
      913.659200       0.912192
      914.076800       0.909150
      914.494700       0.906108
      914.913100       0.903066
      915.331800       0.900025
      915.750900       0.896983
      916.170400       0.911656
      916.590300       0.926329
      917.010500       0.941002
      917.431200       0.955674
      917.852200       0.970347
      918.273600       0.985020
      918.695500       0.965235
      919.117600       0.945449
      919.540200       0.925663
      919.963200       0.905878
      920.386600       0.886092
      920.810300       0.866306
      921.234500       0.879318
      921.659000       0.892331
      922.083900       0.905343
      922.509200       0.918355
      922.934900       0.931367
      923.361000       0.944380
      923.787500       0.938158
      924.214400       0.931937
      924.641700       0.925716
      925.069400       0.919494
      925.497500       0.913273
      925.925900       0.907052
      926.354800       0.908714
      926.784100       0.910376
      927.213700       0.912037
      927.643800       0.913699
      928.074200       0.915361
      928.505100       0.917023
      928.936400       0.913120
      929.368000       0.909216
      929.800100       0.905313
      930.232600       0.901410
      930.665400       0.897506
      931.098700       0.893603
      931.532400       0.892507
      931.966400       0.891412
      932.400900       0.890317
      932.835800       0.889221
      933.271100       0.888126
      933.706800       0.887030
      934.142900       0.882706
      934.579400       0.878381
      935.016400       0.874057
      935.453700       0.869732
      935.891400       0.865407
      936.329600       0.861083
      936.768100       0.869943
      937.207100       0.878802
      937.646500       0.887662
      938.086300       0.896522
      938.526500       0.905381
      938.967100       0.914241
      939.408200       0.910219
      939.849600       0.906198
      940.291500       0.902177
      940.733800       0.898155
      941.176500       0.894134
      941.619600       0.890112
      942.063100       0.886695
      942.507100       0.883278
      942.951400       0.879861
      943.396200       0.876443
      943.841400       0.873026
      944.287100       0.869609
      944.733100       0.873813
      945.179600       0.878017
      945.626500       0.882220
      946.073800       0.886424
      946.521500       0.890628
      946.969700       0.894832
      947.418300       0.886935
      947.867300       0.879037
      948.316700       0.871140
      948.766600       0.863242
      949.216900       0.855345
      949.667600       0.847448
      950.118800       0.854733
      950.570300       0.862018
      951.022300       0.869303
      951.474800       0.876589
      951.927700       0.883874
      952.381000       0.891159
      952.834700       0.876380
      953.288800       0.861602
      953.743400       0.846823
      954.198500       0.832044
      954.653900       0.817266
      955.109800       0.802487
      955.566200       0.810656
      956.022900       0.818825
      956.480200       0.826994
      956.937800       0.835163
      957.395900       0.843332
      957.854400       0.851501
      958.313400       0.842419
      958.772800       0.833336
      959.232600       0.824253
      959.692900       0.815170
      960.153600       0.806088
      960.614800       0.797005
      961.076400       0.798215
      961.538500       0.799425
      962.001000       0.800635
      962.463900       0.801845
      962.927300       0.803055
      963.391100       0.804265
      963.855400       0.805746
      964.320200       0.807227
      964.785300       0.808708
      965.251000       0.810189
      965.717000       0.811670
      966.183600       0.813151
      966.650600       0.803547
      967.118000       0.793944
      967.585900       0.784340
      968.054200       0.774736
      968.523000       0.765133
      968.992200       0.755529
      969.461900       0.737809
      969.932100       0.720088
      970.402700       0.702368
      970.873800       0.684647
      971.345300       0.666927
      971.817300       0.649206
      972.289700       0.592688
      972.762600       0.536169
      973.236000       0.479650
      973.709800       0.423132
      974.184100       0.366613
      974.658900       0.310094
      975.134100       0.279285
      975.609800       0.248476
      976.085900       0.217666
      976.562500       0.186857
      977.039600       0.156048
      977.517100       0.125238
      977.995100       0.108691
      978.473600       0.092144
      978.952500       0.075597
      979.431900       0.059051
      979.911800       0.042504
      980.392200       0.025957
      980.873000       0.021631
      981.354300       0.017305
