3 , GT_F1_SC_RSR_Release1.0_Best_M1_V2.71_ib_oob.txt
Number of data points:
2201
Wavenumber (cm-1)   Filter response
    23000.000000       0.000518
    23001.000000       0.000517
    23002.000000       0.000515
    23003.000000       0.000514
    23004.000000       0.000512
    23005.000000       0.000511
    23006.000000       0.000509
    23007.000000       0.000508
    23008.000000       0.000506
    23009.000000       0.000505
    23010.000000       0.000503
    23011.000000       0.000502
    23012.000000       0.000500
    23013.000000       0.000499
    23014.000000       0.000503
    23015.000000       0.000507
    23016.000000       0.000511
    23017.000000       0.000515
    23018.000000       0.000519
    23019.000000       0.000523
    23020.000000       0.000527
    23021.000000       0.000530
    23022.000000       0.000534
    23023.000000       0.000538
    23024.000000       0.000542
    23025.000000       0.000546
    23026.000000       0.000550
    23027.000000       0.000554
    23028.000000       0.000558
    23029.000000       0.000562
    23030.000000       0.000566
    23031.000000       0.000570
    23032.000000       0.000573
    23033.000000       0.000577
    23034.000000       0.000581
    23035.000000       0.000585
    23036.000000       0.000589
    23037.000000       0.000593
    23038.000000       0.000597
    23039.000000       0.000601
    23040.000000       0.000605
    23041.000000       0.000609
    23042.000000       0.000613
    23043.000000       0.000617
    23044.000000       0.000620
    23045.000000       0.000624
    23046.000000       0.000628
    23047.000000       0.000632
    23048.000000       0.000636
    23049.000000       0.000640
    23050.000000       0.000644
    23051.000000       0.000648
    23052.000000       0.000652
    23053.000000       0.000656
    23054.000000       0.000660
    23055.000000       0.000664
    23056.000000       0.000667
    23057.000000       0.000671
    23058.000000       0.000675
    23059.000000       0.000679
    23060.000000       0.000683
    23061.000000       0.000687
    23062.000000       0.000691
    23063.000000       0.000695
    23064.000000       0.000699
    23065.000000       0.000703
    23066.000000       0.000707
    23067.000000       0.000711
    23068.000000       0.000714
    23069.000000       0.000718
    23070.000000       0.000722
    23071.000000       0.000726
    23072.000000       0.000730
    23073.000000       0.000734
    23074.000000       0.000738
    23075.000000       0.000742
    23076.000000       0.000746
    23077.000000       0.000750
    23078.000000       0.000754
    23079.000000       0.000758
    23080.000000       0.000761
    23081.000000       0.000765
    23082.000000       0.000769
    23083.000000       0.000773
    23084.000000       0.000777
    23085.000000       0.000781
    23086.000000       0.000785
    23087.000000       0.000789
    23088.000000       0.000793
    23089.000000       0.000797
    23090.000000       0.000801
    23091.000000       0.000805
    23092.000000       0.000808
    23093.000000       0.000812
    23094.000000       0.000816
    23095.000000       0.000820
    23096.000000       0.000824
    23097.000000       0.000828
    23098.000000       0.000832
    23099.000000       0.000836
    23100.000000       0.000840
    23101.000000       0.000844
    23102.000000       0.000848
    23103.000000       0.000851
    23104.000000       0.000855
    23105.000000       0.000859
    23106.000000       0.000863
    23107.000000       0.000867
    23108.000000       0.000871
    23109.000000       0.000875
    23110.000000       0.000879
    23111.000000       0.000883
    23112.000000       0.000887
    23113.000000       0.000891
    23114.000000       0.000895
    23115.000000       0.000898
    23116.000000       0.000902
    23117.000000       0.000906
    23118.000000       0.000910
