14 , GT_F1_CFPA_RSR_Release1.0_Best_M10_v3_ib_oob.txt
Number of data points:
4001
Wavenumber (cm-1)   Filter response
     5750.000000       0.000252
     5750.250000       0.000253
     5750.500000       0.000253
     5750.750000       0.000254
     5751.000000       0.000254
     5751.250000       0.000255
     5751.500000       0.000255
     5751.750000       0.000255
     5752.000000       0.000256
     5752.250000       0.000256
     5752.500000       0.000257
     5752.750000       0.000257
     5753.000000       0.000258
     5753.250000       0.000258
     5753.500000       0.000259
     5753.750000       0.000259
     5754.000000       0.000260
     5754.250000       0.000260
     5754.500000       0.000260
     5754.750000       0.000261
     5755.000000       0.000261
     5755.250000       0.000262
     5755.500000       0.000262
     5755.750000       0.000263
     5756.000000       0.000263
     5756.250000       0.000264
     5756.500000       0.000264
     5756.750000       0.000265
     5757.000000       0.000265
     5757.250000       0.000266
     5757.500000       0.000266
     5757.750000       0.000266
     5758.000000       0.000267
     5758.250000       0.000267
     5758.500000       0.000268
     5758.750000       0.000268
     5759.000000       0.000269
     5759.250000       0.000269
     5759.500000       0.000270
     5759.750000       0.000270
     5760.000000       0.000271
     5760.250000       0.000271
     5760.500000       0.000271
     5760.750000       0.000272
     5761.000000       0.000272
     5761.250000       0.000273
     5761.500000       0.000273
     5761.750000       0.000274
     5762.000000       0.000274
     5762.250000       0.000275
     5762.500000       0.000275
     5762.750000       0.000276
     5763.000000       0.000276
     5763.250000       0.000277
     5763.500000       0.000277
     5763.750000       0.000277
     5764.000000       0.000278
     5764.250000       0.000278
     5764.500000       0.000279
     5764.750000       0.000279
     5765.000000       0.000280
     5765.250000       0.000280
     5765.500000       0.000281
     5765.750000       0.000281
     5766.000000       0.000282
     5766.250000       0.000282
     5766.500000       0.000282
     5766.750000       0.000283
     5767.000000       0.000283
     5767.250000       0.000284
     5767.500000       0.000285
     5767.750000       0.000286
     5768.000000       0.000287
     5768.250000       0.000287
     5768.500000       0.000288
     5768.750000       0.000289
     5769.000000       0.000290
     5769.250000       0.000291
     5769.500000       0.000291
     5769.750000       0.000292
     5770.000000       0.000293
     5770.250000       0.000294
     5770.500000       0.000295
     5770.750000       0.000296
     5771.000000       0.000296
     5771.250000       0.000297
     5771.500000       0.000298
     5771.750000       0.000299
     5772.000000       0.000300
     5772.250000       0.000300
     5772.500000       0.000301
     5772.750000       0.000302
     5773.000000       0.000303
     5773.250000       0.000304
     5773.500000       0.000304
     5773.750000       0.000305
     5774.000000       0.000306
     5774.250000       0.000307
     5774.500000       0.000308
     5774.750000       0.000309
     5775.000000       0.000309
     5775.250000       0.000310
     5775.500000       0.000311
     5775.750000       0.000312
     5776.000000       0.000313
     5776.250000       0.000313
     5776.500000       0.000314
     5776.750000       0.000315
     5777.000000       0.000316
     5777.250000       0.000317
     5777.500000       0.000317
     5777.750000       0.000318
     5778.000000       0.000319
     5778.250000       0.000320
     5778.500000       0.000321
     5778.750000       0.000321
     5779.000000       0.000322
     5779.250000       0.000323
     5779.500000       0.000324
     5779.750000       0.000325
     5780.000000       0.000326
     5780.250000       0.000326
     5780.500000       0.000327
     5780.750000       0.000328
     5781.000000       0.000329
     5781.250000       0.000330
     5781.500000       0.000330
     5781.750000       0.000331
     5782.000000       0.000332
     5782.250000       0.000333
     5782.500000       0.000334
     5782.750000       0.000334
     5783.000000       0.000335
     5783.250000       0.000336
     5783.500000       0.000337
     5783.750000       0.000338
     5784.000000       0.000339
     5784.250000       0.000339
     5784.500000       0.000340
     5784.750000       0.000341
     5785.000000       0.000342
     5785.250000       0.000343
     5785.500000       0.000343
     5785.750000       0.000344
     5786.000000       0.000345
     5786.250000       0.000346
     5786.500000       0.000347
     5786.750000       0.000347
     5787.000000       0.000348
     5787.250000       0.000349
     5787.500000       0.000350
     5787.750000       0.000351
     5788.000000       0.000352
     5788.250000       0.000352
     5788.500000       0.000353
     5788.750000       0.000354
     5789.000000       0.000355
     5789.250000       0.000356
     5789.500000       0.000356
     5789.750000       0.000357
     5790.000000       0.000358
     5790.250000       0.000359
     5790.500000       0.000360
     5790.750000       0.000360
     5791.000000       0.000361
     5791.250000       0.000362
     5791.500000       0.000363
     5791.750000       0.000364
     5792.000000       0.000365
     5792.250000       0.000365
     5792.500000       0.000366
     5792.750000       0.000367
     5793.000000       0.000368
     5793.250000       0.000369
     5793.500000       0.000369
     5793.750000       0.000370
     5794.000000       0.000371
     5794.250000       0.000372
     5794.500000       0.000373
     5794.750000       0.000373
     5795.000000       0.000374
     5795.250000       0.000375
     5795.500000       0.000376
     5795.750000       0.000377
     5796.000000       0.000377
     5796.250000       0.000378
     5796.500000       0.000379
     5796.750000       0.000380
     5797.000000       0.000381
     5797.250000       0.000382
     5797.500000       0.000382
     5797.750000       0.000383
     5798.000000       0.000384
     5798.250000       0.000385
     5798.500000       0.000386
     5798.750000       0.000386
     5799.000000       0.000387
     5799.250000       0.000388
     5799.500000       0.000389
     5799.750000       0.000390
     5800.000000       0.000390
     5800.250000       0.000391
     5800.500000       0.000392
     5800.750000       0.000393
     5801.000000       0.000394
     5801.250000       0.000395
     5801.500000       0.000395
     5801.750000       0.000396
     5802.000000       0.000397
     5802.250000       0.000398
     5802.500000       0.000399
     5802.750000       0.000399
     5803.000000       0.000400
     5803.250000       0.000401
     5803.500000       0.000402
     5803.750000       0.000403
     5804.000000       0.000403
     5804.250000       0.000404
     5804.500000       0.000405
     5804.750000       0.000406
     5805.000000       0.000407
     5805.250000       0.000408
     5805.500000       0.000408
     5805.750000       0.000409
     5806.000000       0.000410
     5806.250000       0.000411
     5806.500000       0.000412
     5806.750000       0.000412
     5807.000000       0.000413
     5807.250000       0.000414
     5807.500000       0.000416
     5807.750000       0.000417
     5808.000000       0.000419
     5808.250000       0.000420
     5808.500000       0.000422
     5808.750000       0.000423
     5809.000000       0.000425
     5809.250000       0.000426
     5809.500000       0.000428
     5809.750000       0.000430
     5810.000000       0.000431
     5810.250000       0.000433
     5810.500000       0.000434
     5810.750000       0.000436
     5811.000000       0.000437
     5811.250000       0.000439
     5811.500000       0.000440
     5811.750000       0.000442
     5812.000000       0.000443
     5812.250000       0.000445
     5812.500000       0.000446
     5812.750000       0.000448
     5813.000000       0.000449
     5813.250000       0.000451
     5813.500000       0.000452
     5813.750000       0.000454
     5814.000000       0.000455
     5814.250000       0.000457
     5814.500000       0.000459
     5814.750000       0.000460
     5815.000000       0.000462
     5815.250000       0.000463
     5815.500000       0.000465
     5815.750000       0.000466
     5816.000000       0.000468
     5816.250000       0.000469
     5816.500000       0.000471
     5816.750000       0.000472
     5817.000000       0.000474
     5817.250000       0.000475
     5817.500000       0.000477
     5817.750000       0.000478
     5818.000000       0.000480
     5818.250000       0.000481
     5818.500000       0.000483
     5818.750000       0.000484
     5819.000000       0.000486
     5819.250000       0.000488
     5819.500000       0.000489
     5819.750000       0.000491
     5820.000000       0.000492
     5820.250000       0.000494
     5820.500000       0.000495
     5820.750000       0.000497
     5821.000000       0.000498
     5821.250000       0.000500
     5821.500000       0.000501
     5821.750000       0.000503
     5822.000000       0.000504
     5822.250000       0.000506
     5822.500000       0.000507
     5822.750000       0.000509
     5823.000000       0.000510
     5823.250000       0.000512
     5823.500000       0.000513
     5823.750000       0.000515
     5824.000000       0.000517
     5824.250000       0.000518
     5824.500000       0.000520
     5824.750000       0.000521
     5825.000000       0.000523
     5825.250000       0.000524
     5825.500000       0.000526
     5825.750000       0.000527
     5826.000000       0.000529
     5826.250000       0.000530
     5826.500000       0.000532
     5826.750000       0.000533
     5827.000000       0.000535
     5827.250000       0.000536
     5827.500000       0.000538
     5827.750000       0.000539
     5828.000000       0.000541
     5828.250000       0.000542
     5828.500000       0.000544
     5828.750000       0.000546
     5829.000000       0.000547
     5829.250000       0.000549
     5829.500000       0.000550
     5829.750000       0.000552
     5830.000000       0.000553
     5830.250000       0.000555
     5830.500000       0.000556
     5830.750000       0.000558
     5831.000000       0.000559
     5831.250000       0.000561
     5831.500000       0.000562
     5831.750000       0.000564
     5832.000000       0.000565
     5832.250000       0.000567
     5832.500000       0.000568
     5832.750000       0.000570
     5833.000000       0.000571
     5833.250000       0.000573
     5833.500000       0.000575
     5833.750000       0.000576
     5834.000000       0.000578
