8, Panchromatic  0.500 - 0.680 mu    ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
205
Wavenumber (cm-1)   Filter response
    14450.867052       0.000214
    14471.780029       0.000879
    14492.753623       0.001545
    14513.788099       0.002283
    14534.883721       0.003220
    14556.040757       0.004292
    14577.259475       0.005756
    14598.540146       0.007663
    14619.883041       0.010755
    14641.288433       0.015178
    14662.756598       0.022882
    14684.287812       0.034787
    14705.882353       0.057564
    14727.540501       0.094013
    14749.262537       0.167313
    14771.048744       0.266714
    14792.899408       0.438556
    14814.814815       0.610197
    14836.795252       0.780140
    14858.841010       0.913945
    14880.952381       0.955679
    14903.129657       0.985761
    14925.373134       0.985862
    14947.683109       0.987369
    14970.059880       0.992555
    14992.503748       0.996580
    15015.015015       0.997891
    15037.593985       0.999061
    15060.240964       0.999810
    15082.956259       1.000000
    15105.740181       0.998579
    15128.593041       0.995538
    15151.515151       0.987968
    15174.506828       0.983542
    15197.568389       0.988302
    15220.700152       0.989770
    15243.902439       0.982894
    15267.175573       0.977055
    15290.519878       0.973941
    15313.935681       0.970613
    15337.423313       0.966541
    15360.983103       0.964750
    15384.615385       0.969453
    15408.320493       0.970928
    15432.098765       0.963851
    15455.950541       0.957536
    15479.876161       0.953494
    15503.875969       0.953260
    15527.950311       0.963139
    15552.099533       0.971123
    15576.323987       0.974405
    15600.624025       0.977722
    15625.000000       0.980971
    15649.452269       0.981077
    15673.981191       0.972067
    15698.587127       0.965899
    15723.270440       0.966641
    15748.031496       0.966835
    15772.870662       0.965561
    15797.788310       0.965780
    15822.784810       0.969732
    15847.860539       0.972708
    15873.015873       0.972906
    15898.251192       0.972297
    15923.566879       0.969583
    15948.963317       0.969078
    15974.440895       0.974158
    16000.000000       0.977901
    16025.641026       0.978028
    16051.364366       0.977026
    16077.170418       0.972688
    16103.059581       0.968789
    16129.032258       0.965943
    16155.088853       0.963953
    16181.229773       0.964158
    16207.455429       0.963216
    16233.766234       0.959149
    16260.162602       0.955814
    16286.644951       0.954526
    16313.213703       0.952465
    16339.869281       0.948081
    16366.612111       0.946006
    16393.442623       0.949345
    16420.361248       0.952939
    16447.368421       0.957232
    16474.464580       0.961367
    16501.650165       0.965083
    16528.925620       0.967878
    16556.291391       0.968233
    16583.747927       0.968241
    16611.295681       0.967381
    16638.935108       0.963664
    16666.666667       0.952415
    16694.490818       0.943626
    16722.408027       0.940838
    16750.418761       0.937840
    16778.523490       0.934250
    16806.722689       0.933839
    16835.016835       0.942374
    16863.406408       0.946659
    16891.891892       0.939621
    16920.473773       0.936298
    16949.152542       0.942462
    16977.928693       0.946566
    17006.802721       0.945674
    17035.775128       0.944136
    17064.846416       0.940813
    17094.017094       0.940273
    17123.287671       0.947084
    17152.658662       0.948863
    17182.130584       0.937549
    17211.703959       0.929551
    17241.379310       0.930068
    17271.157168       0.929105
    17301.038062       0.924431
    17331.022530       0.921040
    17361.111111       0.920802
    17391.304348       0.919554
    17421.602787       0.915508
    17452.006981       0.913190
    17482.517482       0.914932
    17513.134851       0.914350
    17543.859649       0.907551
    17574.692443       0.902826
    17605.633803       0.903528
    17636.684303       0.901194
    17667.844523       0.891375
    17699.115044       0.882402
    17730.496454       0.875674
    17761.989343       0.874097
    17793.594306       0.885948
    17825.311943       0.893427
    17857.142857       0.889903
    17889.087656       0.884759
    17921.146953       0.875361
    17953.321364       0.869478
    17985.611511       0.872666
    18018.018018       0.875692
    18050.541516       0.878303
    18083.182640       0.879443
    18115.942029       0.876838
    18148.820327       0.878599
    18181.818182       0.892702
    18214.936248       0.905134
    18248.175182       0.913020
    18281.535649       0.919456
    18315.018315       0.921620
    18348.623853       0.919859
    18382.352941       0.908919
    18416.206261       0.902939
    18450.184502       0.909776
    18484.288355       0.914000
    18518.518519       0.911734
    18552.875696       0.909290
    18587.360595       0.906294
    18621.973929       0.902017
    18656.716418       0.894758
    18691.588785       0.888663
    18726.591760       0.885593
    18761.726079       0.879249
    18796.992481       0.864423
    18832.391714       0.855102
    18867.924528       0.860265
    18903.591682       0.863494
    18939.393939       0.861508
    18975.332068       0.859876
    19011.406844       0.859130
    19047.619048       0.857317
    19083.969466       0.852788
    19120.458891       0.850183
    19157.088123       0.852785
    19193.857965       0.855993
    19230.769231       0.860609
    19267.822736       0.862834
    19305.019305       0.858455
    19342.359768       0.855759
    19379.844961       0.857148
    19417.475728       0.858244
    19455.252918       0.858532
    19493.177388       0.859640
    19531.250000       0.862705
    19569.471624       0.861668
    19607.843137       0.848975
    19646.365422       0.837994
    19685.039370       0.831881
    19723.865878       0.816555
    19762.845850       0.776009
    19801.980198       0.714816
    19841.269841       0.598302
    19880.715706       0.472496
    19920.318725       0.323232
    19960.079840       0.196006
    20000.000000       0.124269
    20040.080160       0.066556
    20080.321285       0.042723
    20120.724346       0.023270
    20161.290323       0.015515
    20202.020202       0.009003
    20242.914980       0.006195
    20283.975659       0.003841
    20325.203252       0.002619
    20366.598778       0.001587
    20408.163265       0.001013
    20449.897751       0.000514
    20491.803279       0.000216
