9, Cirrus  1.360 - 1.390 mu      ;SRF extracted from Ball_BA_RSR.v1.1.xlsx
Number of data points:
70
Wavenumber (cm-1)   Filter response
     7097.232079       0.000000
     7102.272727       0.000000
     7107.320540       0.000000
     7112.375533       0.000000
     7117.437722       0.000000
     7122.507123       0.000000
     7127.583749       0.000000
     7132.667618       0.000029
     7137.758744       0.000114
     7142.857143       0.000220
     7147.962831       0.000481
     7153.075823       0.000887
     7158.196135       0.001351
     7163.323782       0.001809
     7168.458781       0.002780
     7173.601148       0.004358
     7178.750897       0.006839
     7183.908046       0.009774
     7189.072610       0.016218
     7194.244604       0.026084
     7199.424046       0.041513
     7204.610951       0.066174
     7209.805335       0.113055
     7215.007215       0.190978
     7220.216607       0.297920
     7225.433526       0.452434
     7230.657990       0.606578
     7235.890014       0.703198
     7241.129616       0.872689
     7246.376812       0.871343
     7251.631617       0.964054
     7256.894049       0.963584
     7262.164125       0.990577
     7267.441860       0.983239
     7272.727273       1.000000
     7278.020378       0.986968
     7283.321194       0.999626
     7288.629738       0.983748
     7293.946025       0.938676
     7299.270073       0.931247
     7304.601899       0.962664
     7309.941520       0.930308
     7315.288954       0.871575
     7320.644217       0.862394
     7326.007326       0.772118
     7331.378299       0.596852
     7336.757153       0.457030
     7342.143906       0.316333
     7347.538575       0.182833
     7352.941176       0.115351
     7358.351729       0.069220
     7363.770250       0.042756
     7369.196758       0.026321
     7374.631268       0.016985
     7380.073801       0.011124
     7385.524372       0.007194
     7390.983001       0.005398
     7396.449704       0.004011
     7401.924500       0.003030
     7407.407407       0.002318
     7412.898443       0.001828
     7418.397626       0.001429
     7423.904974       0.001119
     7429.420505       0.000856
     7434.944238       0.000647
     7440.476190       0.000469
     7446.016381       0.000321
     7451.564829       0.000194
     7457.121551       0.000086
     7462.686567       0.000000
