2, Meteor-M average filter response channel 2 (original channel 05)
Number of data points:
813
Wavenumber (cm-1)   Filter response
      805.000000       0.000000
      805.250000       0.000000
      805.500000       0.000000
      805.750000       0.000000
      806.000000       0.000252
      806.250000       0.000563
      806.500000       0.000860
      806.750000       0.001141
      807.000000       0.001402
      807.250000       0.001642
      807.500000       0.001862
      807.750000       0.002063
      808.000000       0.002246
      808.250000       0.002411
      808.500000       0.002556
      808.750000       0.002672
      809.000000       0.002766
      809.250000       0.002848
      809.500000       0.002929
      809.750000       0.003019
      810.000000       0.003105
      810.250000       0.003185
      810.500000       0.003269
      810.750000       0.003367
      811.000000       0.003490
      811.250000       0.003651
      811.500000       0.003848
      811.750000       0.004061
      812.000000       0.004268
      812.250000       0.004450
      812.500000       0.004587
      812.750000       0.004683
      813.000000       0.004757
      813.250000       0.004831
      813.500000       0.004925
      813.750000       0.005057
      814.000000       0.005225
      814.250000       0.005414
      814.500000       0.005616
      814.750000       0.005820
      815.000000       0.006015
      815.250000       0.006196
      815.500000       0.006370
      815.750000       0.006546
      816.000000       0.006734
      816.250000       0.006944
      816.500000       0.007185
      816.750000       0.007454
      817.000000       0.007742
      817.250000       0.008038
      817.500000       0.008332
      817.750000       0.008617
      818.000000       0.008897
      818.250000       0.009178
      818.500000       0.009459
      818.750000       0.009739
      819.000000       0.010019
      819.250000       0.010299
      819.500000       0.010579
      819.750000       0.010859
      820.000000       0.011138
      820.250000       0.011418
      820.500000       0.011700
      820.750000       0.011992
      821.000000       0.012285
      821.250000       0.012768
      821.500000       0.013240
      821.750000       0.013673
      822.000000       0.014060
      822.250000       0.014406
      822.500000       0.014715
      822.750000       0.014982
      823.000000       0.015232
      823.250000       0.015492
      823.500000       0.015777
      823.750000       0.016095
      824.000000       0.016441
      824.250000       0.016790
      824.500000       0.017124
      824.750000       0.017412
      825.000000       0.017668
      825.250000       0.017913
      825.500000       0.018183
      825.750000       0.018509
      826.000000       0.018909
      826.250000       0.019367
      826.500000       0.019854
      826.750000       0.020326
      827.000000       0.020761
      827.250000       0.021151
      827.500000       0.021514
      827.750000       0.021895
      828.000000       0.022331
      828.250000       0.022840
      828.500000       0.023438
      828.750000       0.024121
      829.000000       0.024860
