02 , meteo_01_01.ftl
Number of data points:
21
Wavenumber (cm-1)   Filter response
     1324.500000       0.000000
     1349.500000       0.032000
     1375.500000       0.362000
     1400.600000       0.939000
     1424.500000       1.000000
     1449.300000       0.925000
     1474.900000       0.859000
     1499.300000       0.787000
     1524.400000       0.740000
     1550.400000       0.754000
     1574.800000       0.787000
     1600.000000       0.877000
     1626.000000       0.948000
     1650.200000       0.918000
     1675.000000       0.936000
     1700.700000       0.930000
     1724.100000       0.625000
     1751.300000       0.067000
     1776.200000       0.016000
     1798.600000       0.016000
     1824.800000       0.000000
