03 , meteo_02_02.flt
Number of data points:
21
Wavenumber (cm-1)   Filter response
      750.200000       0.000000
      750.200000       0.000000
      762.800000       0.004000
      775.200000       0.015000
      787.400000       0.041000
      800.000000       0.165000
      812.300000       0.360000
      825.100000       0.475000
      837.500000       0.628000
      850.300000       0.797000
      862.800000       0.869000
      874.900000       1.000000
      887.300000       0.951000
      900.100000       0.906000
      912.400000       0.837000
      925.100000       0.722000
      937.200000       0.454000
      949.700000       0.176000
      962.500000       0.058000
      974.700000       0.009000
      987.200000       0.000000
