7  ,metop_1_hirs_07.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
570
Wavenumber (cm-1)   Filter response
      715.960000       0.000000
      716.060000       0.000039
      716.160000       0.000165
      716.260000       0.000310
      716.360000       0.000469
      716.460000       0.000635
      716.560000       0.000802
      716.660000       0.000967
      716.760000       0.001123
      716.860000       0.001268
      716.960000       0.001395
      717.060000       0.001501
      717.160000       0.001580
      717.260000       0.001629
      717.360000       0.001641
      717.460000       0.001614
      717.560000       0.001544
      717.660000       0.001440
      717.760000       0.001311
      717.860000       0.001167
      717.960000       0.001019
      718.060000       0.000878
      718.160000       0.000753
      718.260000       0.000655
      718.360000       0.000594
      718.460000       0.000581
      718.560000       0.000622
      718.660000       0.000713
      718.760000       0.000844
      718.860000       0.001007
      718.960000       0.001193
      719.060000       0.001394
      719.160000       0.001599
      719.260000       0.001801
      719.360000       0.001991
      719.460000       0.002160
      719.560000       0.002299
      719.660000       0.002407
      719.760000       0.002484
      719.860000       0.002529
      719.960000       0.002542
      720.060000       0.002522
      720.160000       0.002468
      720.260000       0.002380
      720.360000       0.002257
      720.460000       0.002099
      720.560000       0.001907
      720.660000       0.001691
      720.760000       0.001463
      720.860000       0.001235
      720.960000       0.001019
      721.060000       0.000826
      721.160000       0.000668
      721.260000       0.000558
      721.360000       0.000506
      721.460000       0.000526
      721.560000       0.000624
      721.660000       0.000791
      721.760000       0.001011
      721.860000       0.001271
      721.960000       0.001557
      722.060000       0.001853
      722.160000       0.002146
      722.260000       0.002421
      722.360000       0.002663
      722.460000       0.002859
      722.560000       0.002998
      722.660000       0.003087
      722.760000       0.003137
      722.860000       0.003159
      722.960000       0.003164
      723.060000       0.003163
      723.160000       0.003168
      723.260000       0.003188
      723.360000       0.003236
      723.460000       0.003322
      723.560000       0.003455
      723.660000       0.003631
      723.760000       0.003843
      723.860000       0.004085
      723.960000       0.004349
      724.060000       0.004630
      724.160000       0.004920
      724.260000       0.005214
      724.360000       0.005503
      724.460000       0.005782
      724.560000       0.006046
      724.660000       0.006297
      724.760000       0.006537
      724.860000       0.006770
      724.960000       0.007000
      725.060000       0.007229
      725.160000       0.007462
      725.260000       0.007701
      725.360000       0.007950
      725.460000       0.008212
      725.560000       0.008490
      725.660000       0.008783
      725.760000       0.009087
      725.860000       0.009402
      725.960000       0.009725
      726.060000       0.010054
      726.160000       0.010386
      726.260000       0.010720
      726.360000       0.011053
      726.460000       0.011383
      726.560000       0.011708
      726.660000       0.012027
      726.760000       0.012338
      726.860000       0.012642
      726.960000       0.012937
      727.060000       0.013222
      727.160000       0.013496
      727.260000       0.013758
      727.360000       0.014008
      727.460000       0.014244
      727.560000       0.014464
      727.660000       0.014683
      727.760000       0.014909
      727.860000       0.015154
      727.960000       0.015431
      728.060000       0.015750
      728.160000       0.016122
      728.260000       0.016560
      728.360000       0.017075
      728.460000       0.017678
      728.560000       0.018377
      728.660000       0.019168
      728.760000       0.020041
      728.860000       0.020990
      728.960000       0.022004
      729.060000       0.023076
      729.160000       0.024196
      729.260000       0.025356
      729.360000       0.026549
      729.460000       0.027765
      729.560000       0.028990
      729.660000       0.030227
      729.760000       0.031475
      729.860000       0.032733
      729.960000       0.033999
      730.060000       0.035272
      730.160000       0.036549
      730.260000       0.037830
      730.360000       0.039113
      730.460000       0.040397
      730.560000       0.041682
      730.660000       0.042985
      730.760000       0.044324
      730.860000       0.045713
      730.960000       0.047172
      731.060000       0.048718
      731.160000       0.050370
      731.260000       0.052144
      731.360000       0.054059
      731.460000       0.056131
      731.560000       0.058399
      731.660000       0.060830
      731.760000       0.063413
      731.860000       0.066135
      731.960000       0.068982
      732.060000       0.071943
      732.160000       0.075003
      732.260000       0.078150
      732.360000       0.081371
      732.460000       0.084653
      732.560000       0.087988
      732.660000       0.091388
      732.760000       0.094866
      732.860000       0.098442
      732.960000       0.102129
      733.060000       0.105943
      733.160000       0.109902
      733.260000       0.114021
      733.360000       0.118317
      733.460000       0.122801
      733.560000       0.127463
      733.660000       0.132327
      733.760000       0.137408
      733.860000       0.142716
      733.960000       0.148251
      734.060000       0.154027
      734.160000       0.160042
      734.260000       0.166309
      734.360000       0.172816
      734.460000       0.179602
      734.560000       0.186640
      734.660000       0.193930
      734.760000       0.201473
      734.860000       0.209256
      734.960000       0.217269
      735.060000       0.225510
      735.160000       0.233957
      735.260000       0.242608
      735.360000       0.251453
      735.460000       0.260492
      735.560000       0.269681
      735.660000       0.279038
      735.760000       0.288598
      735.860000       0.298351
      735.960000       0.308306
      736.060000       0.318465
      736.160000       0.328839
      736.260000       0.339429
      736.360000       0.350262
      736.460000       0.361325
      736.560000       0.372616
      736.660000       0.384134
      736.760000       0.395833
      736.860000       0.407699
      736.960000       0.419698
      737.060000       0.431806
      737.160000       0.443998
      737.260000       0.456251
      737.360000       0.468541
      737.460000       0.480832
      737.560000       0.493252
      737.660000       0.505645
      737.760000       0.517999
      737.860000       0.530290
      737.960000       0.542505
      738.060000       0.554645
      738.160000       0.566662
      738.260000       0.578581
      738.360000       0.590360
      738.460000       0.602005
      738.560000       0.613478
      738.660000       0.624779
      738.760000       0.635909
      738.860000       0.646866
      738.960000       0.657627
      739.060000       0.668204
      739.160000       0.678583
      739.260000       0.688755
      739.360000       0.698729
      739.460000       0.708482
      739.560000       0.718036
      739.660000       0.727357
      739.760000       0.736469
      739.860000       0.745358
      739.960000       0.754012
      740.060000       0.762445
      740.160000       0.770642
      740.260000       0.778627
      740.360000       0.786389
      740.460000       0.793904
      740.560000       0.801181
      740.660000       0.808235
      740.760000       0.815040
      740.860000       0.821608
      740.960000       0.827939
      741.060000       0.834022
      741.160000       0.839867
      741.260000       0.845461
      741.360000       0.850818
      741.460000       0.855924
      741.560000       0.860817
      741.660000       0.865484
      741.760000       0.869948
      741.860000       0.874222
      741.960000       0.878317
      742.060000       0.882270
      742.160000       0.886099
      742.260000       0.889813
      742.360000       0.893445
      742.460000       0.896994
      742.560000       0.900495
      742.660000       0.903913
      742.760000       0.907273
      742.860000       0.910527
      742.960000       0.913685
      743.060000       0.916724
      743.160000       0.919631
      743.260000       0.922395
      743.360000       0.925001
      743.460000       0.927437
      743.560000       0.929765
      743.660000       0.931935
      743.760000       0.933973
      743.860000       0.935902
      743.960000       0.937759
      744.060000       0.939559
      744.160000       0.941341
      744.260000       0.943126
      744.360000       0.944937
      744.460000       0.946811
      744.560000       0.948745
      744.660000       0.950731
      744.760000       0.952755
      744.860000       0.954781
      744.960000       0.956784
      745.060000       0.958739
      745.160000       0.960635
      745.260000       0.962421
      745.360000       0.964085
      745.460000       0.965602
      745.560000       0.966736
      745.660000       0.967709
      745.760000       0.968547
      745.860000       0.969261
      745.960000       0.969888
      746.060000       0.970434
      746.160000       0.970931
      746.260000       0.971390
      746.360000       0.971824
      746.460000       0.972247
      746.560000       0.972706
      746.660000       0.973179
      746.760000       0.973676
      746.860000       0.974210
      746.960000       0.974770
      747.060000       0.975367
      747.160000       0.975990
      747.260000       0.976662
      747.360000       0.977384
      747.460000       0.978143
      747.560000       0.979321
      747.660000       0.980539
      747.760000       0.981782
      747.860000       0.983052
      747.960000       0.984336
      748.060000       0.985622
      748.160000       0.986909
      748.260000       0.988172
      748.360000       0.989411
      748.460000       0.990614
      748.560000       0.991782
      748.660000       0.992901
      748.760000       0.993958
      748.860000       0.994965
      748.960000       0.995923
      749.060000       0.996805
      749.160000       0.997625
      749.260000       0.998382
      749.360000       0.999052
      749.460000       0.999647
      749.560000       0.999857
      749.660000       0.999979
      749.760000       1.000000
      749.860000       0.999932
      749.960000       0.999749
      750.060000       0.999452
      750.160000       0.999041
      750.260000       0.998502
      750.360000       0.997824
      750.460000       0.997019
      750.560000       0.996059
      750.660000       0.994958
      750.760000       0.993667
      750.860000       0.992210
      750.960000       0.990535
      751.060000       0.988657
      751.160000       0.986548
      751.260000       0.984209
      751.360000       0.981600
      751.460000       0.978736
      751.560000       0.975698
      751.660000       0.972363
      751.760000       0.968731
      751.860000       0.964762
      751.960000       0.960456
      752.060000       0.955802
      752.160000       0.950773
      752.260000       0.945380
      752.360000       0.939585
      752.460000       0.933388
      752.560000       0.926769
      752.660000       0.919721
      752.760000       0.912243
      752.860000       0.904322
      752.960000       0.895957
      753.060000       0.887135
      753.160000       0.877854
      753.260000       0.868102
      753.360000       0.857878
      753.460000       0.847156
      753.560000       0.835813
      753.660000       0.824027
      753.760000       0.811803
      753.860000       0.799211
      753.960000       0.786265
      754.060000       0.773016
      754.160000       0.759489
      754.260000       0.745722
      754.360000       0.731766
      754.460000       0.717635
      754.560000       0.703359
      754.660000       0.688959
      754.760000       0.674448
      754.860000       0.659839
      754.960000       0.645119
      755.060000       0.630300
      755.160000       0.615395
      755.260000       0.600405
      755.360000       0.585355
      755.460000       0.570232
      755.560000       0.555342
      755.660000       0.540412
      755.760000       0.525482
      755.860000       0.510566
      755.960000       0.495703
      756.060000       0.480933
      756.160000       0.466295
      756.260000       0.451802
      756.360000       0.437506
      756.460000       0.423447
      756.560000       0.409628
      756.660000       0.396086
      756.760000       0.382796
      756.860000       0.369798
      756.960000       0.357053
      757.060000       0.344601
      757.160000       0.332430
      757.260000       0.320540
      757.360000       0.308959
      757.460000       0.297661
      757.560000       0.286717
      757.660000       0.276077
      757.760000       0.265745
      757.860000       0.255734
      757.960000       0.246033
      758.060000       0.236668
      758.160000       0.227628
      758.260000       0.218941
      758.360000       0.210593
      758.460000       0.202612
      758.560000       0.194973
      758.660000       0.187677
      758.760000       0.180685
      758.860000       0.173986
      758.960000       0.167539
      759.060000       0.161332
      759.160000       0.155327
      759.260000       0.149497
      759.360000       0.143828
      759.460000       0.138283
      759.560000       0.132810
      759.660000       0.127447
      759.760000       0.122210
      759.860000       0.117109
      759.960000       0.112151
      760.060000       0.107347
      760.160000       0.102707
      760.260000       0.098240
      760.360000       0.093957
      760.460000       0.089867
      760.560000       0.085977
      760.660000       0.082294
      760.760000       0.078818
      760.860000       0.075556
      760.960000       0.072511
      761.060000       0.069684
      761.160000       0.067079
      761.260000       0.064700
      761.360000       0.062551
      761.460000       0.060632
      761.560000       0.058934
      761.660000       0.057428
      761.760000       0.056071
      761.860000       0.054819
      761.960000       0.053630
      762.060000       0.052457
      762.160000       0.051257
      762.260000       0.049985
      762.360000       0.048601
      762.460000       0.047055
      762.560000       0.045322
      762.660000       0.043431
      762.760000       0.041427
      762.860000       0.039359
      762.960000       0.037268
      763.060000       0.035204
      763.160000       0.033213
      763.260000       0.031339
      763.360000       0.029629
      763.460000       0.028130
      763.560000       0.026876
      763.660000       0.025853
      763.760000       0.025030
      763.860000       0.024383
      763.960000       0.023880
      764.060000       0.023498
      764.160000       0.023206
      764.260000       0.022975
      764.360000       0.022780
      764.460000       0.022591
      764.560000       0.022385
      764.660000       0.022149
      764.760000       0.021878
      764.860000       0.021562
      764.960000       0.021195
      765.060000       0.020771
      765.160000       0.020279
      765.260000       0.019715
      765.360000       0.019070
      765.460000       0.018336
      765.560000       0.017518
      765.660000       0.016627
      765.760000       0.015686
      765.860000       0.014717
      765.960000       0.013745
      766.060000       0.012792
      766.160000       0.011882
      766.260000       0.011037
      766.360000       0.010283
      766.460000       0.009642
      766.560000       0.009132
      766.660000       0.008748
      766.760000       0.008478
      766.860000       0.008311
      766.960000       0.008237
      767.060000       0.008244
      767.160000       0.008320
      767.260000       0.008453
      767.360000       0.008634
      767.460000       0.008849
      767.560000       0.009084
      767.660000       0.009321
      767.760000       0.009542
      767.860000       0.009724
      767.960000       0.009848
      768.060000       0.009894
      768.160000       0.009839
      768.260000       0.009665
      768.360000       0.009349
      768.460000       0.008872
      768.560000       0.008224
      768.660000       0.007442
      768.760000       0.006576
      768.860000       0.005675
      768.960000       0.004787
      769.060000       0.003961
      769.160000       0.003248
      769.260000       0.002697
      769.360000       0.002356
      769.460000       0.002277
      769.560000       0.002489
      769.660000       0.002951
      769.760000       0.003601
      769.860000       0.004379
      769.960000       0.005222
      770.060000       0.006070
      770.160000       0.006861
      770.260000       0.007532
      770.360000       0.008023
      770.460000       0.008271
      770.560000       0.008233
      770.660000       0.007935
      770.760000       0.007424
      770.860000       0.006747
      770.960000       0.005950
      771.060000       0.005079
      771.160000       0.004180
      771.260000       0.003301
      771.360000       0.002488
      771.460000       0.001788
      771.560000       0.001237
      771.660000       0.000827
      771.760000       0.000537
      771.860000       0.000348
      771.960000       0.000239
      772.060000       0.000192
      772.160000       0.000187
      772.260000       0.000202
      772.360000       0.000219
      772.460000       0.000217
      772.560000       0.000182
      772.660000       0.000124
      772.760000       0.000058
      772.860000       0.000000
