  19  ,metop_1_hirs_19.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
2751
Wavenumber (cm-1)   Filter response
     2523.000000       0.000000
     2523.100000       0.000317
     2523.200000       0.000606
     2523.300000       0.000866
     2523.400000       0.001097
     2523.500000       0.001299
     2523.600000       0.001473
     2523.700000       0.001618
     2523.800000       0.001734
     2523.900000       0.001821
     2524.000000       0.001880
     2524.100000       0.001909
     2524.200000       0.001909
     2524.300000       0.001880
     2524.400000       0.001822
     2524.500000       0.001851
     2524.600000       0.001880
     2524.700000       0.001908
     2524.800000       0.001937
     2524.900000       0.001965
     2525.000000       0.001994
     2525.100000       0.002022
     2525.200000       0.002049
     2525.300000       0.002077
     2525.400000       0.002106
     2525.500000       0.002134
     2525.600000       0.002163
     2525.700000       0.002191
     2525.800000       0.002219
     2525.900000       0.002248
     2526.000000       0.002276
     2526.100000       0.002306
     2526.200000       0.002336
     2526.300000       0.002366
     2526.400000       0.002396
     2526.500000       0.002426
     2526.600000       0.002456
     2526.700000       0.002486
     2526.800000       0.002516
     2526.900000       0.002546
     2527.000000       0.002576
     2527.100000       0.002606
     2527.200000       0.002637
     2527.300000       0.002667
     2527.400000       0.002697
     2527.500000       0.002727
     2527.600000       0.002757
     2527.700000       0.002787
     2527.800000       0.002818
     2527.900000       0.002848
     2528.000000       0.002878
     2528.100000       0.002909
     2528.200000       0.002939
     2528.300000       0.002970
     2528.400000       0.003000
     2528.500000       0.003030
     2528.600000       0.003061
     2528.700000       0.003092
     2528.800000       0.003122
     2528.900000       0.003153
     2529.000000       0.003183
     2529.100000       0.003214
     2529.200000       0.003244
     2529.300000       0.003275
     2529.400000       0.003305
     2529.500000       0.003335
     2529.600000       0.003366
     2529.700000       0.003396
     2529.800000       0.003427
     2529.900000       0.003457
     2530.000000       0.003488
     2530.100000       0.003517
     2530.200000       0.003546
     2530.300000       0.003575
     2530.400000       0.003604
     2530.500000       0.003633
     2530.600000       0.003662
     2530.700000       0.003690
     2530.800000       0.003719
     2530.900000       0.003748
     2531.000000       0.003777
     2531.100000       0.003806
     2531.200000       0.003835
     2531.300000       0.003865
     2531.400000       0.003894
     2531.500000       0.003923
     2531.600000       0.003952
     2531.700000       0.003981
     2531.800000       0.004010
     2531.900000       0.004043
     2532.000000       0.004072
     2532.100000       0.004102
     2532.200000       0.004131
     2532.300000       0.004161
     2532.400000       0.004191
     2532.500000       0.004220
     2532.600000       0.004250
     2532.700000       0.004280
     2532.800000       0.004309
     2532.900000       0.004339
     2533.000000       0.004369
     2533.100000       0.004399
     2533.200000       0.004428
     2533.300000       0.004458
     2533.400000       0.004488
     2533.500000       0.004518
     2533.600000       0.004548
     2533.700000       0.004577
     2533.800000       0.004607
     2533.900000       0.004637
     2534.000000       0.004667
     2534.100000       0.004697
     2534.200000       0.004726
     2534.300000       0.004756
     2534.400000       0.004786
     2534.500000       0.004816
     2534.600000       0.004845
     2534.700000       0.004875
     2534.800000       0.004905
     2534.900000       0.004935
     2535.000000       0.004965
     2535.100000       0.004994
     2535.200000       0.005023
     2535.300000       0.005052
     2535.400000       0.005081
     2535.500000       0.005110
     2535.600000       0.005139
     2535.700000       0.005168
     2535.800000       0.005197
     2535.900000       0.005226
     2536.000000       0.005255
     2536.100000       0.005282
     2536.200000       0.005309
     2536.300000       0.005336
     2536.400000       0.005362
     2536.500000       0.005389
     2536.600000       0.005416
     2536.700000       0.005442
     2536.800000       0.005469
     2536.900000       0.005495
     2537.000000       0.005522
     2537.100000       0.005549
     2537.200000       0.005576
     2537.300000       0.005603
     2537.400000       0.005629
     2537.500000       0.005656
     2537.600000       0.005683
     2537.700000       0.005709
     2537.800000       0.005736
     2537.900000       0.005763
     2538.000000       0.005789
     2538.100000       0.005819
     2538.200000       0.005849
     2538.300000       0.005879
     2538.400000       0.005909
     2538.500000       0.005939
     2538.600000       0.005963
     2538.700000       0.005993
     2538.800000       0.006023
     2538.900000       0.006053
     2539.000000       0.006083
     2539.100000       0.006114
     2539.200000       0.006144
     2539.300000       0.006175
     2539.400000       0.006206
     2539.500000       0.006236
     2539.600000       0.006272
     2539.700000       0.006304
     2539.800000       0.006335
     2539.900000       0.006366
     2540.000000       0.006397
     2540.100000       0.006429
     2540.200000       0.006460
     2540.300000       0.006492
     2540.400000       0.006524
     2540.500000       0.006556
     2540.600000       0.006588
     2540.700000       0.006620
     2540.800000       0.006652
     2540.900000       0.006684
     2541.000000       0.006716
     2541.100000       0.006748
     2541.200000       0.006779
     2541.300000       0.006810
     2541.400000       0.006841
     2541.500000       0.006872
     2541.600000       0.006904
     2541.700000       0.006935
     2541.800000       0.006966
     2541.900000       0.006997
     2542.000000       0.007029
     2542.100000       0.007055
     2542.200000       0.007082
     2542.300000       0.007102
     2542.400000       0.007128
     2542.500000       0.007155
     2542.600000       0.007182
     2542.700000       0.007208
     2542.800000       0.007235
     2542.900000       0.007261
     2543.000000       0.007288
     2543.100000       0.007315
     2543.200000       0.007341
     2543.300000       0.007372
     2543.400000       0.007399
     2543.500000       0.007424
     2543.600000       0.007450
     2543.700000       0.007475
     2543.800000       0.007500
     2543.900000       0.007525
     2544.000000       0.007551
     2544.100000       0.007578
     2544.200000       0.007605
     2544.300000       0.007632
     2544.400000       0.007659
     2544.500000       0.007686
     2544.600000       0.007713
     2544.700000       0.007740
     2544.800000       0.007766
     2544.900000       0.007793
     2545.000000       0.007820
     2545.100000       0.007848
     2545.200000       0.007875
     2545.300000       0.007903
     2545.400000       0.007930
     2545.500000       0.007958
     2545.600000       0.007985
     2545.700000       0.008013
     2545.800000       0.008040
     2545.900000       0.008068
     2546.000000       0.008095
     2546.100000       0.008128
     2546.200000       0.008161
     2546.300000       0.008194
     2546.400000       0.008227
     2546.500000       0.008261
     2546.600000       0.008294
     2546.700000       0.008327
     2546.800000       0.008360
     2546.900000       0.008393
     2547.000000       0.008426
     2547.100000       0.008460
     2547.200000       0.008493
     2547.300000       0.008526
     2547.400000       0.008559
     2547.500000       0.008592
     2547.600000       0.008625
     2547.700000       0.008659
     2547.800000       0.008701
     2547.900000       0.008734
     2548.000000       0.008767
     2548.100000       0.008795
     2548.200000       0.008823
     2548.300000       0.008851
     2548.400000       0.008878
     2548.500000       0.008906
     2548.600000       0.008928
     2548.700000       0.008952
     2548.800000       0.008980
     2548.900000       0.009008
     2549.000000       0.009035
     2549.100000       0.009063
     2549.200000       0.009090
     2549.300000       0.009118
     2549.400000       0.009145
     2549.500000       0.009173
     2549.600000       0.009200
     2549.700000       0.009228
     2549.800000       0.009255
     2549.900000       0.009283
     2550.000000       0.009310
     2550.100000       0.009336
     2550.200000       0.009362
     2550.300000       0.009387
     2550.400000       0.009413
     2550.500000       0.009439
     2550.600000       0.009464
     2550.700000       0.009490
     2550.800000       0.009521
     2550.900000       0.009551
     2551.000000       0.009577
     2551.100000       0.009603
     2551.200000       0.009629
     2551.300000       0.009655
     2551.400000       0.009681
     2551.500000       0.009707
     2551.600000       0.009733
     2551.700000       0.009759
     2551.800000       0.009785
     2551.900000       0.009811
     2552.000000       0.009836
