   3  ,metop_1_hirs_03.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
442
Wavenumber (cm-1)   Filter response
      667.500000       0.000000
      667.600000       0.000524
      667.700000       0.000946
      667.800000       0.001266
      667.900000       0.001482
      668.000000       0.001595
      668.100000       0.001777
      668.200000       0.001959
      668.300000       0.002143
      668.400000       0.002327
      668.500000       0.002513
      668.600000       0.002699
      668.700000       0.002886
      668.800000       0.003074
      668.900000       0.003262
      669.000000       0.003452
      669.100000       0.003642
      669.200000       0.003833
      669.300000       0.004025
      669.400000       0.004218
      669.500000       0.004412
      669.600000       0.004606
      669.700000       0.004802
      669.800000       0.004998
      669.900000       0.005195
      670.000000       0.005393
      670.100000       0.005586
      670.200000       0.005780
      670.300000       0.005974
      670.400000       0.006169
      670.500000       0.006364
      670.600000       0.006560
      670.700000       0.006756
      670.800000       0.006953
      670.900000       0.007150
      671.000000       0.007347
      671.100000       0.007545
      671.200000       0.007744
      671.300000       0.007943
      671.400000       0.008142
      671.500000       0.008341
      671.600000       0.008541
      671.700000       0.008742
      671.800000       0.008943
      671.900000       0.009144
      672.000000       0.009346
      672.100000       0.009552
      672.200000       0.009758
      672.300000       0.009965
      672.400000       0.010172
      672.500000       0.010380
      672.600000       0.010589
      672.700000       0.010798
      672.800000       0.011008
      672.900000       0.011218
      673.000000       0.011429
      673.100000       0.011640
      673.200000       0.011852
      673.300000       0.012064
      673.400000       0.012277
      673.500000       0.012490
      673.600000       0.012703
      673.700000       0.012918
      673.800000       0.013363
      673.900000       0.014302
      674.000000       0.015176
      674.100000       0.015974
      674.200000       0.016705
      674.300000       0.017369
      674.400000       0.017967
      674.500000       0.018497
      674.600000       0.018959
      674.700000       0.019888
      674.800000       0.020820
      674.900000       0.021810
      675.000000       0.022822
      675.100000       0.023813
      675.200000       0.024775
      675.300000       0.025748
      675.400000       0.026775
      675.500000       0.027898
      675.600000       0.029162
      675.700000       0.030594
      675.800000       0.032186
      675.900000       0.033933
      676.000000       0.035826
      676.100000       0.037873
      676.200000       0.040054
      676.300000       0.042372
      676.400000       0.044829
      676.500000       0.047427
      676.600000       0.050168
      676.700000       0.053039
      676.800000       0.056007
      676.900000       0.059037
      677.000000       0.062090
      677.100000       0.065129
      677.200000       0.068137
      677.300000       0.071127
      677.400000       0.074114
      677.500000       0.077117
      677.600000       0.080151
      677.700000       0.083244
      677.800000       0.086444
      677.900000       0.089801
      678.000000       0.093364
      678.100000       0.097240
      678.200000       0.101407
      678.300000       0.105853
      678.400000       0.110570
      678.500000       0.115543
      678.600000       0.120762
      678.700000       0.126200
      678.800000       0.131812
      678.900000       0.137547
      679.000000       0.143359
      679.100000       0.149189
      679.200000       0.155021
      679.300000       0.160828
      679.400000       0.166624
      679.500000       0.172381
      679.600000       0.178113
      679.700000       0.183833
      679.800000       0.189624
      679.900000       0.195543
      680.000000       0.201702
      680.100000       0.207992
      680.200000       0.214625
      680.300000       0.221617
      680.400000       0.228966
      680.500000       0.236689
      680.600000       0.244786
      680.700000       0.253244
      680.800000       0.262007
      680.900000       0.271005
