  18  ,metop_1_hirs_18.flt    original file MTBH307srf.txt (Oct 6th, 2011) http://www.star.nesdis.noaa.gov/smcd/spb/calibration/hirs/hirssrf.html
Number of data points:
1291
Wavenumber (cm-1)   Filter response
     2450.000000       0.000000
     2450.100000       0.000168
     2450.200000       0.000328
     2450.300000       0.000480
     2450.400000       0.000624
     2450.500000       0.000760
     2450.600000       0.000888
     2450.700000       0.001008
     2450.800000       0.001119
     2450.900000       0.001223
     2451.000000       0.001319
     2451.100000       0.001370
     2451.200000       0.001422
     2451.300000       0.001474
     2451.400000       0.001526
     2451.500000       0.001577
     2451.600000       0.001629
     2451.700000       0.001680
     2451.800000       0.001732
     2451.900000       0.001783
     2452.000000       0.001835
     2452.100000       0.001887
     2452.200000       0.001940
     2452.300000       0.001992
     2452.400000       0.002045
     2452.500000       0.002097
     2452.600000       0.002150
     2452.700000       0.002200
     2452.800000       0.002252
     2452.900000       0.002305
     2453.000000       0.002357
     2453.100000       0.002410
     2453.200000       0.002462
     2453.300000       0.002515
     2453.400000       0.002568
     2453.500000       0.002621
     2453.600000       0.002673
     2453.700000       0.002726
     2453.800000       0.002779
     2453.900000       0.002832
     2454.000000       0.002885
     2454.100000       0.002937
     2454.200000       0.002989
     2454.300000       0.003041
     2454.400000       0.003093
     2454.500000       0.003145
     2454.600000       0.003197
     2454.700000       0.003249
     2454.800000       0.003302
     2454.900000       0.003354
     2455.000000       0.003407
     2455.100000       0.003459
     2455.200000       0.003511
     2455.300000       0.003563
     2455.400000       0.003615
     2455.500000       0.003667
     2455.600000       0.003720
     2455.700000       0.003772
     2455.800000       0.003824
     2455.900000       0.003876
     2456.000000       0.003928
     2456.100000       0.003979
     2456.200000       0.004030
     2456.300000       0.004081
     2456.400000       0.004133
     2456.500000       0.004183
     2456.600000       0.004234
     2456.700000       0.004285
     2456.800000       0.004336
     2456.900000       0.004387
     2457.000000       0.004438
     2457.100000       0.004488
     2457.200000       0.004539
     2457.300000       0.004589
     2457.400000       0.004640
     2457.500000       0.004690
     2457.600000       0.004740
     2457.700000       0.004791
     2457.800000       0.004841
     2457.900000       0.004891
     2458.000000       0.004941
     2458.100000       0.004993
     2458.200000       0.005045
     2458.300000       0.005097
     2458.400000       0.005149
     2458.500000       0.005200
     2458.600000       0.005252
     2458.700000       0.005309
     2458.800000       0.005361
     2458.900000       0.005413
     2459.000000       0.005465
     2459.100000       0.005517
     2459.200000       0.005568
     2459.300000       0.005620
     2459.400000       0.005672
     2459.500000       0.005724
     2459.600000       0.005776
     2459.700000       0.005828
     2459.800000       0.005879
     2459.900000       0.005931
     2460.000000       0.005983
     2460.100000       0.006036
     2460.200000       0.006089
     2460.300000       0.006142
     2460.400000       0.006195
     2460.500000       0.006247
     2460.600000       0.006300
     2460.700000       0.006353
     2460.800000       0.006406
     2460.900000       0.006459
     2461.000000       0.006512
     2461.100000       0.006565
     2461.200000       0.006618
     2461.300000       0.006672
     2461.400000       0.006725
     2461.500000       0.006778
     2461.600000       0.006831
     2461.700000       0.006884
     2461.800000       0.006938
