2, METOP-2 Channel 2 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C002.INP
Number of data points:
1080
Wavenumber (cm-1)   Filter response
     9330.000000       0.000321
     9335.000000       0.000323
     9340.000000       0.000327
     9345.000000       0.000331
     9350.000000       0.000337
     9355.000000       0.000345
     9360.000000       0.000355
     9365.000000       0.000366
     9370.000000       0.000379
     9375.000000       0.000394
     9380.000000       0.000409
     9385.000000       0.000425
     9390.000000       0.000442
     9395.000000       0.000459
     9400.000000       0.000475
     9405.000000       0.000491
     9410.000000       0.000507
     9415.000000       0.000522
     9420.000000       0.000537
     9425.000000       0.000553
     9430.000000       0.000568
     9435.000000       0.000583
     9440.000000       0.000599
     9445.000000       0.000615
     9450.000000       0.000632
     9455.000000       0.000649
     9460.000000       0.000666
     9465.000000       0.000685
     9470.000000       0.000704
     9475.000000       0.000725
     9480.000000       0.000745
     9485.000000       0.000767
     9490.000000       0.000788
     9495.000000       0.000810
     9500.000000       0.000831
     9505.000000       0.000852
     9510.000000       0.000872
     9515.000000       0.000892
     9520.000000       0.000912
     9525.000000       0.000932
     9530.000000       0.000954
     9535.000000       0.000976
     9540.000000       0.001001
     9545.000000       0.001028
     9550.000000       0.001056
     9555.000000       0.001087
     9560.000000       0.001118
     9565.000000       0.001148
     9570.000000       0.001178
     9575.000000       0.001206
     9580.000000       0.001232
     9585.000000       0.001256
     9590.000000       0.001278
     9595.000000       0.001299
     9600.000000       0.001321
     9605.000000       0.001343
     9610.000000       0.001367
     9615.000000       0.001395
     9620.000000       0.001426
     9625.000000       0.001460
     9630.000000       0.001496
     9635.000000       0.001534
     9640.000000       0.001572
     9645.000000       0.001611
     9650.000000       0.001648
     9655.000000       0.001684
     9660.000000       0.001718
     9665.000000       0.001751
     9670.000000       0.001784
     9675.000000       0.001817
     9680.000000       0.001852
     9685.000000       0.001890
     9690.000000       0.001931
     9695.000000       0.001975
     9700.000000       0.002023
     9705.000000       0.002074
     9710.000000       0.002128
     9715.000000       0.002184
     9720.000000       0.002241
     9725.000000       0.002299
     9730.000000       0.002359
     9735.000000       0.002419
     9740.000000       0.002480
     9745.000000       0.002545
     9750.000000       0.002612
     9755.000000       0.002685
     9760.000000       0.002762
     9765.000000       0.002846
     9770.000000       0.002936
     9775.000000       0.003035
     9780.000000       0.003142
     9785.000000       0.003257
     9790.000000       0.003382
     9795.000000       0.003518
     9800.000000       0.003664
     9805.000000       0.003822
     9810.000000       0.003992
     9815.000000       0.004178
     9820.000000       0.004381
     9825.000000       0.004604
     9830.000000       0.004850
     9835.000000       0.005121
     9840.000000       0.005419
     9845.000000       0.005749
     9850.000000       0.006113
     9855.000000       0.006518
     9860.000000       0.006969
     9865.000000       0.007473
     9870.000000       0.008035
     9875.000000       0.008663
     9880.000000       0.009361
     9885.000000       0.010140
     9890.000000       0.011019
     9895.000000       0.012023
     9900.000000       0.013180
     9905.000000       0.014517
     9910.000000       0.016064
     9915.000000       0.017848
     9920.000000       0.019902
     9925.000000       0.022256
     9930.000000       0.024950
     9935.000000       0.028023
     9940.000000       0.031518
     9945.000000       0.035480
     9950.000000       0.039956
     9955.000000       0.044993
     9960.000000       0.050645
     9965.000000       0.056993
     9970.000000       0.064253
     9975.000000       0.072678
     9980.000000       0.082528
     9985.000000       0.094069
     9990.000000       0.107575
