05, METOP-A METOP-2 AVHRR A305 CHANNEL 05
Number of data points:
951
Wavenumber (cm-1)   Filter response
      790.000000       0.000000
      790.100000       0.000000
      790.200000       0.000000
      790.300000       0.000000
      790.400000       0.000000
      790.500000       0.000000
      790.600000       0.000000
      790.700000       0.000000
      790.800000       0.000000
      790.900000       0.000000
      791.000000       0.000000
      791.100000       0.000000
      791.200000       0.000000
      791.300000       0.000000
      791.400000       0.000000
      791.500000       0.000000
      791.600000       0.000000
      791.700000       0.000000
      791.800000       0.000000
      791.900000       0.000000
      792.000000       0.000000
      792.100000       0.001000
      792.200000       0.001000
      792.300000       0.001000
      792.400000       0.002000
      792.500000       0.002000
      792.600000       0.002000
      792.700000       0.003000
      792.800000       0.003000
      792.900000       0.003000
      793.000000       0.004000
      793.100000       0.004000
      793.200000       0.004000
      793.300000       0.005000
      793.400000       0.005000
      793.500000       0.005000
      793.600000       0.005000
      793.700000       0.005000
      793.800000       0.005000
      793.900000       0.006000
      794.000000       0.006000
      794.100000       0.006000
      794.200000       0.006000
      794.300000       0.006000
      794.400000       0.006000
      794.500000       0.006000
      794.600000       0.006000
      794.700000       0.006000
      794.800000       0.006000
      794.900000       0.006000
      795.000000       0.006000
      795.100000       0.007000
      795.200000       0.007000
      795.300000       0.007000
      795.400000       0.008000
      795.500000       0.008000
      795.600000       0.009000
      795.700000       0.009000
      795.800000       0.010000
      795.900000       0.010000
      796.000000       0.011000
      796.100000       0.012000
      796.200000       0.012000
      796.300000       0.013000
      796.400000       0.014000
      796.500000       0.015000
      796.600000       0.016000
      796.700000       0.016000
      796.800000       0.017000
      796.900000       0.018000
      797.000000       0.019000
      797.100000       0.020000
      797.200000       0.021000
      797.300000       0.023000
      797.400000       0.024000
      797.500000       0.025000
      797.600000       0.026000
      797.700000       0.027000
      797.800000       0.029000
      797.900000       0.030000
      798.000000       0.032000
      798.100000       0.033000
      798.200000       0.035000
      798.300000       0.037000
      798.400000       0.039000
      798.500000       0.041000
      798.600000       0.043000
      798.700000       0.045000
      798.800000       0.048000
      798.900000       0.050000
      799.000000       0.053000
      799.100000       0.056000
      799.200000       0.059000
      799.300000       0.062000
      799.400000       0.066000
      799.500000       0.070000
      799.600000       0.074000
      799.700000       0.078000
      799.800000       0.082000
      799.900000       0.087000
      800.000000       0.091000
      800.100000       0.096000
      800.200000       0.102000
      800.300000       0.107000
      800.400000       0.113000
      800.500000       0.119000
      800.600000       0.125000
      800.700000       0.132000
      800.800000       0.138000
      800.900000       0.145000
      801.000000       0.153000
      801.100000       0.160000
      801.200000       0.168000
      801.300000       0.176000
      801.400000       0.184000
      801.500000       0.193000
      801.600000       0.202000
      801.700000       0.211000
      801.800000       0.220000
      801.900000       0.230000
      802.000000       0.240000
      802.100000       0.250000
      802.200000       0.261000
      802.300000       0.272000
      802.400000       0.283000
      802.500000       0.295000
      802.600000       0.307000
      802.700000       0.319000
      802.800000       0.332000
      802.900000       0.345000
      803.000000       0.358000
      803.100000       0.372000
      803.200000       0.385000
      803.300000       0.399000
      803.400000       0.413000
      803.500000       0.427000
      803.600000       0.441000
      803.700000       0.455000
      803.800000       0.469000
      803.900000       0.483000
      804.000000       0.497000
      804.100000       0.511000
      804.200000       0.525000
      804.300000       0.539000
      804.400000       0.553000
      804.500000       0.567000
      804.600000       0.581000
      804.700000       0.595000
      804.800000       0.608000
      804.900000       0.622000
      805.000000       0.636000
      805.100000       0.649000
      805.200000       0.663000
      805.300000       0.677000
      805.400000       0.690000
      805.500000       0.703000
      805.600000       0.716000
      805.700000       0.729000
      805.800000       0.742000
      805.900000       0.754000
      806.000000       0.767000
      806.100000       0.778000
      806.200000       0.790000
      806.300000       0.801000
      806.400000       0.811000
      806.500000       0.821000
      806.600000       0.831000
      806.700000       0.840000
      806.800000       0.848000
      806.900000       0.856000
      807.000000       0.864000
      807.100000       0.872000
      807.200000       0.879000
      807.300000       0.886000
      807.400000       0.892000
      807.500000       0.898000
      807.600000       0.905000
      807.700000       0.910000
      807.800000       0.916000
      807.900000       0.922000
      808.000000       0.927000
      808.100000       0.932000
      808.200000       0.938000
      808.300000       0.942000
      808.400000       0.947000
      808.500000       0.952000
      808.600000       0.956000
      808.700000       0.960000
      808.800000       0.964000
      808.900000       0.967000
      809.000000       0.971000
      809.100000       0.974000
      809.200000       0.977000
      809.300000       0.979000
      809.400000       0.981000
      809.500000       0.984000
      809.600000       0.986000
      809.700000       0.987000
      809.800000       0.989000
      809.900000       0.990000
      810.000000       0.991000
      810.100000       0.993000
      810.200000       0.994000
      810.300000       0.995000
      810.400000       0.995000
      810.500000       0.996000
      810.600000       0.997000
      810.700000       0.997000
      810.800000       0.998000
      810.900000       0.998000
      811.000000       0.999000
      811.100000       0.999000
      811.200000       0.999000
      811.300000       0.999000
      811.400000       0.998000
      811.500000       0.998000
      811.600000       0.997000
      811.700000       0.997000
      811.800000       0.996000
      811.900000       0.995000
      812.000000       0.993000
      812.100000       0.992000
      812.200000       0.991000
      812.300000       0.990000
      812.400000       0.988000
      812.500000       0.987000
      812.600000       0.986000
      812.700000       0.985000
      812.800000       0.984000
      812.900000       0.984000
      813.000000       0.984000
      813.100000       0.983000
      813.200000       0.984000
      813.300000       0.984000
      813.400000       0.985000
      813.500000       0.985000
      813.600000       0.986000
      813.700000       0.987000
      813.800000       0.988000
      813.900000       0.989000
      814.000000       0.990000
      814.100000       0.991000
      814.200000       0.992000
      814.300000       0.992000
      814.400000       0.993000
      814.500000       0.993000
      814.600000       0.993000
      814.700000       0.994000
      814.800000       0.994000
      814.900000       0.994000
      815.000000       0.993000
      815.100000       0.993000
      815.200000       0.993000
      815.300000       0.993000
      815.400000       0.993000
      815.500000       0.992000
      815.600000       0.992000
      815.700000       0.992000
      815.800000       0.992000
      815.900000       0.992000
      816.000000       0.992000
      816.100000       0.992000
      816.200000       0.992000
      816.300000       0.992000
      816.400000       0.992000
      816.500000       0.992000
      816.600000       0.992000
      816.700000       0.992000
      816.800000       0.992000
      816.900000       0.991000
      817.000000       0.991000
      817.100000       0.991000
      817.200000       0.990000
      817.300000       0.990000
      817.400000       0.990000
      817.500000       0.989000
      817.600000       0.989000
      817.700000       0.988000
      817.800000       0.988000
      817.900000       0.988000
      818.000000       0.988000
      818.100000       0.987000
      818.200000       0.987000
      818.300000       0.987000
      818.400000       0.987000
      818.500000       0.987000
      818.600000       0.988000
      818.700000       0.988000
      818.800000       0.989000
      818.900000       0.989000
      819.000000       0.990000
      819.100000       0.990000
      819.200000       0.991000
      819.300000       0.991000
      819.400000       0.992000
      819.500000       0.993000
      819.600000       0.993000
      819.700000       0.994000
      819.800000       0.994000
      819.900000       0.995000
      820.000000       0.995000
      820.100000       0.995000
      820.200000       0.995000
      820.300000       0.996000
      820.400000       0.996000
      820.500000       0.996000
      820.600000       0.996000
      820.700000       0.996000
      820.800000       0.996000
      820.900000       0.996000
      821.000000       0.995000
      821.100000       0.995000
      821.200000       0.995000
      821.300000       0.994000
      821.400000       0.994000
      821.500000       0.993000
      821.600000       0.993000
      821.700000       0.992000
      821.800000       0.992000
      821.900000       0.991000
      822.000000       0.991000
      822.100000       0.991000
      822.200000       0.990000
      822.300000       0.990000
      822.400000       0.990000
      822.500000       0.990000
      822.600000       0.990000
      822.700000       0.990000
      822.800000       0.991000
      822.900000       0.991000
      823.000000       0.991000
      823.100000       0.992000
      823.200000       0.992000
      823.300000       0.992000
      823.400000       0.993000
      823.500000       0.993000
      823.600000       0.993000
      823.700000       0.993000
      823.800000       0.993000
      823.900000       0.993000
      824.000000       0.993000
      824.100000       0.993000
      824.200000       0.992000
      824.300000       0.992000
      824.400000       0.992000
      824.500000       0.991000
      824.600000       0.991000
      824.700000       0.990000
      824.800000       0.990000
      824.900000       0.989000
      825.000000       0.989000
      825.100000       0.988000
      825.200000       0.987000
      825.300000       0.987000
      825.400000       0.986000
      825.500000       0.986000
      825.600000       0.985000
      825.700000       0.985000
      825.800000       0.984000
      825.900000       0.984000
      826.000000       0.983000
      826.100000       0.983000
      826.200000       0.983000
      826.300000       0.983000
      826.400000       0.982000
      826.500000       0.982000
      826.600000       0.982000
      826.700000       0.982000
      826.800000       0.982000
      826.900000       0.982000
      827.000000       0.983000
      827.100000       0.983000
      827.200000       0.983000
      827.300000       0.984000
      827.400000       0.984000
      827.500000       0.984000
      827.600000       0.985000
      827.700000       0.985000
      827.800000       0.985000
      827.900000       0.986000
      828.000000       0.986000
      828.100000       0.987000
      828.200000       0.987000
      828.300000       0.988000
      828.400000       0.988000
      828.500000       0.988000
      828.600000       0.989000
      828.700000       0.989000
      828.800000       0.989000
      828.900000       0.990000
      829.000000       0.990000
      829.100000       0.990000
      829.200000       0.990000
      829.300000       0.991000
      829.400000       0.991000
      829.500000       0.991000
      829.600000       0.991000
      829.700000       0.991000
      829.800000       0.991000
      829.900000       0.991000
      830.000000       0.991000
      830.100000       0.991000
      830.200000       0.992000
      830.300000       0.992000
      830.400000       0.992000
      830.500000       0.992000
      830.600000       0.993000
      830.700000       0.993000
      830.800000       0.994000
      830.900000       0.995000
      831.000000       0.995000
      831.100000       0.996000
      831.200000       0.997000
      831.300000       0.998000
      831.400000       0.998000
      831.500000       0.999000
      831.600000       0.999000
      831.700000       1.000000
      831.800000       1.000000
      831.900000       1.000000
      832.000000       1.000000
      832.100000       1.000000
      832.200000       0.999000
      832.300000       0.999000
      832.400000       0.998000
      832.500000       0.998000
      832.600000       0.997000
      832.700000       0.997000
      832.800000       0.996000
      832.900000       0.995000
      833.000000       0.995000
      833.100000       0.994000
      833.200000       0.994000
      833.300000       0.994000
      833.400000       0.994000
      833.500000       0.994000
      833.600000       0.995000
      833.700000       0.995000
      833.800000       0.996000
      833.900000       0.996000
      834.000000       0.997000
      834.100000       0.997000
      834.200000       0.998000
      834.300000       0.998000
      834.400000       0.999000
      834.500000       0.999000
      834.600000       0.999000
      834.700000       0.999000
      834.800000       0.999000
      834.900000       0.999000
      835.000000       0.998000
      835.100000       0.997000
      835.200000       0.997000
      835.300000       0.996000
      835.400000       0.995000
      835.500000       0.994000
      835.600000       0.993000
      835.700000       0.992000
      835.800000       0.991000
      835.900000       0.991000
      836.000000       0.990000
      836.100000       0.990000
      836.200000       0.989000
      836.300000       0.989000
      836.400000       0.989000
      836.500000       0.989000
      836.600000       0.989000
      836.700000       0.990000
      836.800000       0.990000
      836.900000       0.990000
      837.000000       0.991000
      837.100000       0.991000
      837.200000       0.991000
      837.300000       0.991000
      837.400000       0.991000
      837.500000       0.991000
      837.600000       0.991000
      837.700000       0.990000
      837.800000       0.990000
      837.900000       0.989000
      838.000000       0.988000
      838.100000       0.988000
      838.200000       0.987000
      838.300000       0.986000
      838.400000       0.985000
      838.500000       0.983000
      838.600000       0.982000
      838.700000       0.981000
      838.800000       0.980000
      838.900000       0.979000
      839.000000       0.978000
      839.100000       0.977000
      839.200000       0.976000
      839.300000       0.975000
      839.400000       0.974000
      839.500000       0.973000
      839.600000       0.972000
      839.700000       0.971000
      839.800000       0.970000
      839.900000       0.970000
      840.000000       0.969000
      840.100000       0.968000
      840.200000       0.967000
      840.300000       0.967000
      840.400000       0.966000
      840.500000       0.966000
      840.600000       0.965000
      840.700000       0.965000
      840.800000       0.965000
      840.900000       0.964000
      841.000000       0.964000
      841.100000       0.964000
      841.200000       0.963000
      841.300000       0.963000
      841.400000       0.963000
      841.500000       0.962000
      841.600000       0.962000
      841.700000       0.962000
      841.800000       0.961000
      841.900000       0.961000
      842.000000       0.960000
      842.100000       0.960000
      842.200000       0.959000
      842.300000       0.959000
      842.400000       0.958000
      842.500000       0.958000
      842.600000       0.957000
      842.700000       0.956000
      842.800000       0.956000
      842.900000       0.955000
      843.000000       0.955000
      843.100000       0.954000
      843.200000       0.953000
      843.300000       0.952000
      843.400000       0.952000
      843.500000       0.951000
      843.600000       0.950000
      843.700000       0.949000
      843.800000       0.949000
      843.900000       0.948000
      844.000000       0.947000
      844.100000       0.946000
      844.200000       0.946000
      844.300000       0.945000
      844.400000       0.944000
      844.500000       0.944000
      844.600000       0.943000
      844.700000       0.943000
      844.800000       0.942000
      844.900000       0.942000
      845.000000       0.941000
      845.100000       0.941000
      845.200000       0.940000
      845.300000       0.940000
      845.400000       0.939000
      845.500000       0.939000
      845.600000       0.938000
      845.700000       0.938000
      845.800000       0.938000
      845.900000       0.937000
      846.000000       0.937000
      846.100000       0.936000
      846.200000       0.935000
      846.300000       0.935000
      846.400000       0.934000
      846.500000       0.934000
      846.600000       0.933000
      846.700000       0.933000
      846.800000       0.932000
      846.900000       0.932000
      847.000000       0.931000
      847.100000       0.931000
      847.200000       0.930000
      847.300000       0.930000
      847.400000       0.930000
      847.500000       0.930000
      847.600000       0.930000
      847.700000       0.930000
      847.800000       0.930000
      847.900000       0.930000
      848.000000       0.930000
      848.100000       0.931000
      848.200000       0.931000
      848.300000       0.931000
      848.400000       0.932000
      848.500000       0.932000
      848.600000       0.932000
      848.700000       0.933000
      848.800000       0.933000
      848.900000       0.933000
      849.000000       0.933000
      849.100000       0.934000
      849.200000       0.934000
      849.300000       0.934000
      849.400000       0.934000
      849.500000       0.934000
      849.600000       0.934000
      849.700000       0.934000
      849.800000       0.934000
      849.900000       0.934000
      850.000000       0.934000
      850.100000       0.934000
      850.200000       0.934000
      850.300000       0.934000
      850.400000       0.934000
      850.500000       0.933000
      850.600000       0.933000
      850.700000       0.933000
      850.800000       0.933000
      850.900000       0.933000
      851.000000       0.933000
      851.100000       0.933000
      851.200000       0.932000
      851.300000       0.932000
      851.400000       0.932000
      851.500000       0.932000
      851.600000       0.931000
      851.700000       0.931000
      851.800000       0.931000
      851.900000       0.930000
      852.000000       0.930000
      852.100000       0.929000
      852.200000       0.929000
      852.300000       0.928000
      852.400000       0.928000
      852.500000       0.927000
      852.600000       0.927000
      852.700000       0.926000
      852.800000       0.926000
      852.900000       0.925000
      853.000000       0.925000
      853.100000       0.924000
      853.200000       0.923000
      853.300000       0.923000
      853.400000       0.922000
      853.500000       0.921000
      853.600000       0.921000
      853.700000       0.920000
      853.800000       0.919000
      853.900000       0.918000
      854.000000       0.918000
      854.100000       0.917000
      854.200000       0.916000
      854.300000       0.916000
      854.400000       0.915000
      854.500000       0.915000
      854.600000       0.914000
      854.700000       0.913000
      854.800000       0.913000
      854.900000       0.913000
      855.000000       0.912000
      855.100000       0.912000
      855.200000       0.911000
      855.300000       0.911000
      855.400000       0.911000
      855.500000       0.910000
      855.600000       0.910000
      855.700000       0.909000
      855.800000       0.909000
      855.900000       0.909000
      856.000000       0.908000
      856.100000       0.907000
      856.200000       0.907000
      856.300000       0.906000
      856.400000       0.905000
      856.500000       0.904000
      856.600000       0.903000
      856.700000       0.902000
      856.800000       0.901000
      856.900000       0.900000
      857.000000       0.899000
      857.100000       0.897000
      857.200000       0.896000
      857.300000       0.895000
      857.400000       0.893000
      857.500000       0.892000
      857.600000       0.890000
      857.700000       0.889000
      857.800000       0.887000
      857.900000       0.886000
      858.000000       0.884000
      858.100000       0.882000
      858.200000       0.881000
      858.300000       0.879000
      858.400000       0.877000
      858.500000       0.876000
      858.600000       0.874000
      858.700000       0.872000
      858.800000       0.870000
      858.900000       0.868000
      859.000000       0.866000
      859.100000       0.864000
      859.200000       0.862000
      859.300000       0.860000
      859.400000       0.858000
      859.500000       0.856000
      859.600000       0.854000
      859.700000       0.852000
      859.800000       0.850000
      859.900000       0.848000
      860.000000       0.846000
      860.100000       0.844000
      860.200000       0.842000
      860.300000       0.840000
      860.400000       0.838000
      860.500000       0.837000
      860.600000       0.835000
      860.700000       0.833000
      860.800000       0.832000
      860.900000       0.830000
      861.000000       0.829000
      861.100000       0.827000
      861.200000       0.826000
      861.300000       0.825000
      861.400000       0.823000
      861.500000       0.822000
      861.600000       0.820000
      861.700000       0.818000
      861.800000       0.817000
      861.900000       0.815000
      862.000000       0.813000
      862.100000       0.811000
      862.200000       0.809000
      862.300000       0.806000
      862.400000       0.804000
      862.500000       0.801000
      862.600000       0.799000
      862.700000       0.796000
      862.800000       0.794000
      862.900000       0.791000
      863.000000       0.788000
      863.100000       0.786000
      863.200000       0.783000
      863.300000       0.781000
      863.400000       0.779000
      863.500000       0.777000
      863.600000       0.775000
      863.700000       0.773000
      863.800000       0.771000
      863.900000       0.770000
      864.000000       0.768000
      864.100000       0.767000
      864.200000       0.766000
      864.300000       0.764000
      864.400000       0.764000
      864.500000       0.763000
      864.600000       0.762000
      864.700000       0.761000
      864.800000       0.761000
      864.900000       0.760000
      865.000000       0.760000
      865.100000       0.759000
      865.200000       0.759000
      865.300000       0.759000
      865.400000       0.759000
      865.500000       0.759000
      865.600000       0.759000
      865.700000       0.759000
      865.800000       0.759000
      865.900000       0.759000
      866.000000       0.760000
      866.100000       0.760000
      866.200000       0.761000
      866.300000       0.762000
      866.400000       0.762000
      866.500000       0.763000
      866.600000       0.764000
      866.700000       0.766000
      866.800000       0.767000
      866.900000       0.768000
      867.000000       0.770000
      867.100000       0.771000
      867.200000       0.773000
      867.300000       0.775000
      867.400000       0.776000
      867.500000       0.778000
      867.600000       0.779000
      867.700000       0.781000
      867.800000       0.782000
      867.900000       0.784000
      868.000000       0.785000
      868.100000       0.786000
      868.200000       0.787000
      868.300000       0.788000
      868.400000       0.789000
      868.500000       0.790000
      868.600000       0.790000
      868.700000       0.790000
      868.800000       0.790000
      868.900000       0.790000
      869.000000       0.789000
      869.100000       0.788000
      869.200000       0.786000
      869.300000       0.784000
      869.400000       0.782000
      869.500000       0.779000
      869.600000       0.776000
      869.700000       0.772000
      869.800000       0.767000
      869.900000       0.762000
      870.000000       0.757000
      870.100000       0.751000
      870.200000       0.744000
      870.300000       0.737000
      870.400000       0.730000
      870.500000       0.722000
      870.600000       0.713000
      870.700000       0.704000
      870.800000       0.695000
      870.900000       0.684000
      871.000000       0.674000
      871.100000       0.663000
      871.200000       0.651000
      871.300000       0.639000
      871.400000       0.626000
      871.500000       0.613000
      871.600000       0.599000
      871.700000       0.586000
      871.800000       0.571000
      871.900000       0.557000
      872.000000       0.543000
      872.100000       0.528000
      872.200000       0.513000
      872.300000       0.498000
      872.400000       0.483000
      872.500000       0.468000
      872.600000       0.453000
      872.700000       0.438000
      872.800000       0.423000
      872.900000       0.408000
      873.000000       0.393000
      873.100000       0.379000
      873.200000       0.364000
      873.300000       0.350000
      873.400000       0.336000
      873.500000       0.322000
      873.600000       0.308000
      873.700000       0.295000
      873.800000       0.282000
      873.900000       0.269000
      874.000000       0.256000
      874.100000       0.245000
      874.200000       0.233000
      874.300000       0.222000
      874.400000       0.211000
      874.500000       0.201000
      874.600000       0.191000
      874.700000       0.181000
      874.800000       0.172000
      874.900000       0.163000
      875.000000       0.155000
      875.100000       0.147000
      875.200000       0.139000
      875.300000       0.131000
      875.400000       0.124000
      875.500000       0.117000
      875.600000       0.111000
      875.700000       0.104000
      875.800000       0.099000
      875.900000       0.093000
      876.000000       0.088000
      876.100000       0.083000
      876.200000       0.078000
      876.300000       0.073000
      876.400000       0.069000
      876.500000       0.065000
      876.600000       0.061000
      876.700000       0.057000
      876.800000       0.054000
      876.900000       0.050000
      877.000000       0.047000
      877.100000       0.044000
      877.200000       0.041000
      877.300000       0.039000
      877.400000       0.036000
      877.500000       0.034000
      877.600000       0.032000
      877.700000       0.030000
      877.800000       0.028000
      877.900000       0.026000
      878.000000       0.025000
      878.100000       0.023000
      878.200000       0.022000
      878.300000       0.021000
      878.400000       0.019000
      878.500000       0.018000
      878.600000       0.017000
      878.700000       0.016000
      878.800000       0.015000
      878.900000       0.014000
      879.000000       0.013000
      879.100000       0.012000
      879.200000       0.011000
      879.300000       0.010000
      879.400000       0.010000
      879.500000       0.009000
      879.600000       0.008000
      879.700000       0.008000
      879.800000       0.007000
      879.900000       0.007000
      880.000000       0.006000
      880.100000       0.006000
      880.200000       0.005000
      880.300000       0.005000
      880.400000       0.004000
      880.500000       0.004000
      880.600000       0.004000
      880.700000       0.003000
      880.800000       0.003000
      880.900000       0.003000
      881.000000       0.003000
      881.100000       0.003000
      881.200000       0.002000
      881.300000       0.002000
      881.400000       0.002000
      881.500000       0.002000
      881.600000       0.002000
      881.700000       0.002000
      881.800000       0.002000
      881.900000       0.002000
      882.000000       0.002000
      882.100000       0.001000
      882.200000       0.001000
      882.300000       0.001000
      882.400000       0.001000
      882.500000       0.001000
      882.600000       0.001000
      882.700000       0.001000
