2  ,metop_02_hirs_02.flt  shift of 0.19cm-1 applied
Number of data points:
227
Wavenumber (cm-1)   Filter response
      668.190000       0.000000
      668.290000       0.000990
      668.390000       0.001655
      668.490000       0.002416
      668.590000       0.003229
      668.690000       0.004047
      668.790000       0.004836
      668.890000       0.005570
      668.990000       0.006241
      669.090000       0.006848
      669.190000       0.007396
      669.290000       0.007890
      669.390000       0.008335
      669.490000       0.008731
      669.590000       0.009082
      669.690000       0.009393
      669.790000       0.009676
      669.890000       0.009953
      669.990000       0.010255
      670.090000       0.010619
      670.190000       0.011085
      670.290000       0.011681
      670.390000       0.012453
      670.490000       0.013436
      670.590000       0.014659
      670.690000       0.016153
      670.790000       0.017951
      670.890000       0.020088
      670.990000       0.022599
      671.090000       0.025524
      671.190000       0.028899
      671.290000       0.032761
      671.390000       0.037142
      671.490000       0.042080
      671.590000       0.047613
      671.690000       0.053773
      671.790000       0.060601
      671.890000       0.068143
      671.990000       0.076448
      672.090000       0.085566
      672.190000       0.095544
      672.290000       0.106470
      672.390000       0.118350
      672.490000       0.131220
      672.590000       0.145110
      672.690000       0.160060
      672.790000       0.176060
      672.890000       0.193120
      672.990000       0.211240
      673.090000       0.230400
      673.190000       0.250540
      673.290000       0.271620
      673.390000       0.293560
      673.490000       0.316250
      673.590000       0.339590
      673.690000       0.363460
      673.790000       0.387720
      673.890000       0.412230
      673.990000       0.436840
      674.090000       0.461390
      674.190000       0.485710
      674.290000       0.509300
      674.390000       0.532330
      674.490000       0.554650
      674.590000       0.576120
      674.690000       0.596650
      674.790000       0.616120
      674.890000       0.634480
      674.990000       0.651660
      675.090000       0.667630
      675.190000       0.682390
      675.290000       0.695940
      675.390000       0.708210
      675.490000       0.719310
      675.590000       0.729360
      675.690000       0.738460
      675.790000       0.746700
      675.890000       0.754210
      675.990000       0.761090
      676.090000       0.767480
      676.190000       0.773490
      676.290000       0.779550
      676.390000       0.785480
      676.490000       0.791370
      676.590000       0.797320
      676.690000       0.803420
      676.790000       0.809730
      676.890000       0.816310
      676.990000       0.823210
      677.090000       0.830450
      677.190000       0.838030
      677.290000       0.845910
      677.390000       0.854040
      677.490000       0.862450
      677.590000       0.871120
      677.690000       0.879980
      677.790000       0.888970
      677.890000       0.898030
      677.990000       0.907080
      678.090000       0.916050
      678.190000       0.924850
      678.290000       0.933940
      678.390000       0.942720
      678.490000       0.951100
      678.590000       0.959020
      678.690000       0.966390
      678.790000       0.973160
      678.890000       0.979260
      678.990000       0.984640
      679.090000       0.989260
      679.190000       0.993080
      679.290000       0.996110
      679.390000       0.998280
      679.490000       0.999580
      679.590000       1.000000
      679.690000       0.999550
      679.790000       0.998240
      679.890000       0.996090
      679.990000       0.993140
      680.090000       0.989420
      680.190000       0.984980
      680.290000       0.979080
      680.390000       0.972580
      680.490000       0.965520
      680.590000       0.957980
      680.690000       0.950010
      680.790000       0.941680
      680.890000       0.933050
      680.990000       0.924180
      681.090000       0.915110
      681.190000       0.905930
      681.290000       0.896680
      681.390000       0.887340
      681.490000       0.877950
      681.590000       0.868520
      681.690000       0.859060
      681.790000       0.849550
      681.890000       0.839980
      681.990000       0.830330
      682.090000       0.820570
      682.190000       0.810660
      682.290000       0.801100
      682.390000       0.791280
      682.490000       0.781150
      682.590000       0.770630
      682.690000       0.759690
      682.790000       0.748270
      682.890000       0.736310
      682.990000       0.723770
      683.090000       0.710630
      683.190000       0.696840
      683.290000       0.682390
      683.390000       0.667260
      683.490000       0.651450
      683.590000       0.634960
      683.690000       0.617810
      683.790000       0.600040
      683.890000       0.581700
      683.990000       0.562820
      684.090000       0.543480
      684.190000       0.523730
      684.290000       0.503290
      684.390000       0.482630
      684.490000       0.461820
      684.590000       0.440960
      684.690000       0.420120
      684.790000       0.399380
      684.890000       0.378830
      684.990000       0.358550
      685.090000       0.338600
      685.190000       0.319050
      685.290000       0.299960
      685.390000       0.281370
      685.490000       0.263330
      685.590000       0.245890
      685.690000       0.229070
      685.790000       0.212910
      685.890000       0.197420
      685.990000       0.182630
      686.090000       0.168540
      686.190000       0.155150
      686.290000       0.142650
      686.390000       0.130810
      686.490000       0.119650
      686.590000       0.109150
      686.690000       0.099311
      686.790000       0.090130
      686.890000       0.081595
      686.990000       0.073697
      687.090000       0.066416
      687.190000       0.059731
      687.290000       0.053620
      687.390000       0.048060
      687.490000       0.043028
      687.590000       0.038500
      687.690000       0.034452
      687.790000       0.030856
      687.890000       0.027682
      687.990000       0.024896
      688.090000       0.022459
      688.190000       0.020332
      688.290000       0.018466
      688.390000       0.016833
      688.490000       0.015399
      688.590000       0.014133
      688.690000       0.013010
      688.790000       0.012006
      688.890000       0.011096
      688.990000       0.010256
      689.090000       0.009463
      689.190000       0.008696
      689.290000       0.007939
      689.390000       0.007187
      689.490000       0.006442
      689.590000       0.005716
      689.690000       0.005021
      689.790000       0.004374
      689.890000       0.003781
      689.990000       0.003245
      690.090000       0.002759
      690.190000       0.002312
      690.290000       0.001893
      690.390000       0.001497
      690.490000       0.001125
      690.590000       0.000787
      690.690000       0.000500
      690.790000       0.000000
