10  ,metop_02_hirs_10.flt  shift of -0.07cm-1 applied
Number of data points:
352
Wavenumber (cm-1)   Filter response
      782.050000       0.000000
      782.150000       0.002070
      782.250000       0.002489
      782.350000       0.002992
      782.450000       0.003552
      782.550000       0.004138
      782.650000       0.004717
      782.750000       0.005257
      782.850000       0.005732
      782.950000       0.006121
      783.050000       0.006412
      783.150000       0.006606
      783.250000       0.006710
      783.350000       0.006741
      783.450000       0.006721
      783.550000       0.006679
      783.650000       0.006641
      783.750000       0.006634
      783.850000       0.006679
      783.950000       0.006793
      784.050000       0.006983
      784.150000       0.007248
      784.250000       0.007582
      784.350000       0.007972
      784.450000       0.008398
      784.550000       0.008844
      784.650000       0.009289
      784.750000       0.009717
      784.850000       0.010116
      784.950000       0.010478
      785.050000       0.010801
      785.150000       0.011088
      785.250000       0.011347
      785.350000       0.011588
      785.450000       0.011823
      785.550000       0.012066
      785.650000       0.012327
      785.750000       0.012617
      785.850000       0.012943
      785.950000       0.013309
      786.050000       0.013712
      786.150000       0.014160
      786.250000       0.014652
      786.350000       0.015189
      786.450000       0.015771
      786.550000       0.016399
      786.650000       0.017075
      786.750000       0.017801
      786.850000       0.018582
      786.950000       0.019421
      787.050000       0.020320
      787.150000       0.021284
      787.250000       0.022315
      787.350000       0.023413
      787.450000       0.024577
      787.550000       0.025805
      787.650000       0.027096
      787.750000       0.028447
      787.850000       0.029857
      787.950000       0.031326
      788.050000       0.032866
      788.150000       0.034466
      788.250000       0.036131
      788.350000       0.037865
      788.450000       0.039675
      788.550000       0.041568
      788.650000       0.043553
      788.750000       0.045639
      788.850000       0.047834
      788.950000       0.050145
      789.050000       0.052585
      789.150000       0.055164
      789.250000       0.057895
      789.350000       0.060789
      789.450000       0.063860
      789.550000       0.066114
      789.650000       0.069494
      789.750000       0.073090
      789.850000       0.076923
      789.950000       0.081010
      790.050000       0.085361
      790.150000       0.090002
      790.250000       0.094944
      790.350000       0.100200
      790.450000       0.105770
      790.550000       0.111680
      790.650000       0.117920
      790.750000       0.124510
      790.850000       0.131450
      790.950000       0.138760
      791.050000       0.146460
      791.150000       0.154580
      791.250000       0.163140
      791.350000       0.172190
      791.450000       0.181740
      791.550000       0.191840
      791.650000       0.202490
      791.750000       0.213730
      791.850000       0.225560
      791.950000       0.237980
      792.050000       0.250960
      792.150000       0.264520
      792.250000       0.278620
      792.350000       0.293250
      792.450000       0.308370
      792.550000       0.323970
      792.650000       0.340020
      792.750000       0.356510
      792.850000       0.373420
      792.950000       0.390740
      793.050000       0.408460
      793.150000       0.426550
      793.250000       0.444990
      793.350000       0.463760
      793.450000       0.482820
      793.550000       0.502110
      793.650000       0.521570
      793.750000       0.541130
      793.850000       0.560700
      793.950000       0.580210
      794.050000       0.599620
      794.150000       0.618780
      794.250000       0.637630
      794.350000       0.656100
      794.450000       0.674130
      794.550000       0.691700
      794.650000       0.708790
      794.750000       0.725420
      794.850000       0.741560
      794.950000       0.757230
      795.050000       0.772420
      795.150000       0.787150
      795.250000       0.801420
      795.350000       0.815210
      795.450000       0.828500
      795.550000       0.841270
      795.650000       0.853470
      795.750000       0.865070
      795.850000       0.876020
      795.950000       0.886270
      796.050000       0.895780
      796.150000       0.904560
      796.250000       0.912610
      796.350000       0.919950
      796.450000       0.926610
