 1    ,Model PFM  Channel  VIS 0.6  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
47
Wavenumber (cm-1)   Filter response
    13966.480400       0.000018
    14025.245400       0.001599
    14084.507000       0.001917
    14144.271600       0.001966
    14204.545500       0.003230
    14265.335200       0.005240
    14326.647600       0.009396
    14388.489200       0.016585
    14450.867100       0.028693
    14513.788100       0.049325
    14577.259500       0.089111
    14641.288400       0.171167
    14705.882400       0.339352
    14771.048700       0.613056
    14836.795300       0.881279
    14903.129700       0.994231
    14970.059900       0.988397
    15037.594000       0.952834
    15105.740200       0.921590
    15174.506800       0.904872
    15243.902400       0.906225
    15313.935700       0.928842
    15384.615400       0.960987
    15455.950500       0.988901
    15527.950300       1.000000
    15600.624000       0.993813
    15673.981200       0.964870
    15748.031500       0.923009
    15822.784800       0.892768
    15898.251200       0.889883
    15974.440900       0.907573
    16051.364400       0.918491
    16129.032300       0.914832
    16207.455400       0.908348
    16286.645000       0.904471
    16366.612100       0.908690
    16447.368400       0.931783
    16528.925600       0.908068
    16611.295700       0.642844
    16694.490800       0.288840
    16778.523500       0.104861
    16863.406400       0.038518
    16949.152500       0.015900
    17035.775100       0.006777
    17123.287700       0.002833
    17211.704000       0.000766
    17301.038100       0.000098
