    5 , msg_01_seviri_05.flt
Number of data points:
70
Wavenumber (cm-1)   Filter response
      980.623000       0.003160
      981.701000       0.004480
      982.782000       0.006530
      983.865000       0.005990
      984.950000       0.001780
      986.038000       0.004820
      987.128000       0.003370
      988.220000       0.007020
      989.315000       0.007030
      990.413000       0.005740
      991.513000       0.005170
      992.615000       0.004580
      993.720000       0.004050
      994.827000       0.003500
      995.937000       0.002980
      997.049000       0.002460
      998.163000       0.001880
      999.281000       0.001330
     1000.400000       0.004440
     1001.522000       0.005530
     1002.647000       0.002670
     1003.774000       0.005180
     1004.904000       0.001340
     1006.036000       0.004310
     1009.449000       0.001090
     1010.591000       0.005550
     1011.736000       0.008140
     1012.884000       0.015130
     1014.034000       0.017240
     1015.187000       0.037010
     1016.343000       0.079660
     1017.501000       0.128560
     1018.662000       0.229650
     1019.825000       0.360320
     1020.992000       0.536280
     1022.160000       0.710780
     1023.332000       0.856750
     1024.506000       0.930920
     1025.683000       0.931380
     1026.863000       0.908640
     1028.045000       0.882400
     1029.230000       0.875960
     1030.418000       0.893620
     1031.609000       0.917240
     1032.802000       0.938240
     1033.998000       0.950600
     1035.197000       0.997200
     1036.398000       0.984730
     1037.603000       0.979460
     1038.810000       0.986560
     1040.020000       0.999400
     1041.233000       0.996330
     1042.448000       1.000000
     1043.667000       0.963780
     1044.888000       0.872580
     1046.113000       0.722320
     1047.340000       0.518120
     1048.570000       0.339930
     1049.803000       0.213570
     1051.038000       0.132010
     1052.277000       0.077320
     1053.519000       0.036730
     1054.763000       0.038220
     1056.011000       0.020560
     1057.261000       0.007220
     1058.515000       0.008980
     1059.771000       0.004240
     1061.031000       0.003420
     1062.293000       0.001760
     1063.558000       0.002110
