 6    ,msg_02_seviri_06.flt ,   from EUMETSAT SRC_FM2_01.xls  T 95K
Number of data points:
101
Wavenumber (cm-1)   Filter response
      781.250000       0.000011
      783.699100       0.000012
      786.163500       0.000014
      788.643500       0.000014
      791.139200       0.000011
      793.650800       0.000010
      796.178300       0.000010
      798.722000       0.000010
      801.282100       0.000027
      803.858500       0.000047
      806.451600       0.000047
      809.061500       0.000066
      811.688300       0.000093
      814.332200       0.000053
      816.993500       0.000051
      819.672100       0.000047
      822.368400       0.000065
      825.082500       0.000134
      827.814600       0.000202
      830.564800       0.000094
      833.333300       0.000042
      836.120400       0.000238
      838.926200       0.000243
      841.750800       0.000306
      844.594600       0.000275
      847.457600       0.001078
      850.340100       0.002978
      853.242300       0.006475
      856.164400       0.008708
      859.106500       0.006439
      862.069000       0.006733
      865.051900       0.015199
      868.055600       0.025803
      871.080100       0.051315
      874.125900       0.095646
      877.193000       0.178283
      880.281700       0.311571
      883.392200       0.482395
      886.524800       0.636398
      889.679700       0.749170
      892.857100       0.817487
      896.057300       0.835937
      899.280600       0.837019
      902.527100       0.848428
      905.797100       0.865359
      909.090900       0.881346
      912.408800       0.881356
      915.750900       0.895595
      919.117600       0.919581
      922.509200       0.928751
      925.925900       0.934163
      929.368000       0.932406
      932.835800       0.967832
      936.329600       0.990157
      939.849600       0.993632
      943.396200       0.993874
      946.969700       1.000000
      950.570300       0.991760
      954.198500       0.981183
      957.854400       0.967121
      961.538500       0.958813
      965.251000       0.931785
      968.992200       0.828214
      972.762600       0.636989
      976.562500       0.404686
      980.392200       0.228172
      984.252000       0.106126
      988.142300       0.026354
      992.063500       0.003844
      996.015900       0.003767
     1000.000000       0.007900
     1004.016100       0.008183
     1008.064500       0.004074
     1012.145700       0.004159
     1016.260200       0.004253
     1020.408200       0.003471
     1024.590200       0.000428
     1028.806600       0.000288
     1033.057900       0.000300
     1037.344400       0.000172
     1041.666700       0.000380
     1046.025100       0.000382
     1050.420200       0.000325
     1054.852300       0.000195
     1059.322000       0.000270
     1063.829800       0.000187
     1068.376100       0.000229
     1072.961400       0.000165
     1077.586200       0.000175
     1082.251100       0.000199
     1086.956500       0.000151
     1091.703100       0.000146
     1096.491200       0.000110
     1101.321600       0.000080
     1106.194700       0.000043
     1111.111100       0.000056
     1116.071400       0.000052
     1121.076200       0.000037
     1126.126100       0.000026
     1131.221700       0.000017
     1136.363600       0.000029
