 4    ,MSG-2 HRV data from EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLT  TRUNCATED AT 25500cm-1
Number of data points:
154
Wavenumber (cm-1)   Filter response
     7680.491600       0.001337
     7716.049400       0.001420
     7751.938000       0.001501
     7788.162000       0.001582
     7824.726100       0.001670
     7861.635200       0.001771
     7898.894200       0.001871
     7936.507900       0.001987
     7974.481700       0.002112
     8012.820500       0.002239
     8051.529800       0.002376
     8090.614900       0.002519
     8130.081300       0.002676
     8169.934600       0.002840
     8210.180600       0.003017
     8250.825100       0.003207
     8291.874000       0.003422
     8333.333300       0.003647
     8375.209400       0.003868
     8417.508400       0.004128
     8460.236900       0.004427
     8503.401400       0.004717
     8547.008500       0.005036
     8591.065300       0.005379
     8635.578600       0.005767
     8680.555600       0.006198
     8726.003500       0.006632
     8771.929800       0.007119
     8818.342200       0.007645
     8865.248200       0.008195
     8912.656000       0.008830
     8960.573500       0.009500
     9009.009000       0.010230
     9057.971000       0.011029
     9107.468100       0.012352
     9157.509200       0.014528
     9208.103100       0.016916
     9259.259300       0.020070
     9310.987000       0.023248
     9363.295900       0.026789
     9416.195900       0.032063
     9469.697000       0.039512
     9523.809500       0.047115
     9578.544100       0.055609
     9633.911400       0.065652
     9689.922500       0.077937
     9746.588700       0.089453
     9803.921600       0.101659
     9861.932900       0.115713
     9920.634900       0.133393
     9980.039900       0.153821
    10040.160600       0.173244
    10101.010100       0.192333
    10162.601600       0.212537
    10224.948900       0.234511
    10288.065800       0.257939
    10351.966900       0.280886
    10416.666700       0.305084
    10482.180300       0.331010
    10548.523200       0.357860
    10615.711300       0.383977
    10683.760700       0.410187
    10752.688200       0.438516
    10822.510800       0.465840
    10893.246200       0.493455
    10964.912300       0.520454
    11037.527600       0.546279
    11111.111100       0.572505
    11185.682300       0.596918
    11261.261300       0.624303
    11337.868500       0.653155
    11415.525100       0.680841
    11494.252900       0.707551
    11574.074100       0.733669
    11655.011700       0.758352
    11737.089200       0.778999
    11820.331000       0.796392
    11904.761900       0.813797
    11990.407700       0.838685
    12077.294700       0.862094
    12165.450100       0.885403
    12254.902000       0.902872
    12345.679000       0.917288
    12437.810900       0.931276
    12531.328300       0.944644
    12626.262600       0.951855
    12722.646300       0.957701
    12820.512800       0.963756
    12919.896600       0.973223
    13020.833300       0.986978
    13123.359600       0.996787
    13227.513200       1.000000
    13333.333300       0.999463
    13440.860200       0.998315
    13550.135500       0.995838
    13661.202200       0.995098
    13774.104700       0.991204
    13888.888900       0.986485
    14005.602200       0.984358
    14124.293800       0.982151
    14245.014200       0.980895
    14367.816100       0.977540
    14492.753600       0.977650
    14619.883000       0.978378
    14749.262500       0.974822
    14880.952400       0.965320
    15015.015000       0.958616
    15151.515200       0.953236
    15290.519900       0.944195
    15432.098800       0.935945
    15576.324000       0.929972
    15723.270400       0.922272
    15873.015900       0.912922
    16025.641000       0.904457
    16181.229800       0.894527
    16339.869300       0.883146
    16501.650200       0.870572
    16666.666700       0.857084
    16835.016800       0.845956
    17006.802700       0.833644
    17182.130600       0.820062
    17361.111100       0.807406
    17543.859600       0.792949
    17730.496500       0.777189
    17921.147000       0.759015
    18115.942000       0.738238
    18315.018300       0.717138
    18518.518500       0.695788
    18726.591800       0.677617
    18939.393900       0.659605
    19157.088100       0.643427
    19379.845000       0.626240
    19607.843100       0.609423
    19841.269800       0.592509
    20080.321300       0.571605
    20325.203300       0.546795
    20576.131700       0.524656
    20833.333300       0.501955
    21097.046400       0.481292
    21367.521400       0.457792
    21645.021600       0.432278
    21929.824600       0.402687
    22222.222200       0.372819
    22522.522500       0.343063
    22831.050200       0.308211
    23148.148100       0.279015
    23474.178400       0.249145
    23809.523800       0.223631
    24154.589400       0.192432
    24509.803900       0.161165
    24875.621900       0.134771
    25252.525300       0.110351
    25494.000000       0.096500
    25495.000000       0.000000
