 1    ,Model	FM3 Channel	VIS0.6  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
51
Wavenumber (cm-1)   Filter response
    13966.480400       0.000099
    14025.245400       0.000282
    14084.507000       0.000208
    14144.271600       0.000247
    14204.545500       0.001155
    14265.335200       0.005109
    14326.647600       0.007100
    14388.489200       0.008128
    14450.867100       0.015662
    14513.788100       0.027591
    14577.259500       0.046083
    14641.288400       0.087285
    14705.882400       0.174212
    14771.048700       0.348119
    14836.795300       0.636303
    14903.129700       0.908268
    14970.059900       1.000000
    15037.594000       0.967159
    15105.740200       0.907969
    15174.506800       0.868652
    15243.902400       0.859924
    15313.935700       0.879206
    15384.615400       0.912372
    15455.950500       0.943432
    15527.950300       0.965220
    15600.624000       0.965932
    15673.981200       0.937794
    15748.031500       0.893401
    15822.784800       0.865133
    15898.251200       0.864466
    15974.440900       0.878151
    16051.364400       0.880715
    16129.032300       0.873838
    16207.455400       0.870957
    16286.645000       0.865338
    16366.612100       0.859840
    16447.368400       0.882560
    16528.925600       0.926815
    16611.295700       0.815601
    16694.490800       0.445153
    16778.523500       0.161864
    16863.406400       0.054117
    16949.152500       0.020342
    17035.775100       0.008036
    17123.287700       0.002811
    17211.704000       0.002352
    17301.038100       0.001216
    17391.304300       0.000816
    17482.517500       0.000448
    17574.692400       0.000323
    17667.844500       0.000105
