 2    ,Model	FM3	Channel	VIS0.8	EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
64
Wavenumber (cm-1)   Filter response
    11013.215900       0.000201
    11047.282400       0.000200
    11081.560300       0.000210
    11116.051600       0.000238
    11150.758300       0.000280
    11185.682300       0.000274
    11220.825900       0.000304
    11256.190900       0.000365
    11291.779600       0.000392
    11327.594000       0.000487
    11363.636400       0.000541
    11399.908800       0.000696
    11436.413500       0.000847
    11473.152800       0.001132
    11510.128900       0.000920
    11547.344100       0.001582
    11584.800700       0.002050
    11622.501200       0.003617
    11660.447800       0.006170
    11698.643000       0.010167
    11737.089200       0.018431
    11775.789000       0.037246
    11814.744800       0.079215
    11853.959200       0.166484
    11893.434800       0.312505
    11933.174200       0.499889
    11973.180100       0.684693
    12013.455100       0.814167
    12054.001900       0.865152
    12094.823400       0.880510
    12135.922300       0.888593
    12177.301500       0.896795
    12218.963800       0.905016
    12260.912200       0.913191
    12303.149600       0.921535
    12345.679000       0.928666
    12388.503500       0.938516
    12431.626100       0.952616
    12475.049900       0.966672
    12518.778200       0.981760
    12562.814100       0.989346
    12607.160900       0.984741
    12651.821900       0.994472
    12696.800400       1.000000
    12742.099900       0.981990
    12787.723800       0.835344
    12833.675600       0.495006
    12879.958800       0.226536
    12926.577000       0.092201
    12973.534000       0.038416
    13020.833300       0.017571
    13068.478800       0.010052
    13116.474300       0.006326
    13164.823600       0.003625
    13213.530700       0.005176
    13262.599500       0.004052
    13312.034100       0.002267
    13361.838600       0.000192
    13412.017200       0.000142
    13462.574000       0.000115
    13513.513500       0.000239
    13564.839900       0.000180
    13616.557700       0.000146
    13668.671400       0.000120
