 1    ,Model	FM3	Channel	IR3.9	 Temperature (K)	95	EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
73
Wavenumber (cm-1)   Filter response
     2204.585500       0.000124
     2213.172800       0.000044
     2221.827200       0.001011
     2230.549600       0.000250
     2239.340700       0.000716
     2248.201400       0.000480
     2257.132500       0.000484
     2266.134900       0.001068
     2275.209300       0.001738
     2284.356700       0.001649
     2293.578000       0.005486
     2302.874000       0.010599
     2312.245700       0.016715
     2321.693900       0.026520
     2331.219700       0.055218
     2340.824000       0.073032
     2350.507700       0.156368
     2360.271900       0.253941
     2370.117600       0.385310
     2380.045700       0.554183
     2390.057400       0.705319
     2400.153600       0.830654
     2410.335500       0.891713
     2420.604200       0.947831
     2430.960700       0.948452
     2441.406300       0.959914
     2451.941900       0.961603
     2462.569000       0.980489
     2473.288500       0.989806
     2484.101700       0.994707
     2495.010000       0.997428
     2506.014400       0.998139
     2517.116400       0.994256
     2528.317200       1.000000
     2539.618000       0.999898
     2551.020400       0.987161
     2562.525600       0.994504
     2574.135100       0.985374
     2585.850200       0.987658
     2597.672500       0.985613
     2609.603300       0.996741
     2621.644300       0.991259
     2633.796900       0.991699
     2646.062700       0.995914
     2658.443200       0.993208
     2670.940200       0.971583
     2683.555200       0.955350
     2696.289900       0.937157
     2709.146100       0.924131
     2722.125400       0.867731
     2735.229800       0.768129
     2748.460900       0.607266
     2761.820600       0.386233
     2775.310800       0.206748
     2788.933500       0.099078
     2802.690600       0.045662
     2816.584000       0.021186
     2830.615900       0.010716
     2844.788300       0.002328
     2859.103400       0.004031
     2873.563200       0.002057
     2888.170100       0.002830
     2902.926100       0.000148
     2917.833800       0.001429
     2932.895400       0.001592
     2948.113200       0.000042
     2963.489800       0.000673
     2979.027600       0.002955
     2994.729300       0.002036
     3010.597300       0.000482
     3026.634400       0.001527
     3042.843200       0.001574
     3059.226600       0.000177
