 3    ,Model	FM3	Channel	IR7.3	Temperature (K)	95			EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
85
Wavenumber (cm-1)   Filter response
     1197.604800       0.000145
     1200.480200       0.000100
     1203.369400       0.000148
     1206.272600       0.000168
     1209.189800       0.000198
     1212.121200       0.000252
     1215.066800       0.000278
     1218.026800       0.000212
     1221.001200       0.000155
     1223.990200       0.000138
     1226.993900       0.000113
     1230.012300       0.000134
     1233.045600       0.000013
     1236.093900       0.000159
     1239.157400       0.000125
     1242.236000       0.000232
     1245.330000       0.000224
     1248.439500       0.000235
     1251.564500       0.000121
     1254.705100       0.000596
     1257.861600       0.000696
     1261.034000       0.001885
     1264.222500       0.001924
     1267.427100       0.002678
     1270.648000       0.003219
     1273.885400       0.002742
     1277.139200       0.003345
     1280.409700       0.004799
     1283.697000       0.008715
     1287.001300       0.017807
     1290.322600       0.022780
     1293.661100       0.038154
     1297.016900       0.063697
     1300.390100       0.097252
     1303.781000       0.144423
     1307.189500       0.200556
     1310.616000       0.279556
     1314.060400       0.382349
     1317.523100       0.494401
     1321.004000       0.618970
     1324.503300       0.747819
     1328.021200       0.843607
     1331.557900       0.899580
     1335.113500       0.945312
     1338.688100       0.972201
     1342.281900       0.994389
     1345.895000       1.000000
     1349.527700       0.989237
     1353.180000       0.970958
     1356.852100       0.953336
     1360.544200       0.942525
     1364.256500       0.933976
     1367.989100       0.926198
     1371.742100       0.920299
     1375.515800       0.930510
     1379.310300       0.917844
     1383.125900       0.902008
     1386.962600       0.851228
     1390.820600       0.793268
     1394.700100       0.694396
     1398.601400       0.587354
     1402.524500       0.471379
     1406.469800       0.352029
     1410.437200       0.259763
     1414.427200       0.189279
     1418.439700       0.128417
     1422.475100       0.085308
     1426.533500       0.055808
     1430.615200       0.029058
     1434.720200       0.022329
     1438.848900       0.008397
     1443.001400       0.008331
     1447.178000       0.006560
     1451.378800       0.004013
     1455.604100       0.003499
     1459.854000       0.002633
     1464.128800       0.002206
     1468.428800       0.000641
     1472.754100       0.000583
     1477.104900       0.000139
     1481.481500       0.000249
     1485.884100       0.000244
     1490.313000       0.000660
     1494.768300       0.000558
     1499.250400       0.000503
