 6    ,Model	FM3	Channel	IR10.8	Temperature (K)	95		EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
101
Wavenumber (cm-1)   Filter response
      781.250000       0.000011
      783.699100       0.000012
      786.163500       0.000013
      788.643500       0.000013
      791.139200       0.000015
      793.650800       0.000014
      796.178300       0.000010
      798.722000       0.000011
      801.282100       0.000027
      803.858500       0.000047
      806.451600       0.000044
      809.061500       0.000058
      811.688300       0.000079
      814.332200       0.000042
      816.993500       0.000041
      819.672100       0.000038
      822.368400       0.000053
      825.082500       0.000113
      827.814600       0.000172
      830.564800       0.000076
      833.333300       0.000029
      836.120400       0.000207
      838.926200       0.000214
      841.750800       0.000265
      844.594600       0.000232
      847.457600       0.000361
      850.340100       0.000749
      853.242300       0.001629
      856.164400       0.001919
      859.106500       0.001544
      862.069000       0.005789
      865.051900       0.014312
      868.055600       0.031704
      871.080100       0.058702
      874.125900       0.114877
      877.193000       0.207541
      880.281700       0.341957
      883.392200       0.538241
      886.524800       0.725618
      889.679700       0.834477
      892.857100       0.882771
      896.057300       0.908816
      899.280600       0.940419
      902.527100       0.965853
      905.797100       0.968047
      909.090900       0.973610
      912.408800       0.982296
      915.750900       1.000000
      919.117600       0.989126
      922.509200       0.997629
      925.925900       0.985284
      929.368000       0.969508
      932.835800       0.984310
      936.329600       0.998351
      939.849600       0.983696
      943.396200       0.971930
      946.969700       0.978214
      950.570300       0.971444
      954.198500       0.971204
      957.854400       0.956969
      961.538500       0.937777
      965.251000       0.893629
      968.992200       0.777359
      972.762600       0.581121
      976.562500       0.368626
      980.392200       0.207315
      984.252000       0.092992
      988.142300       0.025734
      992.063500       0.016748
      996.015900       0.012508
     1000.000000       0.007950
     1004.016100       0.002125
     1008.064500       0.001197
     1012.145700       0.001161
     1016.260200       0.001348
     1020.408200       0.000725
     1024.590200       0.000473
     1028.806600       0.000325
     1033.057900       0.000388
     1037.344400       0.000227
     1041.666700       0.000436
     1046.025100       0.000430
     1050.420200       0.000338
     1054.852300       0.000184
     1059.322000       0.000317
     1063.829800       0.000222
     1068.376100       0.000226
     1072.961400       0.000170
     1077.586200       0.000196
     1082.251100       0.000206
     1086.956500       0.000146
     1091.703100       0.000153
     1096.491200       0.000110
     1101.321600       0.000076
     1106.194700       0.000044
     1111.111100       0.000053
     1116.071400       0.000051
     1121.076200       0.000037
     1126.126100       0.000025
     1131.221700       0.000017
     1136.363600       0.000031
