 7    ,Model	FM3	Channel	IR12.0	Temperature (K)	95	EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
101
Wavenumber (cm-1)   Filter response
      714.285700       0.000003
      716.332400       0.000003
      718.390800       0.000003
      720.461100       0.000004
      722.543400       0.000005
      724.637700       0.000007
      726.744200       0.000008
      728.863000       0.000011
      730.994200       0.000014
      733.137800       0.000016
      735.294100       0.000020
      737.463100       0.000024
      739.645000       0.000028
      741.839800       0.000034
      744.047600       0.000041
      746.268700       0.000048
      748.503000       0.000057
      750.750800       0.000065
      753.012000       0.000075
      755.287000       0.000090
      757.575800       0.000101
      759.878400       0.000111
      762.195100       0.000121
      764.526000       0.000130
      766.871200       0.000141
      769.230800       0.000251
      771.604900       0.000684
      773.993800       0.000819
      776.397500       0.001393
      778.816200       0.001656
      781.250000       0.003348
      783.699100       0.005772
      786.163500       0.007676
      788.643500       0.017028
      791.139200       0.030891
      793.650800       0.059745
      796.178300       0.114124
      798.722000       0.190571
      801.282100       0.324064
      803.858500       0.520510
      806.451600       0.713814
      809.061500       0.846193
      811.688300       0.906286
      814.332200       0.929713
      816.993500       0.914416
      819.672100       0.882512
      822.368400       0.885059
      825.082500       0.909523
      827.814600       0.931502
      830.564800       0.958021
      833.333300       0.972634
      836.120400       0.989449
      838.926200       1.000000
      841.750800       0.987073
      844.594600       0.981815
      847.457600       0.978984
      850.340100       0.978668
      853.242300       0.989701
      856.164400       0.989922
      859.106500       0.978890
      862.069000       0.960767
      865.051900       0.901587
      868.055600       0.762066
      871.080100       0.528912
      874.125900       0.305069
      877.193000       0.153235
      880.281700       0.074204
      883.392200       0.042377
      886.524800       0.019462
      889.679700       0.009716
      892.857100       0.004622
      896.057300       0.000836
      899.280600       0.000452
      902.527100       0.000481
      905.797100       0.000533
      909.090900       0.000468
      912.408800       0.000406
      915.750900       0.000340
      919.117600       0.000304
      922.509200       0.000372
      925.925900       0.000237
      929.368000       0.000194
      932.835800       0.000093
      936.329600       0.000043
      939.849600       0.000025
      943.396200       0.000012
      946.969700       0.000003
      950.570300       0.000003
      954.198500       0.000002
      957.854400       0.000001
      961.538500       0.000000
      965.251000       0.000001
      968.992200       0.000001
      972.762600       0.000000
      976.562500       0.000000
      980.392200       0.000001
      984.252000       0.000002
      988.142300       0.000002
      992.063500       0.000001
      996.015900       0.000004
     1000.000000       0.000007
