 8    ,Model	FM3	Channel	IR13.4 Temperature (K)	95  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS
Number of data points:
101
Wavenumber (cm-1)   Filter response
      649.350600       0.000194
      651.041700       0.000215
      652.741500       0.000182
      654.450300       0.000036
      656.168000       0.000041
      657.894700       0.000047
      659.630600       0.000052
      661.375700       0.000057
      663.130000       0.000063
      664.893600       0.000068
      666.666700       0.000056
      668.449200       0.000049
      670.241300       0.000063
      672.043000       0.000075
      673.854400       0.000080
      675.675700       0.000087
      677.506800       0.000096
      679.347800       0.000101
      681.198900       0.000104
      683.060100       0.000107
      684.931500       0.000112
      686.813200       0.000115
      688.705200       0.000119
      690.607700       0.000125
      692.520800       0.000133
      694.444400       0.000959
      696.378800       0.001849
      698.324000       0.001448
      700.280100       0.003908
      702.247200       0.025675
      704.225400       0.091130
      706.214700       0.201393
      708.215300       0.271492
      710.227300       0.342313
      712.250700       0.503374
      714.285700       0.669085
      716.332400       0.752263
      718.390800       0.798686
      720.461100       0.855953
      722.543400       0.919884
      724.637700       0.948592
      726.744200       0.950403
      728.863000       0.945948
      730.994200       0.927215
      733.137800       0.909519
      735.294100       0.924842
      737.463100       0.970895
      739.645000       0.999885
      741.839800       0.961029
      744.047600       0.934894
      746.268700       0.957639
      748.503000       0.993956
      750.750800       1.000000
      753.012000       0.982978
      755.287000       0.989299
      757.575800       0.995190
      759.878400       0.966070
      762.195100       0.909396
      764.526000       0.859987
      766.871200       0.803280
      769.230800       0.737858
      771.604900       0.696774
      773.993800       0.682670
      776.397500       0.677411
      778.816200       0.662487
      781.250000       0.666174
      783.699100       0.677581
      786.163500       0.652404
      788.643500       0.576858
      791.139200       0.424691
      793.650800       0.269933
      796.178300       0.149414
      798.722000       0.072652
      801.282100       0.033664
      803.858500       0.010330
      806.451600       0.005581
      809.061500       0.006256
      811.688300       0.010050
      814.332200       0.003134
      816.993500       0.000773
      819.672100       0.000776
      822.368400       0.000469
      825.082500       0.000472
      827.814600       0.000464
      830.564800       0.000609
      833.333300       0.000497
      836.120400       0.000545
      838.926200       0.000525
      841.750800       0.000487
      844.594600       0.000648
      847.457600       0.000679
      850.340100       0.000433
      853.242300       0.000661
      856.164400       0.000639
      859.106500       0.000570
      862.069000       0.000628
      865.051900       0.000555
      868.055600       0.000418
      871.080100       0.000435
      874.125900       0.000618
      877.193000       0.000803
