12    ,Model FM3  Channel  HRV  EUM-MSG-TEN-06-0010 MSG_SEVIRI_Spectral_Response_Characterisation.XLS TRUNCATED AT 25500cm-1
Number of data points:
153
Wavenumber (cm-1)   Filter response
     7680.491600       0.001378
     7716.049400       0.001462
     7751.938000       0.001546
     7788.162000       0.001629
     7824.726100       0.001720
     7861.635200       0.001824
     7898.894200       0.001927
     7936.507900       0.002047
     7974.481700       0.002176
     8012.820500       0.002306
     8051.529800       0.002447
     8090.614900       0.002595
     8130.081300       0.002756
     8169.934600       0.002925
     8210.180600       0.003107
     8250.825100       0.003303
     8291.874000       0.003524
     8333.333300       0.003756
     8375.209400       0.003984
     8417.508400       0.004252
     8460.236900       0.004560
     8503.401400       0.004858
     8547.008500       0.005187
     8591.065300       0.005540
     8635.578600       0.005939
     8680.555600       0.006384
     8726.003500       0.006831
     8771.929800       0.007332
     8818.342200       0.007874
     8865.248200       0.008440
     8912.656000       0.009095
     8960.573500       0.009784
     9009.009000       0.010536
     9057.971000       0.011359
     9107.468100       0.012721
     9157.509200       0.014963
     9208.103100       0.017422
     9259.259300       0.020671
     9310.987000       0.023944
     9363.295900       0.027592
     9416.195900       0.033023
     9469.697000       0.040695
     9523.809500       0.048526
     9578.544100       0.057274
     9633.911400       0.067618
     9689.922500       0.080270
     9746.588700       0.092131
     9803.921600       0.104703
     9861.932900       0.119177
     9920.634900       0.137387
     9980.039900       0.158427
    10040.160600       0.178432
    10101.010100       0.198092
    10162.601600       0.218901
    10224.948900       0.241533
    10288.065800       0.265662
    10351.966900       0.289296
    10416.666700       0.314219
    10482.180300       0.340921
    10548.523200       0.368575
    10615.711300       0.395474
    10683.760700       0.422469
    10752.688200       0.451646
    10822.510800       0.479788
    10893.246200       0.508230
    10964.912300       0.536038
    11037.527600       0.562636
    11111.111100       0.589647
    11185.682300       0.614791
    11261.261300       0.642169
    11337.868500       0.670529
    11415.525100       0.699375
    11494.252900       0.728472
    11574.074100       0.755592
    11655.011700       0.781460
    11737.089200       0.801148
    11820.331000       0.821148
    11904.761900       0.839993
    11990.407700       0.859543
    12077.294700       0.878271
    12165.450100       0.896506
    12254.902000       0.911730
    12345.679000       0.927048
    12437.810900       0.942360
    12531.328300       0.955199
    12626.262600       0.962646
    12722.646300       0.972206
    12820.512800       0.981767
    12919.896600       0.983737
    13020.833300       0.991061
    13123.359600       0.995311
    13227.513200       0.995699
    13333.333300       0.996184
    13440.860200       0.998766
    13550.135500       0.999590
    13661.202200       0.999309
    13774.104700       0.999866
    13888.888900       1.000000
    14005.602200       0.997889
    14124.293800       0.996147
    14245.014200       0.992533
    14367.816100       0.985597
    14492.753600       0.982642
    14619.883000       0.979270
    14749.262500       0.974333
    14880.952400       0.966300
    15015.015000       0.959993
    15151.515200       0.955476
    15290.519900       0.947102
    15432.098800       0.942633
    15576.324000       0.939714
    15723.270400       0.935006
    15873.015900       0.927084
    16025.641000       0.917771
    16181.229800       0.906842
    16339.869300       0.897915
    16501.650200       0.887610
    16666.666700       0.878298
    16835.016800       0.865540
    17006.802700       0.851970
    17182.130600       0.837117
    17361.111100       0.823199
    17543.859600       0.806116
    17730.496500       0.786358
    17921.147000       0.769972
    18115.942000       0.752905
    18315.018300       0.733913
    18518.518500       0.713488
    18726.591800       0.695026
    18939.393900       0.675158
    19157.088100       0.656400
    19379.845000       0.637590
    19607.843100       0.618822
    19841.269800       0.599545
    20080.321300       0.578393
    20325.203300       0.553289
    20576.131700       0.530887
    20833.333300       0.507915
    21097.046400       0.487007
    21367.521400       0.463228
    21645.021600       0.437411
    21929.824600       0.407469
    22222.222200       0.377246
    22522.522500       0.347137
    22831.050200       0.311871
    23148.148100       0.282329
    23474.178400       0.252103
    23809.523800       0.226287
    24154.589400       0.194718
    24509.803900       0.163079
    24875.621900       0.136372
    25494.000000       0.096500
    25495.000000       0.000000
