2, FM4 VIS0.8   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
101
Wavenumber (cm-1)   Filter response
    10526.315790       0.000054
    10557.432432       0.000049
    10588.733588       0.000030
    10620.220901       0.000043
    10651.896038       0.000039
    10683.760684       0.000036
    10715.816545       0.000044
    10748.065348       0.000031
    10780.508840       0.000031
    10813.148789       0.000023
    10845.986985       0.000024
    10879.025239       0.000029
    10912.265386       0.000025
    10945.709282       0.000029
    10979.358805       0.000035
    11013.215859       0.000034
    11047.282369       0.000032
    11081.560284       0.000037
    11116.051579       0.000032
    11150.758252       0.000018
    11185.682327       0.000008
    11220.825853       0.000008
    11256.190905       0.000006
    11291.779585       0.000050
    11327.594019       0.000070
    11363.636364       0.000007
    11399.908801       0.000007
    11436.413541       0.000008
    11473.152822       0.000017
    11510.128913       0.000250
    11547.344111       0.000648
    11584.800741       0.001429
    11622.501162       0.002757
    11660.447761       0.004288
    11698.642957       0.008012
    11737.089202       0.014728
    11775.788978       0.028134
    11814.744802       0.062734
    11853.959222       0.134386
    11893.434824       0.275358
    11933.174224       0.503452
    11973.180077       0.725599
    12013.455070       0.838476
    12054.001929       0.868951
    12094.823416       0.875241
    12135.922330       0.888453
    12177.301510       0.891117
    12218.963832       0.898751
    12260.912212       0.903108
    12303.149606       0.911807
    12345.679012       0.914418
    12388.503469       0.928473
    12431.626057       0.939806
    12475.049900       0.955294
    12518.778167       0.971572
    12562.814070       1.000000
    12607.160867       0.998622
    12651.821862       0.989929
    12696.800406       0.994038
    12742.099898       0.986628
    12787.723785       0.825826
    12833.675565       0.454769
    12879.958784       0.185797
    12926.577042       0.071949
    12973.533991       0.029807
    13020.833333       0.013718
    13068.478829       0.006988
    13116.474292       0.003835
    13164.823591       0.002226
    13213.530655       0.001373
    13262.599470       0.000884
    13312.034079       0.000615
    13361.838589       0.000434
    13412.017167       0.000320
    13462.574044       0.000242
    13513.513514       0.000200
    13564.839935       0.000447
    13616.557734       0.000400
    13668.671405       0.000366
    13721.185510       0.000333
    13774.104683       0.000306
    13827.433628       0.000294
    13881.177124       0.000274
    13935.340022       0.000247
    13989.927252       0.000229
    14044.943820       0.000223
    14100.394811       0.000194
    14156.285391       0.000198
    14212.620807       0.000177
    14269.406393       0.000166
    14326.647564       0.000160
    14384.349827       0.000152
    14442.518775       0.000145
    14501.160093       0.000147
    14560.279557       0.000143
    14619.883041       0.000075
    14679.976512       0.000134
    14740.566038       0.000142
    14801.657786       0.000140
    14863.258026       0.000138
    14925.373134       0.000140
