3, FM4 NIR1.6   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
101
Wavenumber (cm-1)   Filter response
     5208.333333       0.000017
     5223.568742       0.000019
     5238.893546       0.000020
     5254.308533       0.000022
     5269.814503       0.000025
     5285.412262       0.000028
     5301.102629       0.000032
     5316.886431       0.000035
     5332.764505       0.000038
     5348.737698       0.000043
     5364.806867       0.000048
     5380.972880       0.000053
     5397.236615       0.000059
     5413.598961       0.000066
     5430.060817       0.000075
     5446.623094       0.000085
     5463.286713       0.000094
     5480.052609       0.000101
     5496.921724       0.000084
     5513.895015       0.000067
     5530.973451       0.000047
     5548.158012       0.000029
     5565.449688       0.000027
     5582.849486       0.000038
     5600.358423       0.000052
     5617.977528       0.000069
     5635.707845       0.000095
     5653.550430       0.000157
     5671.506352       0.000253
     5689.576695       0.000392
     5707.762557       0.000619
     5726.065048       0.001257
     5744.485294       0.002647
     5763.024435       0.005378
     5781.683626       0.010975
     5800.464037       0.023281
     5819.366853       0.052611
     5838.393274       0.120291
     5857.544517       0.262172
     5876.821815       0.501895
     5896.226415       0.736389
     5915.759584       0.879744
     5935.422602       0.947115
     5955.216770       0.974698
     5975.143403       0.987532
     5995.203837       0.987967
     6015.399423       0.992975
     6035.731531       0.998586
     6056.201550       1.000000
     6076.810890       0.996112
     6097.560976       0.986075
     6118.453255       0.981509
     6139.489194       0.978748
     6160.670281       0.980916
     6181.998022       0.989064
     6203.473945       0.987441
     6225.099602       0.979414
     6246.876562       0.968561
     6268.806419       0.957234
     6290.890790       0.954150
     6313.131313       0.879243
     6335.529650       0.630836
     6358.087487       0.324974
     6380.806534       0.142354
     6403.688525       0.062891
     6426.735219       0.029619
     6449.948400       0.015283
     6473.329881       0.008561
     6496.881497       0.005279
     6520.605112       0.003546
     6544.502618       0.002617
     6568.575933       0.002055
     6592.827004       0.001695
     6617.257808       0.001463
     6641.870351       0.001314
     6666.666667       0.001220
     6691.648822       0.001137
     6716.818915       0.001067
     6742.179072       0.000996
     6767.731456       0.000951
     6793.478261       0.000910
     6819.421713       0.000900
     6845.564074       0.000840
     6871.907642       0.000810
     6898.454746       0.000807
     6925.207756       0.000789
     6952.169077       0.000785
     6979.341150       0.000770
     7006.726457       0.000757
     7034.327518       0.000761
     7062.146893       0.000760
     7090.187181       0.000778
     7118.451025       0.000790
     7146.941109       0.000856
     7175.660161       0.001049
     7204.610951       0.001780
     7233.796296       0.003722
     7263.219059       0.002772
     7292.882147       0.001666
     7322.788518       0.001610
     7352.941176       0.001619
