5, FM4 IR9.7   SRF extracted from  MSG_SEVIRI_Spectral_Response_Characterisation.XLS (issue 2, Oct 2012)
Number of data points:
101
Wavenumber (cm-1)   Filter response
      978.473581       0.000607
      979.547057       0.000515
      980.622892       0.000404
      981.701092       0.000571
      982.781665       0.001352
      983.864620       0.001040
      984.949965       0.004032
      986.037706       0.004454
      987.127853       0.000592
      988.220413       0.001443
      989.315394       0.003090
      990.412804       0.001550
      991.512652       0.000759
      992.614945       0.001555
      993.719692       0.004784
      994.826900       0.005182
      995.936579       0.002966
      997.048736       0.003339
      998.163379       0.004652
      999.280518       0.000730
     1000.400160       0.003715
     1001.522314       0.004349
     1002.646988       0.003705
     1003.774191       0.003815
     1004.903931       0.003825
     1006.036217       0.002359
     1007.171058       0.000588
     1008.308462       0.004620
     1009.448437       0.005801
     1010.590994       0.004446
     1011.736139       0.007743
     1012.883883       0.013464
     1014.034234       0.014332
     1015.187201       0.037046
     1016.342792       0.063337
     1017.501017       0.110610
     1018.661886       0.198061
     1019.825406       0.326450
     1020.991587       0.496102
     1022.160438       0.688751
     1023.331969       0.846200
     1024.506188       0.934212
     1025.683105       0.942618
     1026.862729       0.926216
     1028.045069       0.906613
     1029.230136       0.896762
     1030.417938       0.904383
     1031.608484       0.920256
     1032.801785       0.934753
     1033.997849       0.966254
     1035.196687       0.994878
     1036.398309       1.000000
     1037.602723       0.996105
     1038.809939       0.990785
     1040.019968       0.988623
     1041.232820       0.995006
     1042.448503       0.995189
     1043.667028       0.971174
     1044.888406       0.907941
     1046.112645       0.768678
     1047.339757       0.606501
     1048.569751       0.429530
     1049.802637       0.274481
     1051.038426       0.166081
     1052.277128       0.099425
     1053.518753       0.054961
     1054.763311       0.030141
     1056.010814       0.018340
     1057.261270       0.009932
     1058.514692       0.007580
     1059.771089       0.007830
     1061.030473       0.003416
     1062.292853       0.003398
     1063.558240       0.004972
     1064.826646       0.002782
     1066.098081       0.000997
     1067.372556       0.005243
     1068.650081       0.004849
     1069.930668       0.001862
     1071.214329       0.001505
     1072.501072       0.002516
     1073.790911       0.003907
     1075.083857       0.003664
     1076.379919       0.002233
     1077.679110       0.002527
     1078.981442       0.003998
     1080.286924       0.003338
     1081.595570       0.002001
     1082.907390       0.000479
     1084.222396       0.000236
     1085.540599       0.000433
     1086.862012       0.003318
     1088.186646       0.002486
     1089.514512       0.002392
     1090.845624       0.001751
     1092.179991       0.001092
     1093.517627       0.000313
     1094.858544       0.001201
     1096.202754       0.001632
     1097.550268       0.002697
     1098.901099       0.003495
