15, SRF from W_XX-EUMETSAT-Darmstadt,SRF_VIS_NIR_IR,MTI1+FCI_C_EUMG_20210913------_v02.nc
Number of data points:
151
Wavenumber (cm-1)   Filter response
      766.283500       0.003009
      766.871200       0.003172
      767.459700       0.003304
      768.049200       0.003936
      768.639500       0.004080
      769.230800       0.004063
      769.822900       0.004483
      770.416000       0.004423
      771.010000       0.004829
      771.604900       0.005504
      772.200800       0.005661
      772.797500       0.006257
      773.395200       0.006370
      773.993800       0.007569
      774.593300       0.007402
      775.193800       0.008457
      775.795200       0.008545
      776.397500       0.010223
      777.000800       0.011500
      777.605000       0.012220
      778.210100       0.013739
      778.816200       0.015065
      779.423200       0.017385
      780.031200       0.017446
      780.640100       0.021197
      781.250000       0.024285
      781.860800       0.028189
      782.472600       0.032563
      783.085400       0.034178
      783.699100       0.041583
      784.313700       0.046796
      784.929400       0.058966
      785.546000       0.065314
      786.163500       0.070193
      786.782100       0.089144
      787.401600       0.101762
      788.022100       0.130168
      788.643500       0.141182
      789.266000       0.163635
      789.889400       0.193660
      790.513800       0.216995
      791.139200       0.273680
      791.765600       0.308057
      792.393000       0.358489
      793.021400       0.395673
      793.650800       0.440195
      794.281200       0.505712
      794.912600       0.560333
      795.544900       0.620390
      796.178300       0.667427
      796.812700       0.695992
      797.448200       0.742813
      798.084600       0.807930
      798.722000       0.860854
      799.360500       0.858535
      800.000000       0.860353
      800.640500       0.900754
      801.282100       0.928826
      801.924600       0.936605
      802.568200       0.934142
      803.212900       0.918749
      803.858500       0.925871
      804.505200       0.942961
      805.153000       0.950504
      805.801800       0.936303
      806.451600       0.939006
      807.102500       0.952682
      807.754400       0.945809
      808.407400       0.944404
      809.061500       0.950655
      809.716600       0.966420
      810.372800       0.961046
      811.030000       0.934171
      811.688300       0.945488
      812.347700       0.982618
      813.008100       0.995198
      813.669700       0.957008
      814.332200       0.936435
      814.995900       0.956833
      815.660700       0.995677
      816.326500       0.980491
      816.993500       0.959333
      817.661500       0.964602
      818.330600       0.986149
      819.000800       1.000000
      819.672100       0.987925
      820.344500       0.958785
      821.018100       0.979800
      821.692700       0.976566
      822.368400       0.980182
      823.045300       0.988845
      823.723200       0.953329
      824.402300       0.931560
      825.082500       0.900196
      825.763800       0.888149
      826.446300       0.854792
      827.129900       0.807002
      827.814600       0.741400
      828.500400       0.715284
      829.187400       0.654731
      829.875500       0.610873
      830.564800       0.540665
      831.255200       0.468525
      831.946800       0.425521
      832.639500       0.373796
      833.333300       0.325899
      834.028400       0.268688
      834.724500       0.230187
      835.421900       0.192782
      836.120400       0.172433
      836.820100       0.142698
      837.520900       0.116925
      838.223000       0.102293
      838.926200       0.083068
      839.630600       0.073817
      840.336100       0.062202
      841.042900       0.052984
      841.750800       0.045003
      842.460000       0.039940
      843.170300       0.034394
      843.881900       0.029707
      844.594600       0.027662
      845.308500       0.022408
      846.023700       0.019880
      846.740100       0.018541
      847.457600       0.015964
      848.176400       0.014546
      848.896400       0.012711
      849.617700       0.011610
      850.340100       0.010502
      851.063800       0.009775
      851.788800       0.008586
      852.514900       0.008067
      853.242300       0.007819
      853.971000       0.007000
      854.700900       0.006453
      855.432000       0.005967
      856.164400       0.005832
      856.898000       0.005469
      857.632900       0.005214
      858.369100       0.004832
      859.106500       0.004494
      859.845200       0.004403
      860.585200       0.004236
      861.326400       0.003842
      862.069000       0.003820
      862.812800       0.003540
      863.557900       0.003485
      864.304200       0.003099
      865.051900       0.003080
      865.800900       0.002854
