 2    ,mtsat_01_imager_02.flt ,    Primary Focal Plane
Number of data points:
44
Wavenumber (cm-1)   Filter response
      772.200800       0.002851
      775.193800       0.000000
      778.210100       0.002370
      781.250000       0.004009
      784.313700       0.000000
      787.401600       0.000000
      790.513800       0.014384
      793.650800       0.028416
      796.812700       0.062639
      800.000000       0.162257
      803.212900       0.464389
      806.451600       0.689868
      809.716600       0.793789
      813.008100       0.834806
      816.326500       0.894418
      819.672100       0.933681
      823.045300       0.964865
      826.446300       0.996031
      829.875500       0.997916
      833.333300       0.975068
      836.820100       0.938216
      840.336100       0.872211
      843.881900       0.833596
      847.457600       0.834405
      851.063800       0.867904
      854.700900       0.869368
      858.369100       0.698859
      862.069000       0.394432
      865.800900       0.219042
      869.565200       0.095939
      873.362400       0.046925
      877.193000       0.022442
      881.057300       0.017484
      884.955800       0.015605
      888.888900       0.010256
      892.857100       0.009708
      896.861000       0.006442
      900.900900       0.007640
      904.977400       0.006432
      909.090900       0.006345
      913.242000       0.000000
      917.431200       0.000000
      921.659000       0.002849
      925.925900       0.000000
